ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,71117.2
0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,75671.4
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,87677.2
0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,89279.0
0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,70467.8
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,91163.4
0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,95675.6
0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,89782.4
1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,69447.6
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,66358.0
1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,78334.0
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,82325.0
1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,76392.6
1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,87285.0
1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,81754.0
0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,87819.2
