new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,3,0,0,0,0,1,1,0,24.85
3,3,3,0,1,1,1,1,1,0,61.528
4,2,1,1,0,0,0,0,1,0,28.516
1,3,1,1,1,0,1,1,0,0,183.172
1,2,2,0,1,1,0,0,1,0,109.068
1,3,2,0,1,0,0,1,0,0,180.108
2,1,3,0,0,1,1,0,1,0,47.224
3,1,3,1,0,0,1,1,0,0,32.054
1,2,3,0,1,0,1,1,1,1,124.72
4,1,3,0,0,1,0,0,1,1,24.672
4,3,3,1,0,0,1,0,1,1,42.394
2,3,3,0,1,0,1,1,0,0,103.226
4,2,1,0,0,0,1,0,0,1,35.898
1,1,3,0,0,0,1,1,1,0,95.136
3,1,3,0,1,1,1,0,1,0,32.298
1,3,1,0,0,1,0,1,1,1,153.628
2,2,1,1,1,0,0,1,1,1,58.998
2,1,3,0,0,0,0,1,0,1,50.196
2,2,1,0,0,0,0,1,1,1,62.64
2,2,1,0,0,0,1,1,1,1,66.566
1,1,2,0,1,1,0,0,0,1,84.658
4,2,3,1,1,1,1,0,1,1,31.366
4,2,3,0,1,1,1,0,1,1,32.942
1,3,1,0,0,1,1,0,0,1,181.678
4,2,2,0,0,1,1,0,0,1,36.684
2,1,1,0,1,1,1,1,0,1,49.694
2,2,3,0,1,0,0,1,0,1,70.93
3,1,3,0,1,0,1,1,0,1,33.71
3,1,2,1,0,1,0,1,0,1,31.584
4,3,3,1,0,0,0,0,1,0,38.614
2,1,2,1,1,1,0,0,0,1,42.434
4,3,3,0,0,1,1,1,0,0,53.13
4,1,1,1,0,1,0,1,1,0,23.582
2,1,1,1,1,0,0,1,1,1,45.896
3,1,3,1,1,1,1,1,0,1,31.216
2,1,1,1,1,1,0,0,1,1,41.85
3,1,1,1,1,1,1,1,0,0,31.208
4,2,3,1,0,1,1,1,1,0,32.054
3,2,1,1,0,1,1,1,1,0,44.13
2,1,2,1,0,0,0,1,1,0,46.748
2,2,1,1,1,1,0,1,1,1,58.836
3,1,3,0,1,0,1,0,1,1,32.288
2,3,1,1,0,0,0,1,1,1,77.592
3,2,1,1,1,0,1,1,1,1,43.39
2,2,1,0,1,1,0,0,0,1,64.528
1,1,1,1,1,0,0,1,0,1,86.616
4,3,1,0,1,1,0,1,1,0,40.784
3,1,1,0,0,0,0,1,1,1,33.914
3,2,2,1,0,0,1,0,0,1,47.514
4,1,3,0,0,0,1,1,1,0,25.08
1,2,2,1,1,1,0,0,1,0,103.938
1,3,2,0,0,1,1,1,0,1,195.776
3,2,3,0,0,0,0,0,0,1,46.666
1,2,2,1,1,1,0,0,0,0,115.52
3,1,2,0,0,0,0,1,0,0,33.74
2,3,1,1,1,0,0,1,0,1,90.616
1,1,2,0,1,1,0,1,0,0,92.822
1,3,2,0,1,0,0,1,1,0,152.56
4,2,2,0,0,0,0,1,1,1,31.896
4,2,3,0,0,1,1,0,0,0,37.044
1,2,3,0,1,1,1,1,0,1,141.166
3,2,3,1,1,1,0,1,0,0,46.408
3,2,2,0,1,1,0,1,1,1,42.544
2,3,2,1,1,1,1,0,1,0,80.35
2,2,2,1,0,1,0,0,1,1,55.912
2,1,3,0,0,1,0,1,1,1,50.14
1,1,2,1,1,0,1,1,1,0,86.876
3,3,2,0,1,0,1,1,1,1,61.156
4,3,3,1,1,1,1,0,1,0,41.978
2,2,1,1,1,0,1,0,1,1,58.686
2,3,2,0,0,0,0,1,0,1,96.312
4,3,2,0,1,1,0,0,1,1,38.94
3,2,2,0,0,1,1,1,1,0,46.592
2,2,3,1,0,1,1,1,1,1,63.276
1,3,1,1,1,0,0,0,1,0,135.81
1,3,3,1,1,0,1,1,0,1,183.926
4,1,2,0,0,1,0,1,0,0,24.858
1,2,2,1,0,1,0,0,1,0,105.038
3,2,3,1,1,0,0,0,1,1,38.396
3,3,2,1,0,1,1,1,0,1,71.926
3,2,3,0,0,1,0,1,0,0,50.032
3,2,2,0,1,0,1,0,0,1,49.512
3,3,2,0,1,0,0,0,0,0,60.784
4,1,2,1,1,1,0,0,1,1,22.452
4,1,2,0,1,0,1,0,1,1,24.478
1,1,3,0,0,0,0,0,1,1,86.616
2,3,3,0,0,0,0,1,0,0,96.464
4,2,3,0,0,0,1,1,0,1,38.73
2,2,3,0,1,0,1,0,1,0,62.674
2,1,2,1,0,1,0,1,0,1,46.984
2,1,3,1,0,1,1,1,1,1,47.492
1,1,1,1,1,1,1,0,0,1,79.3
4,1,1,1,0,1,0,1,1,1,23.984
2,3,2,0,0,0,0,0,1,0,75.606
4,1,2,1,0,0,0,0,1,1,22.866
4,1,1,0,0,0,0,0,1,0,23.526
3,1,3,0,1,0,0,1,1,1,33.552
4,3,1,0,1,1,1,1,1,0,44.446
2,2,2,0,0,0,0,0,0,0,65.822
4,1,2,0,1,1,1,1,1,0,24.838
