spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0.018823287366894464
0,1,1,0,1,1,1,1,0,1,1,0,0,1,0.014832936619373448
0,0,0,0,1,1,0,0,1,0,1,0,1,0,0.006868636495018027
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0.009966596313739471
0,1,0,1,0,0,1,0,1,1,0,0,1,1,0.003930351283088066
1,1,1,1,0,0,1,0,1,0,1,1,0,1,0.9970630642975001
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.008873406741667022
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.006899215536805531
0,1,1,1,1,0,0,0,1,0,1,1,1,0,0.008009001455382024
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.010926840327241241
1,0,0,0,1,0,1,1,0,0,1,1,0,0,0.9940568240041046
1,0,1,0,1,1,0,0,1,0,1,0,0,0,0.9941090338218599
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0.9930858260657661
0,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0030239259871883274
1,1,1,1,1,1,0,0,0,0,0,0,1,0,0.9930066570225756
1,1,0,1,0,1,1,1,1,1,0,0,1,0,0.994032847954068
1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.9940955881271218
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.996052666013708
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0.003844128473794114
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.028931762002325417
0,1,0,1,1,0,1,1,0,1,0,0,0,0,0.0038671770224210436
0,1,1,1,1,0,0,0,1,1,1,1,1,1,0.010023491305112276
1,1,0,0,1,1,0,0,0,1,0,1,1,0,0.9930318353843944
0,0,1,1,1,1,1,0,1,1,1,1,0,1,0.006979917786837137
1,1,0,0,1,0,1,1,1,1,1,1,0,0,0.9939876298432181
0,1,1,1,0,0,1,1,1,1,1,1,0,1,0.0029689247882099903
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0019137991173610086
0,0,0,0,0,1,1,0,0,1,1,0,1,0,0.006866297926725774
1,0,1,1,0,1,1,0,1,0,1,1,0,0,0.9930119017345946
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.010912991590235475
0,0,0,0,0,1,1,1,0,1,0,1,1,0,0.006908712598252378
0,1,0,1,0,0,0,1,1,1,0,1,0,0,0.0030206144430554986
1,0,1,0,1,0,0,1,1,0,1,0,0,1,0.9940141973136137
1,1,0,0,1,1,1,1,0,0,1,1,1,0,0.9941787399174808
1,1,0,0,1,1,1,1,0,0,0,0,1,1,0.9931137270908432
0,1,0,1,1,0,1,1,1,1,1,1,1,0,0.004051267063538321
1,1,0,0,1,1,0,1,1,0,1,1,1,0,0.9940553587692648
0,1,1,0,1,1,1,1,0,0,0,1,0,1,0.014941255325856323
1,0,0,0,1,0,1,1,1,1,1,1,0,0,0.9940348426924629
0,0,1,0,1,1,1,1,1,1,1,0,0,0,0.006982264551393047
0,0,0,0,0,1,0,1,1,1,1,0,1,1,0.0070157046126977434
1,1,1,0,0,1,0,0,0,1,1,0,1,1,0.9920166874377901
1,1,1,0,1,1,0,1,0,0,1,0,1,0,0.9940544642576111
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0.01882690657347612
0,1,1,0,1,0,1,0,1,1,0,1,1,0,0.019827459193310748
0,1,1,0,1,0,1,1,1,1,0,1,0,0,0.019904143971667662
1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.9920677308025492
0,0,0,1,1,1,0,0,1,1,1,1,1,0,0.007054463402036717
1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.9920449633953847
