spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,0,1,0,0,1,0,0,0,1,0,1,1,0.004934149564474089
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0.9940744007018779
0,1,0,0,0,1,0,0,1,0,0,1,0,1,0.010946389189841504
0,0,1,1,1,0,0,1,1,0,1,0,0,1,0.02888067906994597
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0.9950921307894548
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0.018970593098498956
0,0,1,0,0,1,1,0,0,1,0,1,0,1,0.006950550776035594
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0.6971820669292988
1,1,1,1,1,0,1,0,0,0,0,0,1,0,0.9950122188209775
0,0,1,0,1,0,1,1,1,0,1,0,0,0,0.006844091595242738
0,1,1,0,1,0,0,0,0,1,1,1,1,1,0.009865682578388475
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.005974444593514217
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0.003989076160759071
0,0,0,0,0,1,0,1,1,0,1,0,1,0,0.006954580797898953
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.9940631474289415
0,0,0,0,0,1,1,0,1,0,1,0,1,1,0.007001419005329866
0,1,0,1,0,1,0,0,1,0,0,1,1,1,0.012875280666451681
1,0,0,0,1,1,1,1,0,0,1,0,1,1,0.9919752285795953
1,1,1,0,0,0,0,0,1,1,0,1,1,0,0.9900182962186603
1,1,1,0,1,0,0,0,0,1,0,1,1,0,0.9949595102787677
1,0,1,0,1,0,1,1,1,0,1,0,0,1,0.9940513770242987
0,1,0,1,1,0,1,0,1,1,1,1,1,1,0.004928795547999739
1,1,1,1,0,0,0,1,0,0,1,0,0,0,0.9980072256607988
0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.006862468016628938
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0.009965707500852862
1,1,1,0,1,0,1,0,1,1,0,1,1,1,0.9941325434391387
0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.00992784676935214
0,0,1,0,0,1,0,1,1,1,1,1,1,0,0.006980131355813665
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.9981334188344184
1,1,0,0,0,0,0,0,0,1,1,1,0,0,0.993917620111778
1,1,1,0,1,0,1,0,0,0,0,1,1,0,0.9940155813935743
0,0,1,0,1,0,0,0,0,1,0,1,0,1,0.028894456776608846
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.9920093125785839
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0.0069317493677010554
0,1,1,0,0,1,1,0,0,0,1,1,1,1,0.016905347922694446
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.9949999116598823
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.00103081544382659
0,0,0,1,1,1,0,0,1,0,0,0,1,0,0.005977629369418935
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0.014859641974353301
0,1,0,0,1,1,1,1,1,1,1,0,1,1,0.016861826095116154
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006861399165119832
1,1,0,1,1,1,1,0,0,1,0,0,1,0,0.9940125336102231
0,1,0,0,0,1,1,1,1,0,1,0,1,1,0.013964531097447391
0,1,1,0,0,1,1,0,0,1,0,1,0,1,0.016834320952684407
1,0,1,0,1,1,0,0,1,1,1,0,1,1,0.9930914157205631
1,0,1,1,0,0,1,0,1,0,1,1,1,0,0.9980351531949827
0,1,1,0,0,1,1,0,0,1,0,1,0,1,0.016868135192597253
1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.9939958072993539
0,0,0,1,1,1,1,0,1,0,1,0,1,1,0.006959532057634507
0,1,1,0,1,0,0,1,0,1,0,1,1,1,0.008963197436490046
0,1,0,1,1,0,0,0,0,0,0,0,0,1,0.008859035424008324
1,0,0,1,0,0,1,0,1,0,1,1,0,1,0.9989444929425758
0,1,0,1,1,0,0,1,1,0,0,0,1,0,0.00998900287434218
0,1,0,0,1,0,1,0,1,0,1,0,0,0,0.02284546990056659
1,0,1,1,0,0,1,1,1,0,1,0,0,1,0.9980660048849709
0,0,1,0,1,1,1,1,1,0,1,1,0,1,0.006875814345271149
1,0,0,1,1,1,0,1,0,1,0,1,1,0,0.9920815936329492
0,1,1,1,0,1,0,0,0,1,1,0,1,0,0.014836111287740844
0,0,1,0,1,0,1,1,0,0,1,0,0,1,0.00696263186510562
0,0,1,1,1,1,0,0,1,0,1,0,1,0,0.007009408046440013
1,0,0,0,1,1,0,0,0,0,0,1,1,1,0.9921363345607292
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.013000035166195925
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.009930889473339139
0,0,0,1,0,0,0,1,1,1,1,0,1,0,0.0030077496958587774
1,0,0,0,0,1,0,1,0,1,1,1,1,1,0.9920830593829334
0,0,0,1,1,0,0,1,1,0,1,0,1,0,0.028840669824179613
0,0,1,1,0,0,0,1,0,0,1,1,1,0,0.003052000179194467
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.018826553862183373
0,0,1,0,1,1,0,0,1,1,1,0,0,1,0.007045274011079354
0,0,1,1,0,1,0,0,1,0,0,1,1,0,0.00597022875793811
0,0,0,0,0,0,1,1,0,0,1,1,1,0,0.0069682126500874506
0,0,1,1,0,0,1,1,1,0,0,1,1,1,0.006882600462878009
1,1,0,1,0,0,1,0,0,0,0,1,1,1,0.9970391801382124
0,0,1,0,1,1,0,0,1,1,1,1,0,1,0.006939180472613572
1,1,1,1,0,0,1,1,1,1,0,0,1,1,0.9979834444129726
1,1,1,1,1,1,0,0,0,0,1,1,0,1,0.9930713444563247
1,1,1,0,1,0,0,0,1,1,0,1,1,0,0.9949455142765601
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.9929566439780425
0,1,1,1,0,0,1,0,1,0,1,1,0,1,0.0030660603413797476
1,1,0,1,1,0,1,0,1,0,0,0,1,0,0.6990881360605514
0,0,0,0,1,0,1,0,0,0,1,1,1,1,0.020793388131927455
1,0,0,1,1,1,1,1,0,1,0,0,0,1,0.9919942618792245
1,0,0,0,1,1,1,0,0,0,1,0,1,1,0.9930094015896848
1,1,1,1,0,1,0,0,1,1,1,1,1,1,0.9930277546741126
0,1,1,1,0,0,0,0,1,0,1,1,1,0,0.004998954816589721
0,1,0,0,1,0,1,0,1,0,1,0,1,1,0.023820813583444806
0,0,1,1,1,1,1,1,0,0,0,0,0,1,0.0059798699213278435
0,1,1,0,1,1,0,0,1,1,1,0,0,1,0.01887824214860321
0,1,0,1,0,0,0,0,1,0,1,1,0,1,0.003011240168293218
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0.011020910735347125
0,1,1,1,0,1,0,1,0,0,1,0,1,1,0.014822749787737425
0,1,0,0,1,0,1,1,0,0,1,0,0,1,0.022751628927209538
0,1,1,1,0,1,1,0,0,0,0,0,1,1,0.011892604207611429
1,1,1,0,1,0,1,1,1,1,1,0,1,0,0.9940071126659286
1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.9970179975879206
1,1,0,0,0,1,0,0,1,0,1,0,1,0,0.9920599193509211
1,0,1,1,1,0,0,0,1,1,1,1,0,1,0.9941174579826261
0,0,0,0,1,0,1,0,0,1,1,0,0,1,0.017901157302841895
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.014884912539593025
1,0,1,1,1,1,0,0,0,0,0,0,0,1,0.9930873642264878
