spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,0,0,1,1,0,1,1,0,1,1,0,1,0.9931378453701708
1,1,1,1,0,0,1,0,0,1,0,1,1,0,0.9979799214557858
0,0,1,1,1,1,0,0,1,1,0,0,1,0,0.006909610012575995
0,0,1,1,1,1,1,0,1,1,0,0,1,1,0.006855461669824187
1,1,0,0,1,0,0,1,0,1,1,1,1,1,0.9949721602956259
0,0,0,1,1,1,0,0,0,0,0,1,1,0,0.006049935589502886
0,0,1,1,1,0,0,1,1,0,0,1,0,0,0.02781629339207065
0,0,1,0,1,0,0,0,0,1,1,1,1,1,0.02874273460314422
1,0,0,0,1,0,1,1,0,1,1,1,0,0,0.993966482458045
0,1,1,0,1,0,1,0,1,1,0,1,0,1,0.02185417694087105
1,1,0,0,0,1,1,1,0,1,0,1,0,0,0.9930956257343969
1,1,1,0,1,0,1,1,1,0,1,1,1,0,0.9940279822435256
1,1,1,0,0,1,1,0,0,0,1,1,1,1,0.9930370326764334
0,1,1,0,1,1,0,0,1,1,0,1,0,1,0.01791651608746388
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.012930600437623244
1,0,1,1,0,1,1,1,1,1,0,0,0,0,0.9920657414876525
1,0,0,1,1,1,1,0,0,0,0,0,0,1,0.9930924920360096
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9941123630806853
0,1,1,0,0,0,0,0,0,1,1,1,1,1,0.0029109521956942573
1,1,0,0,1,0,0,1,1,1,0,1,1,1,0.9960682700529869
0,1,1,0,1,0,0,0,0,1,0,0,1,1,0.008962152443227024
0,1,0,0,0,0,1,1,0,1,1,1,1,1,0.010828591933847859
1,1,1,0,0,0,0,1,0,1,1,0,0,1,0.9831836063859002
0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.012916756342536606
0,0,1,1,1,1,1,0,1,1,0,0,1,0,0.006925592964322032
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0.006932465883708681
1,0,1,1,1,0,0,0,1,0,1,0,1,1,0.9940187873110243
1,1,1,0,1,0,1,1,0,1,1,0,1,1,0.9939453023465422
0,1,1,1,1,1,0,0,0,1,0,0,1,0,0.018798291507032706
0,0,0,0,0,0,0,1,1,1,0,1,1,1,2.5994433645806715e-05
0,1,1,1,1,1,1,0,1,1,1,1,0,1,0.011971801822754076
1,0,0,1,0,1,1,1,1,1,0,0,1,1,0.9941012596482358
1,1,0,1,0,0,1,0,0,0,1,1,0,0,0.9979662708398269
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0.9940262175234243
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.9920996490500337
0,0,0,0,1,0,0,1,0,0,1,0,1,1,0.02780529278826643
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.014864858370651615
1,0,1,0,0,1,0,1,0,1,0,1,0,1,0.9920401219099054
1,0,0,1,0,1,0,1,0,1,1,0,0,1,0.9931620303665033
0,0,1,0,1,0,1,1,1,1,0,0,1,0,0.006999393347180153
1,0,1,1,1,0,0,1,1,0,0,0,0,0,0.9940318878612038
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0.9969513116039007
0,0,0,0,1,0,1,1,0,0,1,1,0,1,0.019993203184712097
0,0,0,1,0,0,1,1,0,1,0,1,1,1,0.0039599853999729515
1,1,1,0,1,0,0,1,1,1,0,0,1,1,0.9950568825072447
0,1,1,0,1,1,0,0,1,1,1,0,1,1,0.019992651967392527
0,0,1,1,0,1,1,0,1,1,0,0,1,0,0.006973110293606681
1,0,0,0,1,0,1,1,0,1,0,0,0,1,0.994078409176259
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.004916129359275106
0,0,0,1,1,1,0,1,0,0,0,0,1,0,0.006956950150691368
1,0,0,1,0,0,1,1,1,0,1,1,1,0,0.9980590328726557
0,1,1,1,0,0,0,0,1,0,0,0,0,1,0.004966307039527394
1,0,0,1,1,0,1,1,1,1,1,0,0,0,0.9940459159071549
0,1,0,0,0,0,0,1,1,1,0,1,1,1,0.010941446341445463
1,1,0,1,0,0,1,1,0,0,0,1,1,0,0.9980565032446466
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0.9940073790391203
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.003996090997101258
0,1,0,0,1,0,0,1,1,0,1,1,0,0,0.010928454439341912
0,0,0,1,0,1,0,0,1,0,1,1,0,0,0.006853349224521619
1,1,0,1,0,1,0,1,1,0,0,0,1,0,0.9920858347586337
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0.00895948906064123
1,1,0,1,0,0,1,1,1,0,0,1,0,1,0.9969829424474113
0,0,1,1,0,1,0,1,0,1,1,0,1,0,0.006940762763529072
0,1,0,0,1,1,0,1,0,0,1,1,1,0,0.018835350478372995
0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.016898657696358524
0,1,1,0,0,1,1,0,1,1,1,1,0,1,0.014964921387340624
0,1,0,1,0,0,0,1,0,0,1,1,1,0,0.0039538382660047194
1,1,1,1,0,1,1,1,1,1,0,0,1,0,0.176739885410115
1,1,0,0,0,0,1,1,1,0,0,1,1,0,0.9941033872022617
0,1,1,1,1,0,0,1,0,0,1,1,0,0,0.008923464040815678
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0.9940193387181434
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0009732251719893644
0,1,1,0,1,1,1,1,1,0,1,0,1,1,0.0138528168132878
0,0,1,1,1,0,1,0,0,1,0,1,0,0,0.0030268684574370434
0,1,0,1,1,1,1,1,0,0,0,1,0,0,0.01487881931431255
1,1,0,1,1,1,1,0,0,1,1,1,1,1,0.9941053071131108
0,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0069432959953632115
1,1,1,1,0,1,1,1,0,1,1,0,1,0,0.18066606553945078
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.9930729342176926
1,0,0,0,0,1,1,0,1,1,1,0,1,1,0.9930228287523485
1,0,0,0,1,0,1,1,0,1,1,1,0,0,0.9940465092210897
0,1,0,0,1,1,0,0,1,1,0,0,1,1,0.018904539626194632
1,0,0,1,1,0,0,0,1,1,0,1,1,1,0.9939609536623594
1,0,0,0,1,1,1,1,1,0,1,0,1,0,0.9930191246565839
1,1,0,0,0,0,1,0,1,0,1,0,0,1,0.9941539857052382
1,1,1,0,0,0,0,1,1,1,1,1,0,1,0.9831558186116777
0,0,0,1,1,0,1,1,0,1,0,0,1,0,0.00294563282250127
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0.010904573520156384
1,1,0,0,1,1,1,1,0,1,1,1,0,0,0.9940708129349831
0,0,0,1,0,0,1,1,1,0,0,1,1,1,0.004068712190560246
1,0,0,0,0,1,1,0,1,0,1,1,0,1,0.9940303105751743
0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.028820395293901024
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.9940614000207563
0,0,1,1,1,0,1,0,1,0,1,1,0,1,0.002009328396897743
0,0,0,0,1,1,0,1,1,1,0,0,0,1,0.006904551163845182
1,1,0,0,1,0,1,1,0,1,1,1,1,0,0.9940613478841599
0,1,0,1,0,0,1,1,1,0,0,1,0,1,0.0049601169043301295
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9920495719555057
0,0,0,0,1,1,1,0,1,1,0,0,0,1,0.005889614047325519
1,1,1,1,1,0,1,0,1,1,0,0,1,1,0.9960020031453146
