spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,0,0,0,1,1,1,0,0,1,0,0,0.01882884305208205
1,0,1,1,1,0,0,0,1,0,0,1,0,0,0.9940731503449803
0,1,1,1,1,1,0,0,1,0,1,1,1,0,0.01985423788036562
0,1,1,0,0,0,0,0,1,1,0,1,0,0,0.0029855470857739503
0,0,1,1,1,0,0,1,0,1,0,1,0,1,0.028687138050278976
0,1,0,0,1,1,1,0,0,0,1,1,0,1,0.017850548542854654
1,1,1,1,0,0,1,1,1,0,0,0,1,1,0.9970457165873171
0,0,0,0,1,1,0,1,0,0,0,0,1,1,0.007001324464431184
1,0,0,0,1,0,0,0,1,0,0,1,1,1,0.9940862548784007
1,0,0,0,0,0,0,1,0,1,1,1,1,0,0.9920392729219724
0,1,1,0,1,1,1,1,0,0,0,1,0,0,0.01482944399765006
0,1,0,1,1,1,0,0,0,1,0,1,0,0,0.017871271610386593
0,1,0,1,1,0,0,0,1,1,0,1,0,0,0.009891543728602547
1,1,0,0,1,0,0,0,0,1,0,1,1,1,0.9950555712213339
0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.00695247191253322
1,0,0,0,0,1,0,0,1,1,0,1,0,1,0.9922655130441475
1,0,1,1,1,0,0,1,1,1,0,1,0,1,0.9939982595755216
0,0,1,1,1,0,0,1,0,0,0,1,0,0,0.029687350019882167
1,1,1,1,0,1,1,0,0,1,1,1,0,0,0.17475977041513588
1,0,0,1,1,0,0,1,1,0,1,0,0,0,0.9940976374100522
0,1,1,0,0,0,1,1,0,1,1,1,1,0,0.016886657868126514
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.9969706127515888
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0.01985041451294564
1,1,1,0,0,0,1,0,0,0,1,1,1,1,0.9939453655261143
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1.0000108268656243
1,1,0,0,1,0,1,1,0,1,0,1,0,0,0.9939814342518188
0,0,1,0,1,0,1,1,1,1,0,0,1,1,0.006944530812343914
1,1,0,0,0,1,0,0,1,0,0,1,1,0,0.9919502749659234
0,0,1,1,0,0,1,0,1,1,1,1,0,1,0.006963557646930951
1,0,0,0,1,0,0,0,0,0,0,1,1,1,0.9949205536909966
1,1,1,0,1,1,0,1,1,0,0,0,0,0,0.9939756429317016
0,0,0,0,0,1,0,1,0,0,1,1,0,1,0.00592458719746217
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.0019671598301659638
0,1,0,1,1,0,1,0,0,0,1,0,0,1,0.0029054495508295942
1,0,1,0,1,0,0,0,1,0,1,1,0,0,0.9941085717329036
0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.001993695976835028
0,0,1,1,0,0,0,0,0,0,1,1,1,1,0.004950489181799509
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.0038664695646025028
1,1,1,0,0,0,0,1,0,0,1,1,1,0,0.9930765846062517
1,0,1,0,0,1,0,1,0,1,0,0,1,1,0.9920951567054156
