fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,256,8,256,47091.999945131414
1,0,0,0,1,256,32,256,135823.1999698376
0,0,0,0,1,256,8,1024,46302.999939152745
0,0,0,0,0,256,8,1024,46252.00002326581
1,1,1,0,1,64,2,1024,132269.20006803644
1,1,1,1,1,64,8,4096,130401.60000636968
1,1,1,1,1,64,8,4096,130401.59998440463
1,0,1,1,1,64,32,1024,141021.99996753168
0,0,0,0,0,64,32,4096,46314.399968829704
1,0,0,1,0,64,2,256,132473.3999525081
0,0,1,0,1,64,8,256,46344.400024742645
0,0,1,1,0,64,2,256,46508.800024596334
1,0,1,1,0,128,32,1024,138660.79999468976
1,0,1,0,1,256,8,256,134102.0000270742
1,1,1,0,0,128,32,256,134640.4000276383
1,1,0,1,0,128,32,1024,134356.5999990567
1,1,0,1,0,128,2,4096,132373.80005199197
1,1,1,1,0,64,2,256,128226.20008357156
1,1,0,0,0,64,32,256,132467.79987288293
0,1,1,1,1,128,32,4096,46787.200019699645
1,1,0,0,1,256,8,256,131945.99999780444
0,0,1,0,1,128,32,4096,46408.800013014814
0,1,0,1,0,256,8,1024,46598.60006830117
1,0,1,0,0,128,32,1024,135323.19999163836
1,1,1,0,0,256,2,1024,135845.2000010314
0,1,1,0,1,128,2,1024,46282.599927877716
0,0,0,0,1,128,2,1024,46113.19985405792
1,1,1,1,1,64,8,256,131855.99997492522
1,0,1,1,0,256,32,1024,143943.2000050661
0,1,0,0,1,128,2,1024,46099.40006243056
1,1,1,0,1,128,2,4096,134358.39988829877
1,0,1,1,1,128,32,256,137237.19992835805
0,0,0,0,1,64,2,4096,47346.20004508336
1,0,0,1,0,256,2,4096,133050.0000186813
0,1,1,0,1,128,32,1024,46436.80001939636
0,1,0,0,1,128,2,1024,46099.39996725119
0,0,0,1,0,256,2,1024,46554.599945701775
0,0,1,1,0,256,2,256,46610.20006630552
0,1,0,0,1,256,32,256,46163.399963684584
1,1,1,0,0,128,2,1024,135272.19989157544
0,0,0,0,1,64,2,4096,47346.19998980814
1,1,1,0,0,256,2,1024,135845.20003833855
1,1,0,1,1,256,2,256,131228.6000073275
0,0,0,1,1,64,8,4096,46806.60000116708
1,0,0,0,0,256,32,4096,134589.59994859158
0,0,0,1,1,64,8,4096,46806.5999774923
1,0,0,1,1,64,8,1024,135458.2000525406
0,1,1,1,1,128,8,4096,46800.8000166688
1,0,0,1,0,64,2,256,132473.39995145428
0,1,1,0,0,64,8,256,45922.8001090897
1,0,0,0,1,256,32,256,135823.19996260686
0,0,1,1,1,256,2,4096,46800.000009896256
1,1,1,1,0,64,2,4096,130506.99997766722
1,0,0,1,1,128,8,256,132351.39997304
1,0,1,1,1,256,2,1024,139540.19992136097
1,1,0,1,1,64,8,1024,125966.2000294085
0,0,0,0,1,128,2,4096,46108.19989215244
0,0,0,0,1,64,8,4096,46327.79999925606
1,0,1,0,0,128,2,256,135048.60009619017
1,0,1,0,0,128,2,256,135048.60002011902
0,1,1,0,1,256,32,256,46169.799903228915
1,1,1,1,1,64,2,4096,132912.20001847748
1,1,1,1,1,64,2,4096,132912.20010522407
0,0,1,1,0,64,8,4096,46665.20005678548
1,1,1,0,1,64,32,4096,128550.00000588263
1,1,1,1,1,128,32,4096,132082.40006950172
1,1,1,0,1,64,2,256,132282.59998541
1,0,0,0,0,64,8,256,134959.39997627554
1,0,0,0,1,128,2,4096,132203.60003605366
1,1,0,0,1,128,32,1024,133874.40014554386
1,0,1,0,0,256,8,256,133510.4000381075
0,0,0,0,1,128,8,1024,46255.19993615554
1,0,0,0,0,128,8,256,133984.80003027056
0,1,0,1,0,256,32,256,46333.00002357678
1,1,0,0,1,64,32,256,132894.80004925013
0,1,1,0,0,64,32,1024,46144.99996453602
1,1,0,0,1,128,2,4096,133052.99997348897
1,0,0,1,1,64,8,256,136979.00006153435
1,0,1,0,1,64,32,1024,138701.39990803157
1,0,1,1,0,256,2,256,140950.59996363995
0,0,1,0,0,128,32,256,46078.800039248854
1,1,0,0,1,128,2,1024,130383.4000427064
1,1,0,0,1,64,32,256,132894.80003657204
1,0,1,0,0,256,2,4096,134997.40004580212
0,1,1,1,1,256,2,256,46692.80002972883
0,0,0,1,1,64,32,1024,46600.19991396175
0,1,0,0,1,128,2,1024,46099.39995893876
0,1,1,1,1,64,2,256,46733.20005708279
1,1,0,1,1,128,2,4096,128536.39992385362
1,1,0,0,0,64,32,4096,132759.00010036922
0,1,0,1,1,64,8,1024,47491.39990900404
1,1,1,1,0,256,32,256,131548.199905642
0,0,0,1,0,256,32,1024,46418.9999744226
0,0,0,0,0,256,2,4096,46166.999983595044
1,1,0,1,0,128,8,256,131542.79998189548
0,1,1,1,0,128,2,4096,47187.00001202846
0,1,1,0,0,128,2,256,46183.79996141216
1,1,1,1,0,256,2,256,129518.80003499669
0,0,0,0,0,256,8,1024,46251.99991331128
1,1,0,1,1,64,8,256,132419.2000764789
