fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,1,1,0,64,32,4096,128959.60001147752
0,0,0,0,0,256,8,4096,46426.599957153085
0,0,1,1,0,128,32,1024,46495.60004037113
0,1,0,0,0,64,32,1024,46223.999898735005
1,0,1,1,1,64,8,256,138112.79998717268
0,1,1,0,1,64,32,256,46325.799932781425
1,1,0,1,0,256,32,4096,128968.40001374495
1,0,1,0,0,256,8,256,133510.4000075954
1,1,0,1,1,64,8,1024,125966.19989969918
1,0,0,0,1,64,2,256,133882.4000303856
0,1,1,1,0,64,32,4096,46414.19996246224
0,1,0,1,1,64,8,1024,47491.40005044654
1,1,0,1,0,64,8,1024,132315.1999896753
1,1,0,1,1,64,8,1024,125966.19989206766
1,1,1,1,0,64,32,256,128814.80003706044
1,1,1,0,1,128,32,4096,128474.59986482428
1,0,0,0,0,128,8,256,133984.8000054181
1,0,1,0,1,128,2,256,136870.8001040022
0,0,1,1,0,64,32,4096,46914.000056075805
1,1,0,0,1,256,32,256,134256.8000430341
1,1,1,1,0,128,2,1024,128922.60003014277
0,0,1,0,0,64,8,256,46528.799912847295
0,1,1,1,0,64,2,1024,46505.800050735146
1,1,1,0,1,64,2,4096,131156.59997536146
0,1,1,0,0,128,32,4096,46145.79993966521
0,0,0,0,1,256,8,4096,46281.99990934101
0,0,0,1,0,64,32,4096,46264.20007361081
0,1,1,1,1,128,8,4096,46800.800006368205
0,0,1,0,1,128,8,256,46270.99992802344
0,0,0,0,0,256,2,1024,46194.600146457444
1,0,0,0,0,256,8,1024,131793.40000001108
1,0,1,1,0,64,2,256,140491.59996648133
0,0,0,1,0,128,2,4096,47528.800021914976
0,0,0,0,0,128,8,1024,46208.00002082813
0,1,1,0,1,128,8,1024,46188.7999888171
1,0,0,0,0,256,32,256,132822.99986113023
1,0,1,0,0,128,2,4096,138294.3999826562
1,0,1,1,0,256,32,256,140016.79997781504
1,1,1,0,1,128,2,4096,134358.40001691133
0,0,0,0,1,256,8,256,46100.39995847265
0,0,0,1,0,128,2,1024,46355.19996932378
1,1,0,0,0,64,8,256,134334.00007954115
0,0,1,1,1,128,2,1024,46692.59995249165
0,1,1,1,0,128,2,4096,47186.99997852278
0,0,1,1,1,256,32,1024,46821.79988570582
1,0,0,1,0,64,32,1024,133348.20000307573
0,1,0,0,0,256,2,256,46439.99995995967
0,1,0,1,0,256,8,256,46658.800019291004
0,1,1,1,0,128,32,1024,46795.60004951767
1,0,1,1,1,64,8,1024,142007.99997645876
1,0,0,0,0,64,8,256,134959.39985337618
0,1,0,1,0,64,8,1024,46348.8000396927
0,1,1,1,0,128,2,256,46517.799910617265
1,0,1,0,1,128,32,1024,140847.2000012349
0,1,0,0,1,256,8,256,46191.99990162523
1,1,1,0,0,256,2,4096,131836.00000686035
1,0,0,1,1,64,2,4096,133870.00004989374
1,1,0,0,0,64,2,256,132203.80003608792
1,1,1,1,1,128,32,256,135538.40005969835
1,1,1,1,1,64,32,256,132168.79998745676
0,0,0,0,1,64,32,1024,46172.199961788465
1,1,0,0,1,64,8,256,134080.7999682215
1,1,1,0,0,128,32,256,134640.40008883356
1,0,1,0,1,64,2,1024,131850.19996267662
0,1,1,0,1,128,8,256,46212.39993103689
0,1,0,1,0,64,32,256,46886.00003181668
0,1,0,1,1,128,32,4096,46394.00000965867
0,1,1,0,0,256,32,1024,46047.39998257236
0,1,1,0,0,256,2,256,46407.80008228222
0,1,0,0,1,64,8,256,46237.60005206795
1,0,0,1,0,128,8,1024,136143.600020493
0,1,0,0,0,64,32,1024,46224.000019204046
1,1,0,0,1,64,32,256,132894.79999734007
1,0,1,1,1,128,8,4096,136724.39986721042
1,0,0,0,1,64,2,4096,132636.99991480948
1,0,0,1,0,64,8,4096,134655.40009860275
1,0,1,1,0,256,32,4096,138895.20010824574
1,1,0,1,1,64,8,256,132419.19997437418
1,0,0,1,0,64,32,256,130240.80008914946
1,1,0,0,1,256,2,256,135922.00000735532
1,0,1,0,0,64,8,256,131837.20001071008
1,0,1,0,0,256,2,1024,135993.4001060091
1,0,1,1,1,64,2,256,135234.0001050652
1,0,1,1,1,256,2,256,136546.1999667342
1,0,0,0,0,128,2,1024,131468.00000711318
1,1,1,1,0,256,8,256,124653.80001369333
1,0,0,1,0,128,2,1024,131781.2000090367
1,0,1,0,1,128,32,4096,138524.59990168991
0,1,0,0,0,64,32,4096,46336.19999160784
0,0,1,1,1,64,2,4096,46572.79985641724
0,0,1,1,0,256,32,4096,47277.99998578726
0,1,1,1,0,256,8,256,46539.59998069895
1,1,0,1,0,64,8,1024,132315.1999394874
0,0,1,0,0,256,32,256,46243.19993720189
1,0,1,0,1,64,8,256,138369.40007003827
1,1,0,0,1,64,2,256,134110.599957048
1,1,1,1,0,64,8,1024,126794.8000086576
1,1,0,1,0,64,2,1024,139402.39993571062
1,0,0,0,1,128,32,256,133749.4000062374
0,0,1,1,1,128,32,256,46567.79989506378
