WindowSize,CompressionLevel,Performance
23,4,2.726
15,6,5.306
10,3,2.616
22,0,1.596
23,0,1.556
18,1,1.63
19,7,10.05
20,2,2.088
17,2,2.102
10,4,3.02
19,7,10.05
24,3,2.478
23,7,20.474
22,6,10.266
14,10,301.488
11,1,1.526
11,11,343.996
19,11,258.502
16,3,2.508
15,4,2.834
23,0,1.556
23,7,20.474
24,3,2.478
16,8,7.548
16,10,285.0
15,11,292.192
19,6,9.336
18,1,1.63
23,7,20.474
16,8,7.548
17,1,1.612
12,8,5.318
17,9,10.152
18,5,6.714
16,9,9.094
15,6,5.306
20,11,246.08
13,4,2.972
15,1,1.52
16,2,2.026
10,4,3.02
10,2,2.146
12,8,5.318
19,9,14.048
23,5,7.178
16,6,5.77
17,1,1.612
17,9,10.152
20,11,246.08
16,7,6.998
13,2,1.942
18,4,2.824
12,9,6.47
14,4,2.894
19,8,11.508
14,7,5.896
13,1,1.514
23,2,2.032
19,11,258.502
16,6,5.77
20,11,246.08
24,9,108.602
15,10,291.618
19,8,11.508
12,1,1.542
11,4,3.04
22,3,2.5
17,11,307.42
11,1,1.526
20,9,17.4
18,7,8.628
19,8,11.508
22,11,259.594
24,6,10.176
21,1,1.598
24,9,108.602
15,3,2.392
14,2,1.9
20,9,17.4
13,3,2.37
17,10,307.144
20,3,2.546
22,1,1.586
22,10,256.21
18,1,1.63
10,3,2.616
17,2,2.102
14,5,4.678
22,3,2.5
18,10,279.698
24,4,2.708
21,9,23.614
18,5,6.714
10,0,1.662
13,0,1.514
20,0,1.63
17,2,2.102
17,2,2.102
20,4,2.808
11,3,2.476
