WindowSize,CompressionLevel,Performance
15,0,1.534
23,8,37.284
14,0,1.472
24,3,2.478
23,6,10.22
19,6,9.336
23,6,10.22
18,9,11.954
20,10,246.512
18,7,8.628
16,4,2.77
17,7,7.636
23,4,2.726
23,4,2.726
19,8,11.508
13,4,2.972
10,8,5.046
18,9,11.954
23,2,2.032
16,2,2.026
16,8,7.548
12,0,1.528
18,4,2.824
18,2,2.094
13,4,2.972
14,3,2.302
10,2,2.146
12,1,1.542
17,2,2.102
16,8,7.548
21,0,1.604
18,2,2.094
19,7,10.05
14,5,4.678
20,3,2.546
21,1,1.598
12,1,1.542
13,11,315.078
16,2,2.026
14,5,4.678
19,9,14.048
14,7,5.896
22,10,256.21
12,3,2.426
10,3,2.616
13,4,2.972
16,2,2.026
11,2,1.998
17,0,1.606
16,9,9.094
16,2,2.026
23,3,2.478
17,8,8.454
16,0,1.59
12,2,1.988
14,4,2.894
10,11,363.346
13,2,1.942
11,8,5.042
14,9,7.404
18,9,11.954
13,6,4.3
23,11,315.238
16,10,285.0
23,1,1.572
11,11,343.996
24,10,392.744
10,4,3.02
24,10,392.744
11,6,3.57
20,2,2.088
16,8,7.548
17,9,10.152
16,3,2.508
21,5,7.272
20,2,2.088
18,10,279.698
23,3,2.478
24,2,2.04
16,7,6.998
14,0,1.472
15,8,6.738
19,2,2.1
20,7,12.338
19,8,11.508
21,5,7.272
21,5,7.272
17,7,7.636
17,8,8.454
24,3,2.478
10,3,2.616
22,7,19.626
24,0,1.574
23,7,20.474
20,10,246.512
17,6,6.34
15,10,291.618
20,6,10.658
23,4,2.726
16,4,2.77
