new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,0,1,0,0,60,2048,4,9146.4
1,0,1,1,0,60,64,6,90940.2
2,1,0,0,0,90,8,2,5078.0
5,1,0,1,0,30,4096,4,9211.0
4,1,0,1,1,100,1024,4,43693.2
4,0,0,1,0,80,1,0,35880.2
5,1,1,0,1,70,4096,2,9160.0
5,0,1,1,1,100,16,4,9107.4
1,0,1,0,1,0,8,10,85179.4
5,0,0,0,0,90,2048,8,121264.8
3,0,0,1,0,0,2,4,16080.4
4,0,1,0,0,70,128,8,39306.2
1,1,1,0,1,40,16,2,17731.2
4,0,1,0,1,10,4,2,9522.4
2,0,0,0,1,70,256,10,100996.6
1,0,0,1,0,0,1,2,17987.8
1,1,1,0,1,80,2,6,73777.4
2,0,0,0,1,60,8,2,5189.4
3,0,0,1,0,30,4096,0,12033.6
2,1,0,0,0,10,2048,0,5739.8
2,1,1,0,1,60,1,8,83456.6
1,0,1,0,0,80,4096,10,101479.8
4,1,1,0,0,60,1,10,265987.6
1,0,0,1,0,0,1024,0,17962.6
4,1,1,1,1,40,2048,4,43750.0
2,1,0,1,1,0,4,8,131675.0
3,1,1,1,0,40,1024,10,48739.4
1,1,0,1,1,90,1,4,15237.4
4,0,1,1,1,50,256,0,35830.0
4,0,1,0,0,10,4096,8,46969.2
3,1,1,0,0,80,128,4,12119.2
2,1,1,0,1,0,2048,6,82573.8
2,1,0,0,1,70,1024,6,84970.0
4,1,0,0,0,70,256,6,19326.0
1,1,1,0,0,20,16,4,12026.8
2,1,1,1,1,40,64,2,17635.8
5,0,1,0,1,70,4096,2,9198.0
1,0,1,0,0,70,1024,6,88425.0
3,0,0,1,0,30,256,10,48652.4
4,0,1,1,0,50,8,8,124942.6
2,0,0,0,0,80,4096,2,4708.0
2,0,1,1,1,10,128,6,93676.4
5,1,1,1,1,50,4,6,47684.2
5,1,0,0,1,50,2,10,299595.6
4,0,1,1,1,40,256,4,43422.8
3,1,0,1,0,30,512,10,48645.0
1,0,1,1,1,90,128,4,11771.8
5,1,1,1,0,20,64,4,9135.4
1,1,1,1,0,30,4,4,12462.8
3,1,0,1,0,50,4096,8,38004.4
4,0,1,1,1,100,256,10,416922.6
1,0,1,0,0,20,64,2,17730.8
4,0,1,0,1,90,16,0,8978.2
5,0,1,1,0,90,1,2,9088.2
1,0,0,1,0,30,4096,2,17735.4
3,0,1,0,0,0,128,0,16003.0
2,1,0,0,1,10,128,10,99628.6
3,0,0,1,0,10,4096,0,12386.4
3,1,1,1,1,0,2048,0,16089.2
1,1,1,1,1,10,8,2,17702.6
1,0,1,1,1,30,512,4,11955.6
4,1,1,0,1,10,2048,8,46808.6
2,1,1,0,1,10,32,6,87210.6
4,1,0,1,0,90,32,6,49438.8
3,1,0,1,1,0,4,2,16016.8
2,1,1,0,1,30,4096,2,4842.4
2,0,0,0,1,100,16,4,5074.8
3,1,1,1,1,30,16,0,12134.0
4,0,1,1,0,60,4096,10,414620.6
5,1,0,1,1,40,1024,6,47655.4
5,0,0,1,1,10,4096,0,9184.4
2,0,0,1,0,70,128,2,17709.0
3,1,1,0,0,20,256,6,10936.8
5,0,1,0,1,70,64,6,47599.4
4,1,0,1,1,0,256,10,422061.4
3,0,1,1,1,0,8,4,16014.6
3,0,1,1,0,20,2,0,13282.6
5,0,0,0,0,10,16,0,9138.0
3,0,1,0,0,20,256,6,10933.4
5,1,0,0,0,90,32,8,122071.8
4,0,1,1,0,20,32,0,35830.4
2,0,0,1,0,30,16,6,93533.0
3,1,1,1,0,90,512,8,37805.4
2,1,1,0,0,70,2048,2,4750.8
1,0,0,0,0,50,2,4,13260.8
1,1,1,1,0,90,512,6,91011.0
5,1,0,0,0,30,64,10,301243.8
3,1,1,0,1,0,4096,0,15930.8
2,0,1,1,1,90,512,6,91033.4
1,1,0,1,1,90,64,10,102565.8
2,0,1,0,0,50,256,4,4557.6
4,0,1,0,1,20,512,8,41965.2
3,1,1,0,0,0,16,0,15950.0
2,0,1,0,0,30,2,8,79884.6
1,0,0,0,1,30,2048,2,17766.4
2,0,0,1,0,10,4096,10,105705.2
4,1,0,1,0,100,512,8,125120.8
5,1,1,0,0,50,4096,6,47681.2
3,1,0,1,0,0,2,10,48340.0
5,0,0,0,0,10,16,10,298902.2
