spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0.9940898007811017
0,1,1,1,0,0,0,1,1,0,1,1,0,1,0.00392900764246173
1,1,0,1,1,1,1,1,1,0,1,1,1,0,0.9940207204374087
1,0,1,1,0,0,0,1,0,1,1,1,0,0,0.9979489802778936
1,1,1,0,0,1,0,1,1,1,0,0,1,0,0.9921044173185933
0,0,1,1,1,1,1,1,1,1,1,0,1,0,0.006981667207629612
0,0,0,1,1,0,1,1,0,1,0,0,1,0,0.003020086976403809
1,0,0,0,1,0,0,0,0,1,1,0,0,1,0.9939926797616655
1,1,1,0,1,1,0,1,1,0,1,0,0,0,0.9930679284270685
1,1,1,0,1,1,0,1,1,1,0,0,0,0,0.994079738945152
1,0,0,0,1,0,1,1,0,0,0,1,1,0,0.9940738306967446
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0.005937431705809953
0,1,1,1,0,1,1,0,1,0,0,1,1,1,0.012932282278401151
0,1,0,0,1,1,1,1,1,0,1,0,1,1,0.016013059647120974
1,0,1,1,0,0,1,0,0,0,1,1,0,0,0.9980308591155076
0,1,0,1,0,0,0,1,1,0,0,0,1,0,0.0031140511496382107
1,0,0,0,0,1,0,0,1,0,1,0,0,1,0.9920179708378575
0,0,1,1,0,0,0,1,0,1,0,1,1,0,0.003001505048700543
1,0,0,1,0,1,0,1,0,1,1,0,0,1,0.9930301397787434
1,1,0,0,0,1,0,1,0,1,1,0,0,1,0.9921604072606871
0,1,1,1,1,1,1,1,0,0,1,1,0,1,0.012957923266897682
1,1,1,0,0,1,0,1,0,0,0,1,0,0,0.9920301587571311
1,0,0,1,0,0,0,1,1,0,0,0,1,0,0.9970453209869339
0,1,1,1,1,0,0,1,1,1,1,1,0,1,0.00893638523644891
1,1,1,0,0,1,1,1,1,0,0,1,1,0,0.9930073684766779
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.9930750667109184
1,1,1,1,1,1,0,1,1,0,1,0,0,1,0.9939342682923407
1,0,1,1,0,0,0,1,0,1,1,1,1,1,0.9980467827973524
1,1,0,1,0,0,1,1,0,1,1,1,1,0,0.9970576122248044
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0.0030812285976798953
0,0,0,1,0,0,1,0,1,1,1,1,1,0,0.004948576641655888
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.9920160627480771
0,0,0,0,1,1,1,1,0,0,1,1,0,1,0.0069409559042788865
1,1,1,1,1,1,0,1,1,0,0,0,0,1,0.9939489202727373
0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.003934348795118133
0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.020878034800415585
1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.9980430624062491
1,0,0,1,0,1,1,1,0,1,1,1,1,0,0.9941359119834038
0,1,0,0,1,1,1,1,0,1,0,1,0,0,0.01790660087669045
0,0,0,0,1,1,0,1,0,0,1,1,1,0,0.00689789973332641
0,1,0,0,0,1,1,0,0,1,1,1,1,1,0.014917591578159107
0,1,0,0,1,1,0,1,1,0,0,0,0,1,0.017876687056109692
0,1,1,0,0,0,0,0,1,1,1,0,1,1,0.0009897554749875657
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.006989809792386597
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.9940305741417391
1,1,1,0,1,1,0,1,1,0,0,0,1,0,0.9940838807509333
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0.9921134838785343
