spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.9940059547858606
1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.991901377840576
1,1,1,1,0,0,1,1,0,0,1,0,1,1,0.996918921994487
1,1,0,0,1,1,1,0,1,1,0,0,0,1,0.9941557874348582
1,0,0,1,0,0,0,0,1,1,0,1,1,0,0.9968707722902369
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.004908866218203011
1,0,0,0,1,1,1,1,0,0,0,0,1,0,0.9931512933403805
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.006872775134646111
0,0,1,1,0,1,1,0,0,1,1,1,0,1,0.005946175350586894
1,0,0,0,0,1,1,0,1,1,0,0,1,1,0.9929456846468941
0,0,0,1,1,0,0,1,1,1,0,0,1,1,0.027797186564865798
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0.9940847434217078
0,0,1,0,1,1,1,0,0,1,0,1,0,1,0.006015096455234323
1,1,0,0,0,0,0,0,1,0,0,1,1,1,0.9940252995028557
0,0,1,0,1,0,1,0,1,0,0,0,1,0,0.006909041549353551
1,0,1,1,1,0,1,1,0,0,0,1,0,0,0.993965511422477
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.9940204787387844
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.010956040207654436
1,1,0,0,1,0,1,1,0,1,1,1,1,1,0.9940469983472545
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.9940926453613731
1,0,1,1,0,0,1,0,0,1,0,1,0,1,0.9980162551228743
1,0,0,0,1,1,0,1,0,1,0,1,0,0,0.9930462737113771
0,1,0,1,0,0,0,1,1,0,1,1,1,0,0.004025576962394934
1,1,0,0,1,1,0,1,1,0,0,0,1,1,0.993183385116196
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0.9939233795574993
0,1,1,0,1,0,0,1,1,1,1,0,0,1,0.008943107747614724
1,1,0,1,1,1,1,0,1,1,0,0,0,0,0.9929675567484858
1,1,1,0,0,1,1,0,1,1,0,0,0,1,0.9921250773712379
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.9940293142620873
1,1,0,0,1,1,1,1,0,1,0,0,1,0,0.9941189605482516
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.005986602509489723
0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.006989121620262668
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.002963886588486173
1,1,1,0,0,0,0,1,0,0,1,0,1,1,0.9929638482622725
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.02383410868443052
1,1,0,0,0,1,0,1,1,1,1,1,0,0,0.99203379424623
1,0,0,0,1,1,1,0,1,0,0,1,1,1,0.9920751497703293
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0.006030510043976548
0,0,0,1,1,0,0,1,0,1,1,1,1,0,0.028797462414383
0,1,0,0,0,1,1,0,1,0,1,0,1,1,0.014919835683408713
0,1,1,1,0,0,0,0,0,1,1,0,0,0,0.003900343516653013
0,1,1,1,1,1,1,0,1,0,0,0,1,0,0.012910279981697276
0,0,1,1,0,0,1,0,0,1,1,1,1,0,0.006921343397896275
0,0,1,1,0,1,1,1,0,1,1,0,1,0,0.006964636548910364
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0.0029792800817681005
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.006968539479993845
1,0,0,1,0,1,1,0,0,0,1,1,1,0,0.9939899642355693
0,0,1,0,1,1,1,1,1,1,1,0,0,0,0.007009346516649379
1,0,1,0,0,1,1,1,0,0,1,0,0,0,0.9939786613789185
0,1,1,0,0,0,1,1,1,0,1,0,0,1,0.01788709975544889
0,0,0,0,1,1,0,1,0,1,1,1,0,1,0.007009326565053105
0,0,1,0,1,0,0,0,1,1,1,1,1,0,0.027890501886716292
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.9951035206710802
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.004973705135148925
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.9939351445062546
1,0,1,1,1,1,0,1,0,0,1,1,1,1,0.9920954694799479
0,0,1,0,1,1,0,1,1,0,1,1,1,0,0.00691831705073592
1,0,1,1,0,1,0,1,1,1,1,1,0,1,0.9921439068145732
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.9921275050633165
0,0,0,1,0,1,1,1,1,0,1,1,1,1,0.0069125081141887855
0,1,1,0,0,0,0,1,1,0,0,1,0,1,0.0029339983000110544
