fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,0,128,8,256,46318.000073021125
0,1,1,0,0,64,2,256,46338.6000542157
1,0,1,1,0,128,32,1024,138660.8000055918
1,0,0,1,1,128,8,1024,135632.59992012868
0,1,0,0,0,256,8,256,46335.59993250647
0,0,1,0,0,64,8,256,46528.80004152105
1,1,1,1,0,256,32,1024,127038.79996757327
1,0,1,1,1,256,8,4096,136682.999985558
0,0,1,1,1,64,8,256,46834.40005137181
0,1,0,1,1,128,2,256,46366.999987592535
1,1,0,1,1,64,2,4096,134920.39995528455
0,0,1,1,0,64,2,1024,46455.99994312405
1,1,1,1,1,128,2,4096,131763.59995080726
0,1,1,0,1,64,2,256,46194.40005806556
0,0,1,0,0,64,8,4096,46330.80000062356
0,1,1,1,1,128,2,1024,46877.20003695408
1,0,0,1,0,256,8,1024,132022.3999470525
0,1,1,0,1,128,32,4096,46577.5999356677
0,1,0,0,1,128,8,4096,46302.99996990349
1,0,1,1,0,128,2,1024,140841.99998705313
0,0,1,1,0,128,8,4096,46503.20001167915
0,0,0,1,1,256,32,1024,46368.40004467676
0,1,1,0,0,64,8,1024,46317.800084048045
1,1,1,1,1,64,2,1024,131163.4000017915
0,0,1,0,1,64,8,4096,46345.59995193119
1,0,0,1,1,64,32,4096,134370.80004093423
1,0,0,0,0,64,8,1024,132699.99995603343
0,1,1,0,1,256,8,256,47092.00002062088
1,0,1,1,0,64,8,256,141618.39997945225
0,1,1,1,0,256,32,4096,46451.40005731492
1,0,1,1,0,128,2,256,138332.60011795894
0,1,0,0,1,64,32,1024,46172.79990350371
1,0,0,0,0,256,8,1024,131793.40001525937
1,1,1,0,1,128,2,256,130635.20006389466
0,0,1,1,0,256,8,256,46479.80006393928
1,1,0,0,0,64,32,4096,132758.99999706252
1,0,1,1,1,128,8,1024,139292.79994251966
0,0,0,1,0,128,32,256,46457.20001572891
1,1,0,1,1,128,8,4096,126456.8000123991
0,1,1,0,0,128,2,256,46183.79988913141
0,1,1,0,1,64,2,1024,46614.39994911958
1,0,1,1,1,64,32,4096,138867.00000615636
1,1,0,0,0,64,8,256,134333.9999651659
0,0,1,0,0,64,32,4096,46191.20003590747
0,1,1,0,1,64,2,256,46194.39998934682
0,0,0,0,1,64,32,256,46295.399900061275
1,0,0,1,0,64,32,1024,133348.1998867451
1,0,0,1,0,128,8,1024,136143.60006523554
0,0,0,1,0,256,8,1024,46393.39995359126
0,1,0,1,0,64,2,1024,46447.600023013285
0,0,1,1,0,128,8,256,47257.19997307239
0,0,1,0,0,64,8,4096,46330.79997618839
1,1,1,1,1,256,8,256,136030.60000465703
0,0,0,1,1,256,2,1024,46274.199973079776
1,1,0,0,0,64,32,4096,132758.99997404238
0,0,0,1,0,64,32,256,46298.39991426396
0,1,0,1,0,128,8,1024,46355.99993916269
1,1,1,1,1,128,2,1024,132656.99994365807
0,0,1,1,0,128,8,256,47257.20002339561
0,0,1,0,0,256,2,4096,46143.40000861104
1,1,0,1,0,128,2,256,135754.40011443317
1,1,0,1,1,128,32,4096,131405.0000387394
1,0,1,0,1,128,8,4096,137829.59985582327
0,0,1,1,0,64,32,256,46700.80001257145
0,0,0,1,1,128,2,1024,46407.80008925855
1,0,0,1,1,64,2,4096,133870.00003392244
1,0,1,0,1,64,8,256,138369.40008017048
0,0,1,0,0,128,2,4096,46307.200064229604
1,0,0,0,1,64,2,256,133882.3999762593
1,1,0,1,1,64,2,4096,134920.40008757255
1,0,0,0,0,64,2,4096,132542.00003861028
1,0,0,1,1,64,32,4096,134370.8000283051
1,1,1,1,0,256,32,1024,127038.79994466179
1,0,1,0,1,256,32,1024,134690.40002806988
1,0,1,1,0,128,2,4096,131911.2000469168
1,1,0,1,1,64,8,256,132419.19998832326
0,1,0,1,0,256,8,256,46658.79992082337
1,0,1,0,0,64,32,1024,134519.000029715
1,0,1,0,1,128,32,1024,140847.1999594056
1,0,1,0,1,256,8,1024,134254.1999521289
0,1,0,1,1,64,2,4096,46521.200073180975
1,1,1,1,0,128,32,4096,127500.79999889362
1,0,1,1,1,256,2,4096,140433.0000284465
0,1,0,0,1,256,2,256,46288.600015744065
1,0,0,0,1,64,8,4096,129470.99999579969
1,0,1,0,0,128,2,256,135048.5999904972
1,0,0,0,1,128,2,1024,135629.9999668291
0,1,1,1,0,128,2,1024,46400.20000059355
1,0,1,1,0,128,8,1024,138096.8000189015
1,0,1,0,1,128,8,256,136260.8000443146
0,1,1,1,1,256,2,256,46692.800066688775
0,0,0,0,0,128,8,4096,46245.80007982036
1,0,1,1,1,256,8,4096,136682.99998203042
1,1,0,0,1,128,32,4096,133873.00003923295
0,0,0,1,1,256,8,4096,46339.39999537977
0,1,0,1,1,64,8,256,46752.39998620335
1,1,1,1,1,64,2,4096,132912.20005964147
1,0,1,0,1,64,2,4096,137288.99998729373
1,0,1,0,1,64,8,256,138369.40004061055
0,0,1,0,0,256,32,1024,46212.80002788859
