ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,83534.4
1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,82937.4
1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,77390.8
1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,75391.2
1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,68336.4
1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,71841.0
1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,63851.4
1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,80624.8
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,67813.0
1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,77375.0
1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,66039.8
1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,87285.0
0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,63840.2
0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,62255.6
0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,77028.8
1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,73066.6
1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,92246.2
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,69766.6
0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,70909.6
0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,94394.2
0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,84652.2
0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,74441.2
0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,69895.6
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,68404.2
1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,75287.2
1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,99774.2
1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,69177.4
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,60375.4
0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,74190.4
0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,84678.0
0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,82934.8
1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,77417.8
0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,60541.4
0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,78547.2
1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,74148.4
0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,86802.8
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56785.4
1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,98419.0
1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,84319.4
1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,95300.4
0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,72357.6
0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,78946.2
0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,86062.8
0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,72756.8
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,70735.8
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,62901.4
0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,90930.0
0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,75468.0
0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,69620.8
0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,91240.6
0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,87962.4
0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,83034.4
0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,67457.2
1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,61014.8
