fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,1,0,256,32,4096,133534.1999288424
0,0,0,1,0,128,8,1024,46551.60011921195
0,1,1,1,1,128,2,1024,46877.19989446088
1,0,1,0,1,128,2,1024,135485.59993043562
1,0,0,0,1,64,32,1024,130868.60001184799
0,0,0,0,0,128,32,4096,46476.20001225185
0,1,0,0,0,64,2,256,46500.399990950835
1,1,0,1,1,256,2,1024,130103.39997763633
1,1,0,0,1,128,32,1024,133874.40010447646
1,0,0,1,0,64,32,4096,130955.7999144495
0,0,1,1,1,128,32,1024,46659.599963306035
1,0,0,1,1,256,8,1024,135590.60006144946
0,0,1,0,0,64,32,4096,46191.20002058168
0,0,0,0,0,128,32,256,46254.9999304867
0,0,0,0,1,128,2,1024,46113.20015298942
0,1,0,1,1,128,32,1024,46648.60004824462
0,1,1,0,0,256,2,256,46407.799876697805
0,1,1,0,0,64,2,4096,46357.80000621476
1,0,0,0,1,256,32,1024,139425.9998979807
1,1,1,1,0,256,2,4096,127337.59986902769
0,0,1,0,0,256,2,1024,46432.199963256564
0,0,1,1,0,256,32,1024,47774.00003072029
1,1,1,0,0,128,2,1024,135272.19999831705
1,1,0,1,0,64,2,256,134157.40010668343
0,1,0,0,1,128,8,256,46673.200094121545
0,0,0,0,1,128,8,1024,46255.20005602625
0,1,0,0,0,256,8,4096,46102.0000818318
0,1,1,0,1,128,8,4096,46460.80002487453
1,0,1,1,0,256,32,1024,143943.2000518016
1,0,0,1,0,64,8,256,133164.40010075163
1,1,0,0,1,128,32,4096,133872.99998785427
1,1,1,0,0,64,8,256,130526.8000164529
1,0,1,0,0,64,8,256,131837.19993688774
0,1,1,1,0,128,32,4096,46612.799999931565
0,0,1,0,0,256,2,4096,46143.40000347686
1,1,0,1,0,64,8,256,133942.99993257938
1,1,1,0,0,256,32,1024,132806.79987774906
1,0,0,0,0,128,8,1024,130750.799937744
1,1,1,1,0,128,8,4096,129330.00003100792
1,1,1,1,0,256,2,256,129518.7999398429
1,1,0,1,0,64,8,1024,132315.1999670027
1,1,1,1,0,256,32,256,131548.20001416854
0,0,0,1,0,256,2,256,46452.60001707599
0,1,1,0,1,128,2,256,46285.59999377036
0,0,0,1,1,256,2,4096,46327.400039163775
1,0,1,1,0,128,32,1024,138660.8000462309
1,1,0,1,0,128,32,4096,130274.60000557017
1,1,1,1,1,128,8,4096,130405.59993802373
0,1,0,0,1,64,8,4096,46203.20002325933
0,0,1,1,0,256,8,256,46479.79994260819
1,1,1,1,1,64,8,4096,130401.5999584406
1,1,1,1,1,64,8,1024,131357.9999599757
0,1,1,1,0,256,32,1024,46477.8000002212
1,1,1,0,1,64,2,256,132282.59994304887
1,1,1,0,0,256,2,256,129738.20003415615
1,1,1,0,0,256,2,256,129738.19996384492
1,0,1,0,1,256,8,4096,136736.19996131046
0,1,0,0,0,64,2,256,46500.399905044986
1,1,0,0,1,256,32,4096,134608.59993057695
1,0,0,0,1,128,8,4096,140983.39995653738
0,0,0,0,0,256,8,4096,46426.600071638124
1,1,0,1,1,64,2,1024,128299.59997359275
1,1,0,0,0,256,8,1024,132666.19995434044
0,0,0,1,1,64,2,256,46471.199999056
1,0,0,1,1,128,8,1024,135632.60003600444
1,0,1,1,0,128,32,4096,138185.40002347343
1,0,1,0,0,64,32,256,137127.00004052554
1,0,1,1,1,128,32,1024,142199.6000406512
1,0,0,1,1,64,2,4096,133869.99998423443
1,1,1,0,1,128,32,256,128130.19991894254
0,0,1,1,1,128,32,1024,46659.60000885469
0,1,1,1,0,128,2,256,46517.79998144958
1,1,1,0,1,128,2,256,130635.20001296286
1,0,1,1,1,256,8,4096,136682.99993199404
1,0,0,1,0,256,2,1024,133313.60007480663
0,0,0,1,0,64,2,256,46461.5999723928
0,0,0,1,1,128,32,1024,46258.399983621144
1,1,1,1,1,64,32,256,132168.79992095198
0,1,0,1,0,128,2,4096,46394.39994410149
0,0,1,0,1,64,2,256,46268.8000086021
1,0,0,0,1,256,2,256,133749.00009309888
0,0,0,1,0,256,32,256,46346.399988635116
1,1,0,1,1,128,32,256,130087.39988612397
0,0,0,1,0,64,8,256,46268.99991547429
0,1,1,0,1,64,32,4096,46412.399894342525
0,0,0,1,1,128,2,4096,46338.80003768182
0,0,1,0,0,256,2,4096,46143.40001456608
0,0,0,0,1,128,2,1024,46113.20007979914
1,0,1,0,1,64,32,4096,135629.40005412485
0,1,0,1,1,64,8,1024,47491.40002573982
1,1,0,1,1,64,32,1024,123397.20003392412
0,1,1,0,1,64,32,1024,46469.600045079125
0,0,0,0,1,256,8,256,46100.40001983797
0,0,0,0,0,256,8,256,46305.59990540505
1,1,0,1,1,128,8,4096,126456.80003782402
1,1,0,1,1,256,2,4096,125375.60010498029
0,1,1,0,1,256,32,1024,46493.80006483448
1,1,0,1,0,256,8,1024,131766.39989796432
1,1,1,1,1,128,32,4096,132082.40002829174
0,1,1,1,1,256,8,4096,46925.39986409375
