spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,0,0,0,0,1,0,0,1,1,1,0,1,0,0.9919880173548644
0,1,0,1,0,0,0,1,1,1,1,1,0,1,0.0039761531292580796
1,0,1,0,1,1,0,1,1,0,0,0,1,1,0.9930183827387054
0,0,0,1,0,1,1,0,0,1,0,1,1,1,0.007023408979842864
1,1,0,1,0,1,0,1,1,1,0,0,1,1,0.9939775272633417
1,0,0,1,1,0,1,0,1,0,1,1,0,0,0.9940904655993649
1,0,0,1,1,0,1,0,1,1,0,1,0,1,0.9941388194044484
1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.9830423820581519
1,0,1,1,1,1,1,1,1,1,1,0,0,0,0.9940224244479455
0,1,0,0,1,1,0,1,0,0,1,0,1,1,0.018843208152674495
0,0,1,1,0,0,0,0,0,1,0,1,1,1,0.003041764416413555
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0.005942777579019774
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0.004005595200311719
0,0,1,0,1,0,0,1,1,0,1,1,0,1,0.02988935641895012
1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.9941444639789655
1,1,0,1,0,0,0,1,0,0,1,0,0,1,0.9960501058209342
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.9970040833536314
0,0,1,1,0,0,1,1,0,1,1,0,1,1,0.006005818143210696
0,1,1,1,1,0,1,0,1,0,0,0,1,1,0.011906229863151924
0,1,0,1,1,0,1,1,0,0,1,1,1,1,0.00393838082188198
1,0,0,1,0,0,1,1,0,0,1,1,1,0,0.9988638194672724
0,0,1,1,0,1,1,0,1,0,0,0,1,0,0.006924184617453119
1,1,0,1,0,1,0,1,0,0,1,1,0,1,0.9940697129508865
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0.006890239208444666
0,0,0,1,0,1,1,1,0,0,0,0,0,1,0.006973782130937117
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0.993107526403076
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0.0029434902092817933
1,0,0,0,0,0,0,1,0,1,1,0,1,0,0.9920296276911765
1,0,1,0,0,0,0,1,1,1,0,1,1,1,0.9940651193082722
1,0,0,1,1,0,1,1,1,0,1,1,1,0,0.9940756996053456
0,1,1,1,1,0,0,0,1,0,1,0,0,1,0.008880932007120916
1,0,0,0,1,1,0,0,0,1,1,0,1,0,0.993077928152743
1,0,0,1,0,1,0,0,1,0,1,0,1,1,0.9920750053802238
1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.9941447771495184
1,0,0,0,1,0,1,1,1,0,1,0,0,1,0.994021665893473
0,1,1,1,0,0,1,1,0,1,0,0,1,0,0.002909459527548367
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.010922708730915524
0,0,1,0,1,0,1,1,1,1,1,1,0,1,0.007026700951029023
0,1,0,0,0,1,1,1,0,1,1,0,1,1,0.01486726156885397
1,1,1,0,0,0,1,0,1,1,1,0,1,0,0.9940575816842113
0,1,0,1,1,0,1,1,1,1,1,1,0,0,0.003866490511380163
0,0,1,1,1,1,0,0,1,0,0,0,1,1,0.005964518678405653
1,0,1,1,1,1,0,0,0,1,1,1,1,1,0.9930120860307504
0,1,1,1,0,1,0,0,1,0,0,1,0,1,0.01491190593851145
1,1,1,1,0,1,1,1,0,0,1,0,1,1,0.1846744067601719
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0.014881840607793843
1,0,1,1,0,0,1,1,0,1,1,1,1,0,0.997965022918657
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0.9929242933040663
