ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,79992.6
1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,76626.6
1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,75663.2
0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,87290.8
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,84790.8
0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,69292.6
1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,71346.4
1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,76391.8
0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,60271.4
0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,73308.4
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,67285.0
0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,66882.4
0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,69874.0
0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,87330.6
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,84072.8
0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,78095.6
1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,92916.2
1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,86313.4
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,80232.0
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,70684.0
1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,82441.8
0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,78057.4
1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,70121.0
0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,82993.0
0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,78001.2
