spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,1,0,1,1,1,0,0,0,1,1,1,0.18167788123042872
0,1,1,1,0,1,0,0,1,1,1,0,1,0,0.014990950816455207
0,1,1,0,1,0,0,1,1,1,0,1,0,1,0.009859228562906218
1,1,1,0,0,1,0,1,0,1,0,0,0,1,0.9930373180699655
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.01694883891223408
1,1,0,0,1,1,0,1,1,0,1,0,0,1,0.9931054251335435
0,0,0,0,0,1,1,1,0,1,0,0,1,0,0.005977025526204948
0,0,0,1,1,1,0,1,0,1,0,0,0,1,0.006880112918808465
1,1,0,1,0,1,0,1,1,1,1,0,0,1,0.9930569915892148
1,1,0,0,1,1,0,1,1,1,1,0,0,0,0.9929951087924794
1,0,1,0,0,0,1,1,0,0,0,1,1,1,0.10436781103356989
0,0,0,1,0,0,1,0,0,0,1,1,1,1,0.004002908303574947
1,1,1,0,0,0,1,1,1,0,0,1,1,0,0.9940286073666954
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.028750719686082143
0,1,0,1,1,1,1,1,0,1,1,0,0,1,0.0160058508852173
1,1,1,0,0,0,1,0,1,1,0,1,0,0,0.9941164455100684
0,1,1,1,0,1,0,0,0,1,0,1,0,0,0.014858247617967167
0,0,1,1,0,1,1,1,0,1,0,0,0,0,0.00694504486820758
1,0,1,1,0,0,0,0,1,1,0,1,1,0,0.9980501171047885
1,1,0,0,1,0,1,1,1,1,1,0,0,1,0.994069321496552
0,0,1,0,1,1,1,1,1,1,0,0,1,0,0.006982721788850316
1,1,0,1,1,1,1,0,0,0,0,1,0,1,0.9929814241976916
1,1,1,1,1,0,1,1,1,0,0,1,0,1,0.995087134683854
0,1,1,0,1,1,1,0,0,1,0,1,1,1,0.01483641913895035
1,0,1,0,1,0,0,0,0,0,1,0,1,1,0.9941206583387888
0,1,0,0,0,0,0,0,0,0,1,0,1,1,0.009871966299679555
0,1,0,0,1,0,1,1,0,0,1,1,0,1,0.02181102071575169
1,1,0,1,1,1,0,0,0,1,0,0,0,0,0.9940530718199297
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.009919595081238923
0,1,1,1,0,0,0,1,0,0,1,1,0,0,0.003908531428856208
0,1,1,0,1,0,1,1,1,0,1,0,0,0,0.02084841767777056
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9979840943551525
1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.9930213303391957
