fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,1,0,256,32,4096,46451.400035601684
0,1,1,1,1,256,2,256,46692.79999525498
1,1,1,1,1,64,2,1024,131163.39998415764
1,0,0,1,1,64,2,4096,133870.00006332414
1,1,1,0,1,256,2,256,137593.60001539192
1,1,0,0,1,256,2,4096,132262.20004270412
1,0,1,0,1,128,32,1024,140847.20003120895
0,1,1,1,0,64,2,256,46507.799942998194
0,0,0,1,0,64,32,4096,46264.20004825137
1,1,0,0,1,128,32,1024,133874.39994273582
1,0,0,0,1,64,8,256,133634.4000112747
1,0,1,0,1,256,32,1024,134690.40004353062
0,1,1,1,1,128,8,4096,46800.799976319446
1,1,0,0,0,256,2,4096,133927.6000217188
1,1,1,0,0,256,2,4096,131835.99993071056
1,0,0,0,0,256,8,4096,135307.4000019219
1,0,1,0,1,256,32,256,137280.00007556472
0,0,1,1,1,64,2,4096,46572.800003885735
0,0,0,1,0,128,8,256,46366.59994933209
1,0,1,1,0,256,2,4096,139497.39998727132
0,1,1,0,1,64,8,256,46218.99993589856
1,0,1,1,0,64,2,4096,140311.80002660933
1,0,1,0,0,64,2,4096,134209.2000542248
1,1,1,0,1,128,2,1024,134561.00005487888
1,0,1,0,1,64,2,256,134987.2000442158
1,0,0,0,1,128,8,1024,130543.60011252885
1,1,0,1,1,64,32,1024,123397.19996728639
0,1,0,1,0,64,8,1024,46348.79993121804
0,0,1,1,0,256,32,256,46622.5999973487
0,0,0,0,0,128,2,4096,46501.20003902619
1,0,1,1,0,64,8,1024,138765.199955414
0,1,0,0,1,256,2,256,46288.60009198798
1,1,1,1,1,64,2,1024,131163.39996603402
1,0,0,0,1,64,8,256,133634.3998833909
0,0,0,0,1,256,8,256,46100.40001856366
1,0,0,1,0,128,8,4096,131102.79997940428
0,0,0,1,0,256,32,256,46346.39997934137
1,0,0,1,0,64,8,256,133164.40007229734
1,1,1,0,0,64,8,1024,133447.59996492942
1,0,1,0,1,64,32,4096,135629.39999550246
1,0,1,1,1,256,2,4096,140433.0000715264
1,0,0,0,0,128,2,256,133624.80012540048
0,1,1,0,1,64,32,1024,46469.59991648252
0,1,1,1,1,256,32,1024,46796.200129346
0,1,1,0,0,256,2,256,46407.79992194383
0,0,1,1,0,256,8,256,46479.800059508874
0,1,0,0,1,128,8,256,46673.1999591829
1,1,1,1,0,64,32,1024,127659.20002396502
1,0,1,0,0,64,32,256,137127.00000168462
0,0,1,0,1,128,32,1024,47486.59993888088
1,0,1,1,0,256,8,4096,135527.80003007464
1,1,1,0,0,128,8,256,131126.8000200768
1,0,1,1,0,128,32,256,140915.39994384287
0,1,1,0,1,256,32,256,46169.80000661351
1,0,0,1,1,256,8,4096,134113.19999862582
1,1,1,0,1,128,8,256,128988.79997727473
0,0,1,0,0,256,8,256,46381.59996226037
1,1,0,0,1,256,32,1024,135112.00007354037
1,0,1,1,1,64,8,256,138112.79991874954
1,0,0,0,0,64,8,1024,132700.00007625183
0,0,0,0,0,256,32,4096,46042.40003098658
1,0,1,1,1,256,32,1024,139302.19994775738
0,0,1,0,0,64,2,4096,46094.99995985182
0,0,0,1,0,256,8,1024,46393.40011281831
1,0,0,0,0,256,32,4096,134589.5999699144
0,1,0,1,0,256,32,256,46332.99994082949
0,1,1,1,0,64,2,1024,46505.80005131139
1,1,1,1,0,128,2,1024,128922.6000225839
1,0,0,0,1,256,8,4096,131261.20002420616
0,1,0,1,1,128,32,1024,46648.600016988465
1,0,0,0,1,128,32,4096,132338.5999976935
0,1,1,1,1,256,2,1024,46812.1998904038
1,1,0,0,0,128,32,4096,134334.80004644906
0,0,0,0,1,256,32,4096,46070.79999579518
1,0,1,1,1,64,32,256,139137.00009513262
1,1,0,1,1,256,32,4096,126458.79986566544
1,0,1,0,1,128,32,256,134666.4000231621
0,0,1,1,1,256,2,256,46651.40004511465
0,1,1,1,1,256,2,256,46692.79994270235
1,0,1,0,0,128,8,4096,133337.59995246216
1,0,1,0,1,256,32,1024,134690.3999949408
0,0,1,0,1,256,8,256,46064.600001898216
1,0,1,1,0,128,32,1024,138660.80005479354
0,0,0,1,1,256,32,256,47443.59997532439
1,1,0,0,1,64,2,4096,136458.39998789094
1,0,0,0,0,128,32,4096,132886.00005002972
1,0,0,1,1,64,32,256,134738.79995810217
0,1,0,0,0,128,8,4096,46379.200023460224
0,1,0,1,0,64,8,256,46430.99991025877
1,0,1,0,0,256,2,1024,135993.4000085997
1,1,1,0,1,128,2,1024,134560.99992690413
1,1,0,0,0,64,32,4096,132759.00000767704
0,1,0,0,0,128,8,1024,45980.800049685255
1,1,1,1,0,256,8,4096,129630.79996585392
0,1,0,1,1,64,2,256,46400.60007132345
0,1,1,0,1,128,32,1024,46436.80005539122
0,0,0,0,1,256,2,1024,46354.199981926395
0,0,0,1,0,128,8,256,46366.59998997629
0,1,1,1,0,128,8,256,46557.9999200121
1,0,0,1,1,256,32,4096,131185.3999229162
