spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.013974422854798203
1,1,1,1,1,0,1,0,1,1,0,0,0,1,0.9950469190259584
0,1,0,0,1,0,1,0,1,0,0,1,1,1,0.022862132405067348
0,1,1,1,0,1,1,0,0,0,0,1,0,1,0.012011275225692704
1,0,0,0,0,1,1,0,1,0,1,1,1,1,0.9930464466047088
1,0,0,0,1,0,1,1,0,1,0,1,0,0,0.994092460082716
0,0,1,0,1,1,0,0,1,1,0,1,1,0,0.006940902726582925
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.99302789986465
1,0,0,1,1,1,1,1,0,1,1,1,1,0,0.9951117342810044
1,1,0,0,1,0,0,0,1,0,1,1,1,1,0.9939682135008306
1,1,0,1,1,1,0,0,0,0,0,0,1,0,0.9941200183748773
0,1,1,1,1,0,1,0,0,0,1,1,0,0,0.010786871388597302
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0.9920298717859599
0,0,0,1,0,0,1,1,0,0,1,1,1,1,0.004001863577691992
1,1,0,0,1,0,0,0,1,1,1,1,1,0,0.9949838047024983
0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.010840094901059643
0,0,0,1,0,0,0,1,0,0,1,1,0,1,0.002953259799945598
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0.9940412686700153
1,1,0,0,1,1,1,1,1,1,0,0,1,1,0.9930351654043198
