Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,64449.4
1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,69520.8
2,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,80615.8
3,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,67067.6
4,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,89881.8
5,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,69508.6
6,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,74374.4
7,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,84250.8
8,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,73534.6
9,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,99594.8
10,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,66068.2
11,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,62272.0
12,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,77784.0
13,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,82553.2
14,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,75729.8
15,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,70732.6
16,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,81783.8
17,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,79016.4
18,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,94033.6
19,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,73082.2
20,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,80061.0
21,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,75750.2
22,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,80465.8
23,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,73990.4
24,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,85003.2
25,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,82885.2
26,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,93669.4
27,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,62051.0
28,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,86937.4
29,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,91344.0
30,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,59406.6
31,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,59406.6
32,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
33,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
34,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
35,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
36,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
37,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
38,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
39,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
41,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
42,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,58960.4
43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55226.8
44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
47,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,59258.6
48,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
49,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
50,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55606.0
51,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,72530.4
52,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,56922.4
53,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,61710.4
54,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,77637.6
55,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,61426.8
56,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,64834.6
57,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,80958.2
58,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,62765.2
59,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,60340.6
60,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,89272.6
61,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,60042.6
62,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,74186.4
63,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,76146.4
64,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,59276.6
65,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54233.0
66,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,89377.4
67,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,64771.0
68,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,54264.4
69,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,78461.2
70,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,68339.6
71,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,58668.4
72,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,58220.8
73,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,71189.4
74,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,72375.8
75,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,57860.0
