Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0.9950230069891897
1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0.9940320028427603
2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0.00596152748585352
3,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0.004967312730078508
4,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0.9940309866952894
5,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.9930312094679226
6,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.9940414124816659
7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.994056929829037
8,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0.995014352278693
9,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0.0089459008572884
10,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0.9930553106124057
11,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0.9940674408411013
12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.9950458642506351
13,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0.0029533634509387795
14,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0.9930491621984959
15,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0.9940241979173802
16,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.00696156720414452
17,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0.012926068857029635
18,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0.9930186790826501
19,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0.9940259967512766
20,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.005952180306563894
21,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0.9940427569292518
22,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0.006958609844659999
23,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.006939391245849488
24,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0.0030087985888040234
25,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0.9940479398158439
26,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0.9920442762445804
27,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0.0029702055520225983
28,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.002990512657889051
29,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.9920246939565169
30,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0.005944544841351214
31,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.009920443076346036
32,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0.01787635804361271
33,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0.9940468343322543
34,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0.9920412234898276
35,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0.9960257082069228
36,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.028802800185199116
37,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0.006957418009222814
38,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0.02083260891047078
39,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.9980120543242507
40,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.9920590341477975
41,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0.6981184695812785
42,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0.030773194275138048
43,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0.00893154613475749
44,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.012905184296498303
45,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0.008919262876616494
46,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.014908238089676604
47,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0.9980200225082682
48,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0.9930458931017103
49,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010108273259346223
50,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0.006957146941912689
51,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0.00693598375299081
52,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0.9940591768703916
53,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9920666142775802
54,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.018870416505503095
55,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0.020858587489540087
56,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0.9940555574966515
57,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0.01787488608670572
58,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0.9940318580876554
59,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0.0059740666875766285
60,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0.0029634995663213085
61,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0.9920381375368915
62,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0.028830148782570026
63,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0.006948404793508137
64,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0.9950338878434675
65,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0.011888132814350553
66,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0.9940595696158899
67,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0.01589176130189311
68,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0.9930431385238739
69,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0.01883380851692872
70,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0.9950323822448762
71,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.9930397800689074
72,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.014886036236517386
73,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0.995024026491022
74,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.994071139139592
75,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0.994040457208561
76,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.9920479468238439
77,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0.013873628596713788
78,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.01589084954731535
79,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0.10327474810230211
80,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0.005963745457623397
81,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0.005949309832165966
82,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0.01587597844129955
83,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0.005956170393128769
84,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0.002995087000436522
85,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009917453727039704
86,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009925799497942118
87,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.001002323249963976
88,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009812114921406978
89,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.000994836865914011
90,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009956642625146297
91,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009863474991951254
92,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0010006388827095568
93,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0010058234991539663
94,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009941227748975546
95,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.0009904176294876139
96,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.001001754389678785
97,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010115805945421993
98,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.001002314365367565
99,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010254716361549384
100,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010018655712838817
101,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.000981210113231028
102,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.000975028110108503
103,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010027192687511858
104,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010090581685710204
105,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.000994956192975518
106,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009977581725091446
107,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009995255942984592
108,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009727386349392004
109,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009644705706655331
110,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.001007437549407839
111,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009864612733849942
112,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.000989887530469967
113,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009885592754479886
114,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009807655941723148
115,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.001012756854210224
116,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009922089460275688
117,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009962969521885088
118,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0010150034916138722
119,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009971422923381915
120,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009995971642987737
121,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009991127872047017
122,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.001020677414745878
123,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009833885384663934
124,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009733833796000587
125,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009898898903977346
126,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009726471414207882
127,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009905227003943185
128,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009882356981064703
129,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009924922199996541
