Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.18272186867891066
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0.011920843835110358
2,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0.9940518152554351
3,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.006955400164020716
4,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0.9940327216649981
5,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0.002972529818771321
6,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0.0039740879831839685
7,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0.008925635008608648
8,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0.028808377574335943
9,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0.9980168670657428
10,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0.9930380624941805
11,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0.0029737247705722237
12,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0109055888630297
13,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0.10328199761874006
14,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0.9930204537649118
15,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0.005971487702387077
16,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0.9920704585829558
17,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0.994044025061326
18,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0.7050697313158318
19,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.9920798824994286
20,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0009828254619319147
21,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0.9970381312382985
22,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0.014881568655106998
23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.00696349682479834
24,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0.00297992211417206
25,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0.010916219075885608
26,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0.006971194693306142
27,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0.019841859806184924
28,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0.006962965623947881
29,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0.027790985105653872
30,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0.9980359505995512
31,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.9920709944257105
