Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,1,1,0,64,8,1024,46311.599989106224
1,1,0,1,0,0,128,8,256,131236.59999183187
2,1,1,1,0,1,256,2,256,137593.5999620609
3,1,0,0,1,0,64,2,256,132473.3999894997
4,1,0,0,1,1,64,32,4096,134370.79999427544
5,0,0,0,1,0,128,2,1024,46355.200001969504
6,0,0,1,0,1,256,2,4096,46301.00002355494
7,0,0,0,0,1,128,2,4096,46108.200008329295
8,0,1,0,0,1,256,2,256,46288.6000193225
9,1,0,0,0,0,128,32,256,135706.60001079668
10,1,1,0,0,1,256,32,1024,135111.99999150092
11,0,0,0,0,1,256,8,4096,46281.999978304106
12,1,1,0,1,0,256,2,4096,129499.399976316
13,0,0,1,1,1,64,8,256,46834.40003711419
14,1,0,1,0,1,128,32,1024,140847.20001320256
15,0,0,1,1,1,256,2,1024,47568.600020281694
16,0,1,0,0,1,256,32,1024,46191.200035441536
17,0,1,1,0,1,128,8,4096,46460.799973394496
18,1,1,0,0,0,256,8,256,133404.80002249786
19,1,0,0,1,1,64,32,4096,134370.80002414173
20,0,1,0,0,0,256,8,256,46335.60001819717
21,0,1,0,1,0,256,32,1024,47549.40000602907
22,0,0,0,0,1,128,32,4096,46304.599999685146
23,1,0,0,0,1,256,32,4096,129652.60001495792
24,1,0,1,1,1,256,8,1024,134859.00000458682
25,1,0,1,1,1,128,2,4096,140684.79998626778
26,0,0,1,0,0,128,32,256,46078.799993834706
27,1,1,0,1,0,64,2,256,134157.4000181698
28,0,1,0,1,1,256,8,4096,46447.59998047577
29,1,1,1,0,0,64,8,4096,130763.80001874283
30,1,1,0,0,1,256,8,1024,133251.59999034303
31,0,1,1,0,0,128,32,4096,46145.80002915415
32,1,0,1,1,1,256,8,256,136729.19996627927
33,0,0,0,1,1,128,32,1024,46258.4000173394
34,1,1,1,1,1,64,32,1024,130551.39998771122
35,0,0,0,0,0,64,32,256,46471.19997824192
36,0,0,0,0,1,64,2,1024,46267.7999878412
37,1,1,1,1,0,256,2,1024,129660.200025276
38,0,1,1,1,1,128,32,4096,46787.19999698615
39,0,0,1,1,0,256,8,256,46479.799983616904
