Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,4,3,3,1,1,0,0,1,1,1,39.126
1,2,3,2,1,0,1,1,0,1,0,81.296
2,3,1,1,0,0,0,0,1,1,1,33.914
3,2,2,2,1,1,0,1,0,1,1,59.296
4,4,3,3,0,1,1,0,0,0,0,46.1
5,1,1,1,1,0,0,1,0,1,1,81.78
6,1,1,3,1,0,0,1,1,0,0,88.782
7,1,2,2,1,0,1,0,0,1,0,105.038
8,4,2,1,1,0,1,0,0,0,1,31.624
9,4,2,3,0,1,1,0,1,0,1,36.114
10,1,2,3,1,0,0,0,1,0,1,127.84
11,1,1,3,1,1,1,0,1,0,1,86.89
12,3,1,2,0,1,0,1,0,0,1,31.37
13,3,1,3,0,1,0,1,1,1,0,33.586
14,1,1,3,0,1,0,1,0,1,1,86.044
15,3,3,1,1,0,0,1,1,0,0,71.584
16,3,3,3,1,1,1,0,0,1,1,49.866
17,4,1,3,0,1,1,1,1,0,1,25.296
18,2,3,1,1,0,1,1,0,1,1,80.848
19,3,2,1,1,0,0,0,0,1,0,38.086
20,1,3,2,0,0,1,1,1,0,0,194.502
21,4,3,2,1,1,0,1,1,1,0,42.628
22,4,3,3,0,0,0,1,0,0,0,50.72
23,4,3,3,1,0,1,1,1,1,1,43.168
24,1,2,2,0,1,0,0,1,1,0,118.32
25,2,3,2,1,0,0,1,0,0,0,92.844
26,2,3,1,0,0,1,0,0,0,1,88.032
27,2,1,1,1,1,1,1,0,1,1,42.334
28,3,2,3,1,1,0,0,1,1,0,39.958
29,2,2,3,1,0,1,0,1,1,0,59.454
30,3,1,2,0,1,1,1,1,0,1,33.59
31,4,1,2,0,1,1,1,0,0,1,24.218
32,4,1,2,0,1,1,1,1,0,1,25.184
33,4,1,2,0,1,1,1,0,0,1,24.218
34,4,1,2,0,1,1,1,0,0,1,24.218
35,4,1,2,0,1,1,1,0,0,1,24.218
36,4,1,2,0,1,1,1,0,0,1,24.218
37,4,1,2,0,1,1,1,0,0,1,24.218
38,4,1,2,0,1,1,1,0,0,1,24.218
39,4,1,2,0,1,1,1,0,0,1,24.218
40,4,1,2,0,1,1,1,0,0,1,24.218
41,4,1,2,0,1,1,1,0,0,1,24.218
42,4,1,2,0,1,1,1,0,0,1,24.218
43,4,1,2,0,1,1,1,0,0,1,24.218
44,4,1,2,0,1,1,1,0,0,1,24.218
45,4,1,2,0,1,1,1,0,0,1,24.218
46,1,1,1,0,1,1,1,0,0,1,85.23
47,2,2,2,0,1,1,1,0,0,1,69.688
48,4,1,2,0,1,1,0,0,0,1,24.014
49,1,1,1,0,1,1,0,0,0,1,83.978
50,3,1,2,0,1,1,0,0,0,1,31.178
51,4,2,2,0,1,1,0,0,0,1,33.85
52,4,1,1,0,1,1,0,0,0,1,23.328
53,2,1,1,0,1,0,0,0,0,1,44.846
54,1,2,1,0,0,1,0,0,0,0,122.898
55,3,3,1,0,1,0,0,0,1,1,50.828
56,4,1,1,0,1,1,0,0,0,0,23.266
57,4,1,1,1,0,1,0,0,0,0,22.142
58,1,3,1,1,0,0,0,0,1,0,137.304
59,2,2,1,1,0,1,0,1,0,0,67.692
60,3,1,1,1,0,1,0,0,0,0,29.586
61,4,3,1,1,0,0,0,1,1,0,39.528
62,4,1,1,1,0,1,0,0,0,0,22.142
63,2,2,1,1,0,1,0,0,1,0,55.688
64,1,1,1,1,0,0,0,1,0,0,88.362
65,3,3,1,1,0,1,0,0,0,0,58.186
66,4,1,1,1,0,1,0,0,0,0,22.142
67,4,1,3,1,0,0,0,1,1,0,23.766
68,4,2,1,1,0,1,0,0,0,0,31.868
69,2,1,1,1,0,1,0,0,0,0,42.878
70,3,3,3,1,0,1,0,1,1,0,52.822
71,4,1,1,1,0,0,0,0,0,0,22.312
72,1,1,1,1,0,1,0,0,0,0,80.57
73,4,2,1,1,0,1,0,0,0,0,31.868
74,4,1,3,1,0,1,0,1,1,0,23.662
75,2,3,1,1,0,0,0,0,0,0,83.468
76,4,1,1,1,0,1,0,0,0,0,22.142
77,3,1,3,1,0,1,0,1,0,0,31.51
78,4,1,1,1,0,1,0,0,1,0,22.138
79,1,2,1,1,0,1,0,0,1,0,104.622
80,4,3,3,1,0,0,0,0,1,0,38.614
81,4,1,1,1,0,1,0,0,1,0,22.138
82,2,1,1,1,0,1,0,1,1,0,46.958
83,4,1,1,1,0,1,0,0,1,0,22.138
84,3,2,3,1,0,1,0,0,1,0,39.258
85,1,1,1,1,0,0,0,0,1,0,80.744
86,4,3,1,1,0,1,0,1,1,0,39.492
87,4,1,1,1,0,1,0,0,1,0,22.138
88,2,1,3,1,0,1,0,0,1,0,44.036
89,4,2,1,1,0,0,0,0,1,0,28.516
90,3,1,1,1,0,1,0,0,1,0,29.604
91,1,3,1,1,0,1,0,1,1,0,147.432
92,4,1,3,1,0,1,0,0,1,0,23.552
93,4,1,1,1,0,0,0,0,1,0,22.452
94,2,1,1,1,0,1,0,0,1,0,42.786
95,4,2,1,1,0,1,1,1,1,0,32.09
96,3,3,3,1,0,1,0,0,1,0,50.638
97,1,1,1,1,0,0,0,0,1,0,80.744
98,4,1,1,1,0,1,1,0,1,0,22.396
99,4,1,1,1,0,1,0,1,1,0,23.582
100,4,2,1,1,0,1,0,0,1,0,28.458
101,4,1,1,1,0,1,0,0,1,0,22.138
102,4,1,1,1,0,1,0,0,1,0,22.138
103,4,1,1,1,0,1,0,0,1,0,22.138
104,4,1,1,1,0,1,0,0,1,0,22.138
105,4,1,1,1,0,1,0,0,1,0,22.138
106,4,1,1,1,0,1,0,0,1,0,22.138
107,4,1,1,1,0,1,0,0,1,0,22.138
108,4,1,1,1,0,1,0,0,1,0,22.138
