Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,3,1,1,0,1,60,16,10,48135.8
1,1,0,0,0,0,60,2048,0,17684.8
2,1,1,0,1,1,90,4,2,17738.0
3,1,0,0,1,1,20,64,2,17724.8
4,1,1,0,1,0,80,4,6,103091.6
5,2,0,1,0,0,40,8,2,5226.6
6,5,1,1,0,1,60,64,6,47522.0
7,4,1,1,1,0,60,32,0,35661.8
8,1,1,0,1,1,80,1024,2,17748.4
9,1,1,0,0,1,90,64,0,17697.8
10,3,1,0,0,0,40,256,2,12104.8
11,2,1,1,0,1,70,2,6,73565.8
12,1,1,1,1,0,10,32,4,12358.8
13,5,0,1,1,1,80,4096,8,120616.8
14,4,0,1,0,0,30,32,6,20184.4
15,2,0,1,1,0,80,4096,6,90718.0
16,5,1,0,0,0,70,4,4,9137.0
17,5,0,0,1,1,20,32,2,9219.8
18,3,0,0,1,1,70,2048,10,48813.8
19,4,1,1,1,1,0,16,2,35463.0
20,2,0,1,1,1,30,2,8,117300.8
21,2,0,0,1,0,70,4096,2,17649.0
22,2,1,1,1,0,90,4096,0,17743.0
23,5,1,1,0,1,20,8,0,9236.8
24,1,0,1,1,0,60,32,6,91749.0
25,2,0,0,0,0,10,64,6,88247.2
26,4,0,0,1,1,50,32,6,49449.2
27,5,1,0,1,0,80,1024,8,121473.0
28,5,1,1,0,0,80,16,2,9151.0
29,1,1,1,0,1,70,256,0,17773.0
30,3,0,0,0,0,40,8,4,12484.8
31,5,0,0,0,0,100,1,4,9108.8
32,2,0,0,0,0,100,1,4,14804.8
33,5,0,1,0,0,100,1,10,299186.2
34,2,0,0,0,0,100,512,4,4382.0
35,2,0,0,0,0,40,512,4,4620.2
36,2,0,0,0,0,40,512,4,4620.2
37,2,0,0,0,0,100,512,4,4382.0
38,2,0,0,0,0,100,512,4,4382.0
39,2,0,0,0,0,100,128,4,4386.8
40,3,0,0,0,0,100,512,10,48354.8
41,2,0,0,0,0,0,512,4,18008.6
42,2,0,0,0,0,50,128,4,4577.6
43,4,0,0,0,0,100,512,8,39156.4
44,2,0,0,0,0,100,2048,4,4392.0
45,3,0,0,0,0,90,512,10,48298.0
46,2,0,0,0,0,10,4,4,12019.6
47,4,0,0,0,0,30,1024,4,13163.0
48,1,0,0,0,0,60,256,8,101407.6
49,2,0,0,0,0,0,2,4,18082.4
50,3,0,0,0,0,20,512,0,12161.8
51,2,0,0,0,1,100,64,10,101570.2
52,2,0,0,0,0,50,2048,4,4544.8
53,1,0,0,0,0,100,16,8,95125.6
54,4,1,0,0,1,90,4,2,9366.6
55,2,0,0,0,0,30,512,0,4853.2
56,3,0,0,1,1,10,128,4,12449.4
57,2,1,0,0,0,60,8,6,76448.4
58,1,0,1,0,0,20,2,10,80314.6
59,4,1,0,1,1,0,1024,4,39575.6
60,2,0,1,0,0,100,256,2,4676.8
61,2,0,0,1,0,50,4096,0,17706.0
62,3,1,0,0,1,70,64,6,10694.4
63,5,0,1,0,0,80,512,8,121220.6
64,1,0,0,1,0,100,16,4,11936.8
65,2,1,0,0,0,90,2048,4,4323.0
66,4,1,1,0,1,90,2048,2,8908.6
67,2,1,0,1,0,90,2048,4,11854.4
68,5,1,0,0,0,90,2048,6,47395.2
69,2,1,1,0,0,90,2048,10,100455.8
