Iteration,WindowSize,CompressionLevel,Performance
0,23,4,2.726
1,11,2,1.998
2,13,11,315.078
3,21,7,15.806
4,23,4,2.726
5,16,7,6.998
6,14,5,4.678
7,24,4,2.708
8,19,9,14.048
9,23,11,315.238
10,22,11,259.594
11,14,4,2.894
12,24,3,2.478
13,18,5,6.714
14,23,6,10.22
15,14,9,7.404
16,19,3,2.552
17,21,0,1.604
18,17,2,2.102
19,21,8,18.874
20,20,7,12.338
21,24,10,392.744
22,15,0,1.534
23,11,4,3.04
24,19,3,2.552
25,11,4,3.04
26,17,11,307.42
27,15,0,1.534
28,19,8,11.508
29,12,0,1.528
30,12,0,1.528
31,12,1,1.542
32,12,0,1.528
33,12,0,1.528
34,10,0,1.662
35,13,1,1.514
36,13,1,1.514
37,13,1,1.514
38,13,1,1.514
39,13,1,1.514
40,13,1,1.514
41,16,1,1.598
42,13,6,4.3
43,22,10,256.21
44,18,2,2.094
45,20,5,7.45
46,10,9,6.246
47,13,1,1.514
48,16,7,6.998
49,23,1,1.572
50,13,6,4.3
51,14,8,6.086
52,22,5,7.198
53,18,2,2.094
54,21,10,244.734
55,24,11,394.158
56,17,9,10.152
57,13,3,2.37
58,15,7,6.39
59,11,1,1.526
60,20,4,2.808
61,23,1,1.572
62,14,8,6.086
63,10,11,363.346
64,13,6,4.3
65,19,3,2.552
66,21,2,2.06
67,24,5,7.154
68,17,1,1.612
69,16,10,285.0
70,13,9,6.862
71,15,1,1.52
72,11,4,3.04
73,22,7,19.626
74,18,1,1.63
75,13,8,5.62
76,20,11,246.08
77,13,1,1.514
78,23,3,2.478
79,19,6,9.336
80,10,5,3.306
81,14,2,1.9
82,16,10,285.0
83,21,1,1.598
84,13,9,6.862
85,24,4,2.708
86,12,7,5.266
87,17,1,1.612
88,22,8,25.432
89,15,1,1.52
90,11,11,343.996
91,18,0,1.628
92,13,6,4.3
93,20,3,2.546
94,13,2,1.942
95,23,5,7.178
96,10,10,363.364
97,19,1,1.604
98,14,9,7.404
99,13,4,2.972
100,21,7,15.806
101,13,1,1.514
102,13,1,1.514
103,13,1,1.514
104,13,1,1.514
105,16,1,1.598
106,12,1,1.542
107,24,1,1.57
108,13,8,5.62
109,17,0,1.606
110,22,11,259.594
111,15,6,5.306
112,11,3,2.476
113,18,1,1.63
114,13,2,1.942
115,20,5,7.45
116,13,10,313.652
117,23,9,63.68
118,10,1,1.666
119,19,4,2.8
120,14,7,5.896
121,13,1,1.514
122,21,8,18.874
123,16,0,1.59
124,24,1,1.57
125,12,11,328.552
126,17,6,6.34
127,13,3,2.37
128,22,2,2.05
129,15,5,5.072
130,11,1,1.526
131,18,10,279.698
132,13,9,6.862
133,20,1,1.636
134,23,4,2.726
135,13,7,5.554
136,10,1,1.666
137,19,8,11.508
138,14,0,1.472
139,14,0,1.472
140,14,0,1.472
141,14,0,1.472
142,14,0,1.472
143,14,0,1.472
144,14,0,1.472
145,14,0,1.472
146,14,0,1.472
147,14,0,1.472
148,14,0,1.472
149,14,0,1.472
150,14,0,1.472
151,14,0,1.472
152,14,0,1.472
153,14,0,1.472
154,14,0,1.472
155,14,0,1.472
156,21,0,1.604
157,12,0,1.528
158,16,11,284.296
159,24,6,10.176
160,17,3,2.564
161,22,0,1.596
162,15,2,1.972
163,14,5,4.678
164,11,10,343.594
165,18,9,11.954
166,20,4,2.808
167,14,7,5.896
168,23,0,1.556
169,10,8,5.046
170,19,0,1.614
171,14,11,301.078
172,21,6,10.46
173,12,3,2.426
174,16,0,1.59
175,24,2,2.04
176,17,5,5.886
177,14,10,301.488
178,22,9,34.292
179,15,0,1.534
180,11,4,3.04
181,18,7,8.628
182,14,0,1.472
183,20,8,14.64
184,23,0,1.556
185,10,11,363.346
186,19,6,9.336
187,14,3,2.302
188,14,0,1.472
189,21,2,2.06
190,12,5,3.746
191,16,10,285.0
192,24,9,108.602
193,17,0,1.606
194,14,4,2.894
195,22,7,19.626
196,15,0,1.534
197,11,8,5.042
198,18,0,1.628
199,14,11,301.078
200,20,6,10.658
201,23,3,2.478
202,14,0,1.472
203,10,2,2.146
204,19,5,7.372
205,14,10,301.488
206,21,9,23.614
207,12,0,1.528
208,16,4,2.77
209,24,7,20.228
210,14,0,1.472
211,17,8,8.454
212,22,0,1.596
213,15,11,292.192
214,11,6,3.57
215,18,3,2.562
216,14,0,1.472
217,20,2,2.088
218,14,5,4.678
219,23,10,318.954
