Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
79,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,73251.0
80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56378.8
81,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,66373.2
82,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,59596.0
83,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,75398.6
84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56762.2
85,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,62451.2
86,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,66697.0
87,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,74909.6
88,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,58032.4
89,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,63004.4
90,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,62095.0
91,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,63782.8
92,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,71773.2
93,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
94,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,68417.4
95,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,60003.6
96,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,72160.6
97,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,57094.8
98,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,65863.0
99,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,64557.6
100,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,76534.8
101,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
102,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
103,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
104,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
105,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
107,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
108,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
109,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
110,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
111,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
112,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
113,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
114,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
115,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,60442.6
116,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56711.8
117,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,62415.0
118,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,60371.0
119,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,59986.0
120,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,79847.4
