Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,1,4,1000000,1,1,1000,1000,1024,10000,5,29,1.2185034104906564e-05
1,4,1,2,1000000,1,0,1000,10,1024,10000,5,29,1.049773739111547e-05
2,4,1,2,1000000,1,1,1000,10,1024,100,2,0,0.005100185813055188
3,2,1,2,1000000,1,0,1000,10,1024,100,2,0,1.6877841457079065e-05
4,4,10,2,10,1,1,1000,1000,512,10000,5,29,0.19772849023406225
5,2,1,2,1000000,10,1,1,10,512,100,5,29,1.2767542197850282e-05
6,2,1,2,1000000,10,1,1,10,512,100,5,0,2.3300942213935238e-05
7,4,1,2,10,1,1,1000,1000,1024,10000,5,29,0.2322119408559538
8,4,1,4,1000000,10,0,1,10,512,100,2,29,0.005620892057024097
9,4,10,4,10,1,0,1,10,512,10000,2,0,2.0531043770905795e-05
10,4,10,2,1000000,1,1,1,10,512,100,2,29,0.0029374179804550786
11,4,1,2,1000000,10,0,1,10,512,10000,2,29,4.413756333696119e-05
12,2,1,4,1000000,1,1,1000,10,1024,100,5,0,2.4122050532802396e-05
13,4,10,4,1000000,1,1,1,10,512,10000,5,0,1.5893084452047743e-05
14,4,1,2,1000000,10,1,1,1000,512,10000,5,29,1.7900905051018445e-05
15,4,1,2,1000000,10,0,1,10,1024,10000,2,0,0.0
16,2,10,2,10,1,1,1,1000,1024,100,2,29,1.0860347524882065e-05
17,4,10,2,1000000,10,1,1000,10,512,100,2,29,7.384467446768948e-05
18,2,1,4,10,10,1,1,10,1024,100,5,29,0.13885273050603977
19,2,1,4,1000000,1,1,1,1000,512,100,5,0,5.114851607112017e-06
20,4,10,2,10,1,1,1,10,512,10000,2,0,3.170145643746046e-05
21,4,1,4,10,10,1,1,1000,512,100,2,29,2.1083116823459046e-05
22,4,1,4,10,10,1,1000,1000,512,100,2,0,1.6345096378967036e-05
23,2,1,4,10,1,1,1000,1000,1024,100,5,0,0.0
24,2,10,4,1000000,10,0,1000,10,1024,100,2,29,1.2162016806862942e-05
25,4,1,2,1000000,10,1,1000,1000,512,100,2,0,4.240297225057203e-05
26,4,10,4,1000000,1,0,1,1000,512,100,2,29,2.3371223296375778e-05
27,4,1,4,10,1,1,1,1000,512,10000,5,0,0.014654932370991035
28,4,1,4,10,1,1,1,1000,512,10000,2,29,0.014459245090613564
29,4,10,4,1000000,10,1,1,10,1024,100,5,29,0.0003805292509749561
30,2,10,4,10,10,0,1000,10,1024,100,2,0,0.7421136448541023
31,4,1,2,1000000,10,1,1,10,512,100,5,0,4.596528889005093e-06
32,4,1,2,10,10,1,1,1000,1024,100,5,0,3.526842771085375e-05
33,4,10,4,10,1,1,1000,10,1024,10000,5,0,2.432147185558355e-05
34,2,10,2,1000000,10,0,1,1000,1024,100,5,0,7.518488012417537e-06
35,2,10,2,1000000,1,1,1,1000,1024,10000,5,0,1.6232171221759315e-05
36,4,10,4,10,1,0,1000,10,1024,100,5,29,0.2190677648135932
37,4,10,2,10,10,0,1,1000,512,100,2,0,4.497719764409596e-06
38,2,10,2,1000000,10,1,1000,1000,512,100,5,0,1.0155188553564577e-06
39,4,1,2,1000000,1,1,1000,1000,1024,100,5,29,1.0430437763762228e-05
40,4,1,2,1000000,10,0,1,1000,512,100,2,0,8.379921799529186e-06
41,2,10,2,10,10,0,1,1000,512,100,2,29,1.4420594567833855e-05
42,2,10,4,10,10,0,1,1000,1024,10000,2,29,0.14931732576415677
43,4,1,4,1000000,10,0,1000,10,512,10000,2,0,1.1214440982456189e-05
44,4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.0008453101677627538
45,2,10,4,10,1,0,1,1000,512,10000,2,0,0.014843647458468145
46,4,10,2,1000000,10,1,1000,10,1024,100,5,0,0.0
47,4,1,4,1000000,10,1,1000,1000,1024,10000,5,0,1.1404460784178701e-05
48,2,10,4,1000000,1,1,1,1000,1024,10000,5,29,0.001034736381121572
49,2,10,4,1000000,10,0,1000,10,512,100,5,29,8.758390405980803e-07
50,4,1,4,10,1,0,1000,1000,512,100,2,29,8.592316539410042e-06
51,4,1,4,1000000,1,1,1,10,512,100,2,29,0.0019212884722234424
52,2,10,2,10,1,0,1000,10,512,100,2,0,0.7510826532440229
53,4,1,2,1000000,10,1,1,10,1024,100,2,0,0.004904597663442172
54,2,10,4,1000000,10,0,1,10,512,100,5,0,5.382492653574736e-06
55,4,1,2,1000000,1,1,1000,1000,512,10000,5,0,9.803781053054506e-06
56,2,10,2,10,1,0,1,10,512,10000,2,0,1.295926474355552e-05
57,4,10,4,1000000,1,1,1,1000,1024,100,5,0,1.07452845155393e-05
58,4,10,4,1000000,1,1,1,10,512,10000,2,29,8.97719711944412e-06
59,2,1,2,10,1,0,1,10,1024,10000,2,29,5.51565801750281e-06
60,4,1,2,10,1,1,1,1000,512,10000,5,29,0.013961770865571658
61,4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.005479838259406344
62,2,1,4,10,10,1,1,10,1024,10000,5,0,3.186406714692022e-05
63,2,10,4,1000000,1,1,1,10,512,10000,5,0,8.802802116448621e-06
64,4,1,4,10,1,0,1000,1000,1024,10000,5,29,0.24802034766418277
65,4,1,2,10,10,1,1,10,1024,10000,2,29,2.206009704109051e-05
66,4,10,4,1000000,1,1,1000,1000,512,100,5,29,2.1482578617761318e-05
67,4,1,4,1000000,10,0,1,1000,1024,10000,5,0,0.00047235491817126387
68,4,1,4,10,10,0,1,1000,512,10000,5,29,0.08237252685152699
69,4,1,2,1000000,10,0,1000,10,512,10000,2,29,3.0289539984071365e-06
70,2,1,2,10,1,0,1000,1000,512,100,2,0,9.038312523398904e-06
71,2,1,2,10,1,0,1000,1000,512,100,2,0,2.2276511792746258e-06
72,2,1,2,10,1,0,1000,1000,512,100,2,0,6.975050988186562e-06
73,2,1,2,10,1,0,1000,1000,512,100,2,0,0.0
74,4,1,2,10,10,0,1000,10,512,10000,2,0,4.6465085312553345e-07
75,4,1,2,10,10,0,1000,10,512,10000,2,0,9.297766759682576e-06
76,4,1,4,10,10,0,1000,10,512,10000,2,0,3.6231771624521344e-05
77,4,1,2,10,1,0,1000,10,512,10000,2,0,5.234376871112694e-06
78,4,1,4,1000000,10,0,1000,10,512,100,2,0,2.4482788154525446e-05
79,4,1,2,10,1,0,1000,10,512,10000,2,0,1.903380037862844e-05
80,4,1,4,1000000,10,0,1000,10,512,100,2,0,2.8924233757814452e-05
81,4,1,2,10,1,0,1000,10,512,10000,2,0,2.3120879661164862e-05
82,4,1,4,1000000,10,0,1000,1000,512,100,2,0,2.7878263272240678e-05
83,4,1,2,10,10,0,1000,10,512,100,2,0,0.5258353844172825
84,4,1,4,1000000,1,0,1000,1000,512,10000,2,0,0.0016632401958125626
85,4,1,2,1000000,10,0,1000,10,512,100,2,0,5.560437694190797e-06
86,2,1,4,10,1,0,1000,1000,512,10000,2,0,0.9887339059316049
87,4,1,4,1000000,10,0,1000,10,512,100,2,0,4.17783994751357e-06
88,4,10,2,10,1,0,1000,1000,512,10000,2,0,0.6042809574267598
89,2,1,4,1000000,1,0,1000,10,512,100,2,29,2.8449676437077716e-05
90,4,1,2,10,10,0,1000,1000,512,10000,2,0,0.5445568828511734
91,2,10,4,1000000,1,0,1000,10,512,100,2,0,2.9817659296730914e-05
92,4,1,2,10,10,0,1000,1000,512,10000,2,29,0.5421130144242096
93,4,10,4,1000000,1,0,1000,10,512,100,2,0,9.592019759791335e-05
94,2,1,2,1000000,10,0,1000,1000,512,10000,2,29,9.437044699251075e-06
95,4,10,4,10,1,0,1000,10,512,100,2,0,0.6978516256726861
96,4,1,2,1000000,10,0,1000,1000,512,10000,2,0,0.00013801038448814072
97,2,1,4,10,1,0,1000,10,512,100,2,29,0.9730962602090452
98,4,10,2,1000000,10,1,1000,1000,512,10000,2,0,1.5616158091832442e-05
99,4,1,4,10,1,0,1000,1000,512,100,2,29,2.2396354689737417e-05
100,2,10,2,1000000,10,1,1000,10,512,10000,2,0,1.1013495040725192e-05
101,4,1,4,10,1,0,1000,1000,512,100,2,0,1.9947521672415187e-05
102,2,1,2,1000000,10,1,1,10,512,10000,2,29,9.126395589553692e-07
103,4,10,4,10,1,0,1000,1000,512,100,2,0,3.329612219802145e-05
104,4,1,2,1000000,10,0,1,10,512,10000,2,29,0.0
105,2,1,4,10,1,1,1000,1000,512,100,2,0,1.4096773405456532e-05
106,4,10,2,1000000,10,0,1000,10,512,10000,2,0,3.170429862135159e-05
107,4,1,4,10,1,1,1,1000,512,100,2,29,4.906035257613847e-06
108,2,1,2,1000000,10,0,1000,10,512,10000,2,0,3.426410052167067e-05
109,4,10,4,10,1,0,1,1000,512,100,2,0,3.4025061052395134e-05
110,4,1,2,1000000,10,1,1000,10,512,10000,2,29,3.3817673719520105e-05
111,2,1,4,10,1,0,1000,1000,512,100,2,0,9.05280919905118e-06
112,4,10,2,1000000,10,0,1,10,512,10000,2,0,3.102791858918508e-05
113,4,1,4,10,1,1,1000,1000,512,100,2,29,2.136248593324038e-05
114,2,1,2,1000000,10,0,1000,10,512,10000,2,0,3.256466105191402e-06
115,4,10,4,10,1,0,1,1000,512,100,2,0,1.3679172192157253e-06
116,4,1,2,1000000,10,1,1000,10,512,10000,2,29,1.4061071022000153e-05
117,2,1,4,10,1,0,1,1000,512,100,2,0,8.164214759683952e-06
118,4,10,2,1000000,10,0,1000,10,512,10000,2,0,1.1291525531955145e-05
119,4,1,4,10,1,1,1000,1000,512,100,2,29,1.14890080802685e-05
120,2,1,2,1000000,10,0,1,10,512,10000,2,0,6.7400965351480096e-06
121,4,10,4,10,1,0,1000,1000,512,100,2,0,2.9272320316452253e-05
122,4,1,2,1000000,10,1,1000,10,1024,10000,2,29,1.608236166868388e-05
123,2,1,4,10,1,0,1,1000,512,100,2,0,1.885931039274208e-05
124,4,10,2,1000000,10,0,1000,10,512,10000,2,0,1.6560012906889852e-05
125,4,1,4,10,1,1,1000,1000,512,100,2,0,9.343569675621134e-06
126,4,1,2,1000000,10,0,1,10,512,10000,2,29,8.120876168335674e-06
