Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,81929.4
1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,78445.4
2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,66069.0
3,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,79661.2
4,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,83930.4
5,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,90402.8
6,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,67396.2
7,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,72501.8
8,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,79561.2
9,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,68463.8
10,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,76249.8
11,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,90449.6
12,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,80980.6
13,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,76293.2
14,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,85331.8
15,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,68795.0
16,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,66533.2
17,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,75442.0
18,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,86150.6
19,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,65831.4
20,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,94321.4
21,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,85574.0
22,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,81986.4
23,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,81321.0
24,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,64824.4
25,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,81622.2
26,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,93640.8
27,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,65544.0
28,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
29,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,81676.4
30,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
31,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
32,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
33,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
35,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,57059.0
36,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
37,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
38,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
39,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
40,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
41,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
42,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
43,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,57998.8
44,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
45,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56908.2
46,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
47,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,57484.8
48,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57069.8
49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56763.8
50,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,76572.0
51,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,73234.2
52,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,59524.0
53,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,70685.2
54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71031.0
55,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,63646.6
56,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,73014.2
57,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,74168.0
58,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,72256.6
59,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,80542.8
60,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,62315.2
61,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,59757.8
