Iteration,WindowSize,CompressionLevel,Performance
0,10,1,1.666
1,18,1,1.63
2,21,1,1.598
3,21,4,2.768
4,22,6,10.266
5,20,11,246.08
6,21,5,7.272
7,23,4,2.726
8,18,11,279.692
9,10,11,363.346
10,23,1,1.572
11,23,10,318.954
12,19,9,14.048
13,23,6,10.22
14,18,9,11.954
15,18,11,279.692
16,17,3,2.564
17,20,11,246.08
18,13,4,2.972
19,16,6,5.77
20,10,5,3.306
21,15,7,6.39
22,10,11,363.346
23,22,2,2.05
24,18,11,279.692
25,23,6,10.22
26,12,10,328.816
27,22,11,259.594
28,20,6,10.658
29,19,6,9.336
30,14,1,1.46
31,14,1,1.46
32,14,1,1.46
33,14,0,1.472
34,11,8,5.042
35,14,1,1.46
36,24,1,1.57
37,14,1,1.46
38,14,7,5.896
39,14,0,1.472
40,21,2,2.06
41,16,3,2.508
42,24,8,38.644
43,11,1,1.526
44,13,1,1.514
45,17,5,5.886
46,12,9,6.47
47,15,4,2.834
48,14,10,301.488
49,21,1,1.598
50,19,3,2.552
51,14,1,1.46
52,17,7,7.636
53,13,2,1.942
54,16,8,7.548
55,15,9,8.084
56,20,5,7.45
57,10,0,1.662
58,22,4,2.748
59,12,1,1.542
60,14,10,301.488
61,18,1,1.63
62,11,3,2.476
63,23,7,20.474
64,24,2,2.04
65,19,1,1.604
66,14,5,4.678
67,21,9,23.614
68,20,0,1.63
69,10,4,3.02
70,14,8,6.086
71,22,1,1.586
72,16,6,5.77
73,17,10,307.144
74,13,11,315.078
75,18,1,1.63
76,15,3,2.392
77,14,7,5.896
78,23,1,1.572
79,12,2,1.988
80,11,0,1.526
81,24,6,10.176
82,14,5,4.678
83,19,9,14.048
84,21,8,18.874
85,14,1,1.46
86,20,4,2.808
87,10,11,363.346
88,17,10,307.144
89,16,1,1.598
90,22,3,2.5
91,13,7,5.554
92,14,1,1.46
93,15,2,1.972
94,18,6,7.51
95,12,5,3.746
96,23,9,63.68
97,11,0,1.526
98,24,1,1.57
99,14,8,6.086
100,19,4,2.8
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
