Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,2,1,0,0,0,60,512,10,101586.8
1,4,0,0,1,0,100,32,4,43587.4
2,1,1,1,1,0,0,64,6,123372.0
3,1,1,0,1,0,0,64,0,17902.4
4,2,1,0,1,1,70,2,2,17596.8
5,5,0,1,0,0,0,256,6,47701.6
6,3,0,1,0,1,70,1,10,50192.0
7,4,1,0,0,1,50,1024,10,113691.4
8,5,0,1,1,0,90,256,8,121994.0
9,4,0,1,1,0,100,2,8,124175.4
10,3,0,1,0,1,70,32,8,38008.0
11,5,1,1,0,0,20,256,8,121667.4
12,3,1,1,0,1,70,32,0,12332.0
13,1,0,0,1,1,60,8,10,109554.2
14,1,1,0,1,0,80,4,2,17758.6
15,4,0,0,0,0,100,1,8,81997.2
16,5,0,0,1,0,90,64,0,9164.2
17,5,0,1,0,1,60,4,0,9131.2
18,4,1,1,1,1,10,4096,2,35781.2
19,5,0,0,1,0,80,512,0,9184.6
20,3,1,0,0,0,40,64,4,12295.6
21,5,1,1,0,1,90,2,8,121038.6
22,2,0,0,0,0,40,32,4,4566.8
23,4,0,1,1,0,70,1024,8,125199.2
24,2,0,0,0,0,20,128,4,4975.4
25,2,0,0,0,1,70,2048,0,4775.8
26,3,0,1,1,0,90,512,10,48341.8
27,2,1,0,0,1,80,1,10,83139.6
28,2,0,0,0,1,40,512,6,89480.0
29,4,1,1,0,0,30,4096,6,19972.6
30,2,0,0,0,1,40,2048,4,4608.4
31,2,0,0,0,1,40,16,4,4853.6
32,2,0,0,0,1,40,2048,4,4608.4
33,2,0,0,0,1,40,2048,4,4608.4
34,2,0,0,0,0,10,32,4,5643.2
35,2,0,0,0,1,40,8,4,9199.2
36,2,0,0,0,0,50,2048,4,4544.8
37,1,0,0,0,0,50,128,4,11802.8
38,2,0,0,0,0,50,16,4,4788.0
39,2,0,0,0,0,50,32,2,4887.0
40,1,0,0,0,0,0,32,6,81976.0
41,2,0,0,0,0,30,2048,4,4578.8
42,2,0,0,0,0,50,1024,4,4535.6
43,3,0,0,0,0,50,1024,2,12236.6
44,1,0,0,0,0,50,1024,4,11791.4
45,2,0,0,0,0,50,1024,6,89608.0
46,2,1,0,1,0,100,256,10,102895.2
47,3,0,0,0,0,50,4,4,12946.0
48,4,0,0,0,0,60,8,2,9190.4
49,1,1,0,1,0,0,2,4,18464.4
50,5,0,1,0,0,20,1024,0,9175.2
51,2,0,0,1,0,50,4096,10,103057.8
52,3,1,0,0,0,10,64,8,39314.6
53,5,0,1,0,0,30,1,4,9237.0
54,4,0,0,1,0,100,128,6,49566.0
55,2,1,0,0,0,50,256,2,4890.6
56,1,0,1,0,0,60,2048,0,17697.4
57,2,0,0,1,0,80,16,8,105367.0
58,5,0,0,0,0,20,1024,4,9192.4
59,4,1,1,0,0,90,4,10,157769.6
60,2,0,0,0,0,0,2,4,18082.4
61,3,0,0,1,0,50,512,0,12196.4
62,2,1,1,0,0,70,64,4,4416.2
63,2,1,1,0,1,70,64,8,101233.8
64,5,1,1,0,0,70,64,6,47705.8
65,4,1,1,1,1,70,64,2,35823.0
66,2,1,1,0,0,70,64,4,4416.2
67,1,1,1,0,0,70,64,10,101355.0
68,3,1,1,0,1,70,64,4,12286.8
69,2,1,1,1,0,70,64,0,17608.2
70,2,1,1,0,0,70,64,4,4416.2
71,5,1,1,0,1,10,4096,8,120930.8
72,2,1,1,0,0,70,8,6,76640.8
73,4,1,1,0,0,80,1,4,20214.0
74,1,1,1,1,0,30,64,2,17905.8
75,2,1,1,0,1,100,128,4,4381.8
76,3,1,1,0,1,100,128,10,48406.0
77,2,1,1,0,1,100,128,4,4381.8
78,2,1,1,1,1,100,128,0,17602.2
79,5,1,1,0,1,100,128,4,9155.8
80,1,1,1,0,1,100,128,6,89300.4
81,2,1,1,0,1,100,128,8,101557.2
82,4,1,1,0,1,100,128,4,12746.6
83,3,1,1,1,1,100,128,2,12156.8
84,2,1,1,0,1,90,16,10,95318.2
85,2,1,1,0,1,60,256,4,4425.0
86,2,1,1,0,1,100,512,4,4361.2
87,1,1,1,1,1,20,512,0,17838.4
88,5,1,1,0,1,0,512,6,47726.0
89,4,1,1,0,1,100,512,8,38588.2
90,3,1,1,0,1,10,512,4,12434.6
91,2,1,1,1,1,80,4,2,17629.4
92,2,1,1,0,1,30,2,4,12777.8
93,2,1,1,0,1,100,32,10,99581.2
94,5,1,1,0,1,90,8,4,9127.6
95,1,1,1,1,1,60,4096,0,17693.8
96,4,1,1,0,1,20,512,6,20266.8
97,2,1,1,0,1,100,1,8,83333.2
98,3,1,1,0,1,0,16,4,16351.2
99,2,1,1,1,1,40,256,2,17669.4
100,2,1,1,0,1,10,4,4,12028.0
101,2,1,1,0,1,100,128,4,4381.8
102,2,1,1,0,1,100,128,4,4381.8
103,2,1,1,0,1,100,128,4,4381.8
104,2,1,1,0,1,100,512,4,4361.2
105,2,1,1,0,1,100,512,4,4361.2
106,2,1,1,0,1,100,512,4,4361.2
107,2,1,1,0,1,80,512,4,4297.2
108,2,1,1,0,1,80,512,4,4297.2
109,2,1,1,0,1,80,512,4,4297.2
110,2,1,1,0,1,80,512,10,101527.0
111,5,1,1,0,1,80,512,4,9124.8
112,1,1,1,0,1,80,512,0,17775.8
113,4,1,1,0,1,80,512,4,12866.2
114,2,1,1,0,1,80,2,6,73397.6
115,3,1,1,0,1,80,32,8,38037.2
116,2,1,1,0,1,80,512,4,4297.2
117,2,1,1,0,1,80,2048,2,4714.8
118,2,1,1,0,1,80,8,4,8962.0
119,5,1,1,1,1,80,4096,10,299909.2
120,1,1,1,0,1,80,1,4,15259.2
121,4,1,1,0,1,80,512,0,8905.8
122,2,1,1,0,1,80,16,6,83983.0
123,3,1,1,0,1,30,256,8,38130.0
124,2,1,1,1,1,80,512,4,11837.2
125,2,1,1,0,1,90,1024,2,4653.0
126,5,1,1,0,1,60,4,4,9181.2
127,1,1,1,0,1,20,2,10,80325.6
128,2,1,1,1,1,40,512,4,11979.2
129,4,1,1,0,1,80,32,0,8930.4
130,3,1,1,0,1,0,2048,4,15797.6
131,2,0,0,0,1,10,8,6,76885.2
132,2,1,1,0,1,80,4096,8,101466.4
133,2,1,1,1,1,30,512,4,11965.2
134,5,1,1,0,1,80,1,2,9138.2
135,1,0,0,0,1,90,512,4,11818.2
136,2,1,1,0,1,60,16,10,96180.6
137,4,1,1,1,1,20,256,4,43264.2
138,3,1,1,0,1,40,1024,4,12121.4
139,2,0,1,0,1,80,512,0,4686.0
140,2,1,0,0,1,0,4,6,82418.2
141,2,1,1,0,1,10,2,8,80232.4
142,5,1,1,1,1,80,512,4,9193.0
143,1,1,1,0,1,30,32,2,17690.0
144,2,0,0,0,1,80,2048,4,4332.4
145,4,1,1,0,1,90,8,10,145949.0
146,2,1,1,0,1,60,4096,4,4398.4
147,3,1,1,0,1,50,512,4,12393.4
148,2,1,1,1,1,80,1,0,17592.8
149,2,0,0,0,1,20,512,6,89767.8
150,5,1,1,0,1,40,16,8,122068.4
