Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,1,64,8,256,132419.2000055215
1,0,0,1,0,1,256,2,1024,46177.19999738581
2,1,0,1,1,0,256,32,256,140016.799996673
3,1,0,1,1,1,128,8,256,136436.0000106927
4,1,1,0,1,0,64,8,4096,135789.20001739843
5,0,1,0,1,0,64,2,1024,46447.60000486544
6,1,1,1,0,0,128,2,256,136797.8000016628
7,1,0,1,1,0,128,2,4096,131911.20000905395
8,1,1,1,0,0,64,8,4096,130763.80001964133
9,0,0,1,0,1,128,2,256,46121.00000568427
10,0,1,0,0,0,64,32,256,46122.200017401155
11,0,1,1,1,0,128,8,1024,46551.000002612134
12,1,0,0,0,1,256,32,1024,139426.00000818897
13,1,1,1,0,0,128,32,1024,132014.60000340967
14,0,0,1,0,1,64,2,4096,46238.60001479254
15,1,0,0,0,1,256,8,256,136333.80001814023
16,0,0,0,1,0,128,8,1024,46551.599975246165
17,0,1,0,1,1,128,2,256,46367.000005641385
18,1,0,1,0,0,128,2,1024,137218.20002287574
19,1,0,0,1,1,256,8,1024,135590.59997331904
20,0,0,0,1,1,64,32,256,46427.199972912684
21,0,1,1,0,1,128,2,4096,46614.999981616114
22,0,0,0,0,1,128,2,4096,46108.19998041286
23,1,0,0,1,0,256,32,4096,133534.2000437724
24,0,1,1,1,0,256,32,4096,46451.400006114614
25,0,0,0,1,0,128,32,1024,46368.800016430076
26,0,0,0,1,0,64,2,4096,46738.00001759919
27,1,0,0,1,1,128,2,256,131667.80001472283
28,1,1,1,0,1,128,2,4096,134358.40002143002
29,1,0,0,0,0,128,32,1024,127243.79997629684
30,0,1,1,1,0,256,8,1024,46824.80000277744
31,1,0,1,0,0,256,8,256,133510.3999976042
32,0,0,1,1,0,256,8,256,46479.80001964744
33,1,1,1,0,1,64,32,256,133541.9999662355
34,1,1,1,1,0,64,32,1024,127659.19999455079
35,0,0,1,1,0,256,8,256,46479.80004053791
36,1,1,0,1,0,64,2,4096,131709.20001777873
37,0,1,0,1,0,128,8,4096,46586.40001667655
38,1,0,0,1,0,256,8,256,134239.39997649944
39,0,1,0,0,1,256,32,1024,46191.20001208484
40,1,1,1,0,0,64,32,256,136657.39997791554
41,0,0,0,1,1,128,8,4096,46615.79997603614
42,0,1,1,0,1,256,8,4096,46207.20002363531
43,0,0,1,0,0,64,32,4096,46191.1999982664
44,0,0,0,1,0,128,8,1024,46551.600027766646
45,0,0,0,0,0,64,8,4096,46284.999981450834
46,0,0,1,0,1,128,32,1024,47486.6000122246
47,0,1,0,0,1,64,32,4096,46295.600010829636
48,1,0,0,0,0,256,2,256,135069.00004808244
49,0,1,0,0,0,128,2,1024,46240.800012685504
50,1,1,0,1,0,256,2,1024,133595.4000352944
51,0,0,0,0,1,256,32,1024,46176.600024638945
52,0,0,1,0,1,64,8,4096,46345.60001079948
53,1,1,1,1,0,256,2,4096,127337.60002100436
54,1,1,0,0,0,256,8,4096,133344.20002304605
55,0,0,1,0,0,128,8,4096,46163.200003598395
56,0,1,0,0,1,128,2,1024,46099.40001594494
57,0,1,0,0,1,128,2,1024,46099.40000944433
58,1,0,0,1,1,64,2,4096,133870.00001573356
59,0,1,0,1,0,64,2,4096,46433.00001066865
60,0,1,0,0,1,128,2,1024,46099.40004958297
61,0,1,0,0,1,128,2,1024,46099.40000766145
62,0,1,0,0,1,128,2,1024,46099.39999388314
63,0,1,0,0,1,128,2,1024,46099.40001544678
64,0,1,0,0,1,128,2,1024,46099.39998837559
65,0,1,0,0,1,128,2,1024,46099.39995102711
66,0,1,0,0,1,128,2,1024,46099.400059484
67,0,1,0,0,1,128,2,1024,46099.39998692522
68,0,1,0,0,1,128,2,1024,46099.4000027069
69,0,1,0,0,1,128,2,1024,46099.40002414753
70,0,1,0,0,1,128,2,1024,46099.40000876658
71,0,1,0,0,1,128,2,1024,46099.40002860015
72,0,1,0,0,1,128,2,1024,46099.39997984176
73,0,1,0,0,1,128,2,1024,46099.399996739834
74,0,1,0,0,1,128,2,1024,46099.40001078374
75,0,1,0,0,1,128,2,1024,46099.40000221225
76,0,1,0,0,1,128,2,1024,46099.40000809875
77,0,1,0,0,1,128,2,1024,46099.39999129933
78,0,1,0,0,1,128,2,1024,46099.39998368216
79,0,1,0,0,1,128,2,1024,46099.40001892233
80,0,1,0,0,1,128,2,1024,46099.40004664588
81,0,1,0,0,1,128,2,1024,46099.40000933779
