Iteration,WindowSize,CompressionLevel,Performance
0,20,9,17.4
1,22,11,259.594
2,20,11,246.08
3,23,8,37.284
4,13,5,4.128
5,24,3,2.478
6,18,8,9.684
7,22,0,1.596
8,12,1,1.542
9,24,8,38.644
10,20,9,17.4
11,11,1,1.526
12,18,1,1.63
13,14,8,6.086
14,23,10,318.954
15,15,5,5.072
16,20,3,2.546
17,10,7,4.874
18,22,0,1.596
19,11,3,2.476
20,16,5,5.392
21,12,7,5.266
22,21,6,10.46
23,17,9,10.152
24,21,11,244.72
25,21,7,15.806
26,14,3,2.302
27,21,6,10.46
28,20,8,14.64
29,19,9,14.048
30,11,1,1.526
31,11,2,1.998
32,11,1,1.526
33,11,4,3.04
34,11,1,1.526
35,13,1,1.514
36,13,1,1.514
37,13,2,1.942
38,13,10,313.652
39,13,4,2.972
40,13,1,1.514
41,13,11,315.078
42,16,1,1.598
43,24,0,1.574
44,15,1,1.52
45,17,10,307.144
46,10,1,1.666
47,23,4,2.726
48,18,5,6.714
49,19,6,9.336
50,13,2,1.942
51,22,0,1.596
52,12,1,1.542
53,13,11,315.078
54,14,8,6.086
55,24,9,108.602
56,15,7,6.39
57,10,3,2.616
58,23,5,7.178
59,18,1,1.63
60,16,10,285.0
61,17,6,6.34
62,20,1,1.636
63,13,0,1.514
64,22,0,1.596
65,19,0,1.614
66,12,0,1.528
67,13,0,1.514
68,14,8,6.086
69,13,9,6.862
70,21,7,15.806
71,24,3,2.478
72,20,2,2.088
73,15,11,292.192
74,13,4,2.972
75,16,0,1.59
76,10,5,3.306
77,23,10,318.954
78,18,6,7.51
79,17,0,1.606
80,13,8,5.62
81,19,9,14.048
82,22,2,2.05
83,12,4,3.004
84,13,7,5.554
85,14,11,301.078
86,21,3,2.512
87,13,5,4.128
88,24,0,1.574
89,15,10,291.618
90,10,1,1.666
91,20,6,10.658
92,16,8,7.548
93,23,2,2.032
94,18,9,11.954
95,11,1,1.526
96,17,0,1.606
97,13,7,5.554
98,22,4,2.748
99,19,11,258.502
100,12,3,2.426
101,13,1,1.514
102,13,1,1.514
103,13,1,1.514
104,13,1,1.514
105,13,1,1.514
106,14,1,1.46
107,14,5,4.678
108,14,1,1.46
109,14,0,1.472
110,14,10,301.488
111,14,1,1.46
112,14,1,1.46
113,14,1,1.46
114,14,1,1.46
115,14,1,1.46
116,14,1,1.46
117,14,6,4.874
118,14,1,1.46
119,14,8,6.086
120,14,9,7.404
121,21,2,2.06
122,14,7,5.896
123,24,1,1.57
124,15,4,2.834
125,20,11,246.08
126,10,3,2.616
127,11,1,1.526
128,16,5,5.392
129,23,10,318.954
130,18,6,7.51
131,17,1,1.612
132,14,8,6.086
133,22,1,1.586
134,19,9,14.048
135,12,2,1.988
136,14,7,5.896
137,21,4,2.768
138,24,11,394.158
139,15,3,2.392
140,14,1,1.46
141,20,5,7.45
142,10,1,1.666
143,11,10,343.594
144,16,6,5.77
145,23,1,1.572
146,18,8,9.684
