Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,69365.2
1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,94481.6
2,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,87787.6
3,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,84266.4
4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,63507.6
5,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,78942.4
6,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,87842.2
7,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,84073.0
8,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,76878.8
9,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,67168.0
10,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,81594.6
11,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,92772.6
12,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,87239.0
13,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,78056.2
14,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,91017.6
15,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,95609.6
16,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,64133.8
17,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,82526.4
18,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,73721.0
19,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,89507.2
20,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,80441.0
21,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,83258.0
22,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,77787.0
23,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,74254.2
24,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,84794.8
25,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,86309.4
26,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,75051.0
27,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,70700.6
28,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,97114.4
29,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,81914.2
