Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,1,2,2,1,0,1,0,0,0,0,116.96
1,1,2,1,0,0,0,0,0,1,1,109.458
2,4,1,3,0,1,1,0,0,1,1,24.558
3,4,2,1,0,1,0,0,1,1,1,31.78
4,2,3,3,0,1,0,0,1,1,1,80.376
5,4,1,2,0,0,1,1,0,1,0,24.594
6,2,2,1,1,0,0,0,0,1,0,55.582
7,2,2,2,0,1,0,0,0,1,0,58.248
8,3,2,2,1,1,0,0,1,1,0,40.398
9,2,3,1,0,0,1,0,0,0,1,88.032
10,4,3,1,1,0,1,0,0,1,1,37.176
11,3,1,2,0,1,0,0,0,0,0,31.314
12,1,2,3,1,1,1,0,1,1,0,111.536
13,2,1,2,0,1,0,1,1,0,1,49.73
14,1,1,2,0,1,1,0,1,1,0,92.722
15,3,3,2,0,0,1,1,0,1,1,59.064
16,1,1,1,1,1,1,1,0,1,0,79.33
17,3,3,2,1,0,0,1,0,0,0,67.172
18,3,3,3,1,0,1,0,0,1,0,50.638
19,3,1,3,0,0,1,1,1,0,1,34.214
20,2,1,2,1,0,1,1,1,0,1,47.66
21,3,3,1,0,1,1,1,0,0,1,69.176
22,1,2,3,0,1,0,0,0,0,1,121.886
23,2,1,1,1,0,0,0,1,1,1,47.042
24,4,3,2,1,0,1,0,0,0,0,43.734
25,1,2,2,1,0,1,1,0,1,1,112.362
26,4,1,1,0,1,1,1,0,1,0,23.242
27,2,1,3,1,0,1,0,0,1,1,43.742
28,4,2,1,1,1,1,0,0,0,1,31.152
29,3,3,1,0,0,0,1,0,0,0,70.548
30,4,1,3,0,1,1,1,0,1,0,24.628
31,4,1,3,0,1,1,1,0,1,0,24.628
32,4,1,3,0,1,1,1,0,1,1,24.608
33,4,1,3,0,1,1,1,0,1,0,24.628
34,4,1,1,0,1,1,1,0,1,1,23.536
35,4,1,1,0,1,1,1,0,1,1,23.536
36,4,1,1,0,1,1,1,0,1,0,23.242
37,4,1,1,0,1,1,1,0,1,0,23.242
38,4,1,1,0,1,1,1,0,1,0,23.242
39,4,1,1,0,1,1,1,0,1,0,23.242
40,4,1,1,0,1,1,1,1,1,0,24.974
41,4,1,1,0,1,1,1,0,1,0,23.242
42,4,2,1,0,1,1,1,0,1,0,31.596
43,4,1,1,0,1,0,1,1,1,0,25.014
44,1,1,1,0,1,1,1,0,1,0,85.196
45,4,1,1,0,1,1,1,0,1,0,23.242
46,4,2,1,0,1,0,1,1,1,0,33.134
47,2,1,1,0,1,1,1,0,1,0,45.212
48,1,1,1,0,1,1,1,0,1,0,85.196
49,4,3,1,0,1,0,1,1,1,0,44.536
50,4,2,1,0,1,1,1,0,1,0,31.596
51,2,1,1,0,1,1,1,0,0,0,45.198
52,3,3,2,0,1,0,1,1,1,0,61.668
53,1,1,1,0,1,1,1,0,1,0,85.196
54,4,1,1,1,1,1,0,0,0,0,21.678
55,2,2,2,1,0,1,0,0,0,0,62.452
56,3,3,1,1,1,0,0,1,0,0,63.108
57,4,1,2,1,1,1,0,0,0,0,22.626
58,1,1,2,1,0,1,0,0,0,0,81.362
59,4,2,2,1,1,0,0,0,0,0,31.846
60,3,3,2,1,0,1,0,1,0,0,63.93
61,2,1,2,1,1,1,0,0,0,0,42.406
62,4,1,2,1,1,1,0,0,0,0,22.626
63,1,1,2,1,0,0,0,0,0,1,81.248
64,4,3,2,1,1,1,0,1,0,0,47.642
65,3,2,2,1,1,1,0,0,0,1,42.758
66,4,1,3,1,0,1,0,0,0,0,23.6
67,2,1,2,1,1,0,0,0,0,0,42.506
68,4,1,3,1,1,1,0,0,0,1,23.204
69,1,3,2,1,1,1,0,1,0,0,172.216
70,4,2,2,1,0,1,0,0,0,0,32.518
71,3,1,3,1,1,1,0,0,0,1,29.688
72,4,1,2,1,1,0,0,0,0,0,22.312
73,2,1,3,1,1,0,0,1,0,0,45.498
74,4,3,2,1,0,0,0,0,0,1,43.38
75,4,1,2,1,1,0,0,0,0,0,22.312
76,1,2,3,1,1,0,0,0,0,0,115.436
77,4,1,2,1,1,0,0,0,0,0,22.312
78,3,1,2,1,0,0,0,1,0,1,31.866
79,4,1,3,1,1,0,0,0,0,0,22.984
80,2,3,1,1,1,0,0,0,0,0,82.424
81,4,2,1,1,1,0,0,0,0,0,31.33
82,4,1,2,1,1,0,0,1,0,1,22.97
83,1,1,1,1,0,0,0,0,0,0,80.742
84,3,1,3,1,1,0,0,0,0,0,29.798
85,4,3,1,1,1,0,0,0,0,0,42.47
86,2,2,2,1,1,0,0,1,0,1,66.818
87,4,1,1,1,0,0,0,0,0,0,22.312
88,4,1,2,1,1,0,0,0,0,0,22.312
89,1,1,1,1,1,0,0,0,0,0,78.16
90,4,3,3,1,1,0,0,1,0,1,46.204
91,3,2,1,1,0,0,0,0,0,0,43.18
92,2,1,2,1,1,0,0,0,0,0,42.506
93,4,1,1,1,1,0,0,0,0,0,21.636
94,4,1,1,1,1,1,0,1,0,0,23.666
95,1,3,1,1,0,1,0,0,0,1,157.904
96,4,2,1,1,1,0,0,0,0,0,31.33
97,3,1,1,1,1,1,0,0,0,0,29.01
98,2,1,1,1,1,0,0,1,0,0,45.512
99,4,1,1,1,0,1,0,0,0,1,22.172
100,4,3,1,1,1,1,0,0,0,0,42.882
101,4,1,1,1,0,1,0,0,0,1,22.172
102,4,1,1,1,0,1,0,0,0,1,22.172
103,4,1,1,1,0,1,0,0,0,1,22.172
104,4,1,1,1,0,1,0,0,0,1,22.172
105,4,1,1,1,0,1,0,0,0,1,22.172
106,4,1,1,1,0,1,0,0,0,1,22.172
107,4,1,1,1,0,1,0,0,0,1,22.172
108,4,1,1,1,0,1,0,0,0,1,22.172
109,4,1,1,1,0,1,0,0,0,1,22.172
110,4,1,1,1,0,1,0,0,0,1,22.172
