Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0.9940546495225598
1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0.9930454139671856
2,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0.027815668312882885
3,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0.9920400947799957
4,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0.9940469897629691
5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.99503275099324
6,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0.003978633952717183
7,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0.01389795821474941
8,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0.005960017964528634
9,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0.015880761164154565
10,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0.01589034129162429
11,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0.9970316752623496
12,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0.017854381679850227
13,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.013895838904253296
14,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0.006959985211138321
15,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0.9930586619601354
16,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0.9920566676141285
17,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0.9900764934971104
18,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0.9950421482299217
19,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.006957035032928671
20,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.024825456950471052
21,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0.012922005278709871
22,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0.9940470885926475
23,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0.022827382644644893
24,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0.022839535772922557
25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.006949407548029779
26,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0.002975280743805597
27,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0.010934839977669253
28,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0.9940440196827165
29,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0.012905976355946485
30,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.001993793378679949
31,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.9920656640352776
32,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.9930521382850828
33,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0.02383271000189281
34,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0.9930688891534238
35,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0.9940463415879831
36,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0.9980058619434942
37,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0.0029826538409984302
38,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0.029795625797675578
39,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.9930677035179759
40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.992028260229595
41,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0009914035436905677
42,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0.010912164479191633
