Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,1,1,64,2,256,46400.60003510471
1,0,1,1,0,1,256,2,4096,46381.39997082984
2,1,1,0,0,1,256,32,4096,134608.59996714283
3,0,0,0,0,0,128,2,256,46236.79999186845
4,0,1,1,0,1,128,2,4096,46615.00000130491
5,1,0,1,0,1,128,2,4096,139647.8000025369
6,0,0,0,0,0,64,8,1024,46349.39998995476
7,0,1,1,1,1,64,32,4096,46849.40005483791
8,1,1,1,1,1,128,2,1024,132657.00000910662
9,0,0,1,0,1,128,32,1024,47486.60001121789
10,1,1,1,1,0,256,2,256,129518.80000880473
11,0,1,0,1,0,64,2,1024,46447.59999190392
12,1,1,0,0,1,128,2,4096,133053.00001815235
13,0,1,1,0,0,256,8,256,46092.0000045279
14,1,0,1,0,1,64,32,4096,135629.40000151296
15,1,0,0,0,0,128,8,4096,135612.3999728169
16,1,1,1,1,0,256,2,256,129518.8000077954
17,1,0,0,1,0,64,8,4096,134655.3999906159
18,0,0,0,1,1,256,32,4096,46507.40003643007
19,0,0,0,1,0,64,32,4096,46264.20000513412
20,1,1,1,1,1,64,32,256,132168.79998982264
21,0,1,1,1,1,128,2,256,46463.2000019961
22,0,1,1,1,1,256,32,256,46982.0000133778
23,0,0,0,1,1,64,2,4096,46481.99999504259
24,1,0,1,1,1,64,32,1024,141021.99996741855
25,0,1,0,1,0,128,32,1024,47239.799971434084
26,1,1,0,0,1,128,2,1024,130383.3999872776
27,0,0,1,1,0,128,8,256,47257.20003547672
28,0,1,0,0,1,128,32,256,46355.19999547384
29,0,0,0,1,0,256,32,256,46346.40002158682
30,1,1,1,1,1,64,2,1024,131163.39999723522
31,0,1,1,0,1,256,8,4096,46207.20001518206
32,0,0,0,1,0,256,32,1024,46418.99998104693
33,1,0,1,1,0,256,8,4096,135527.80001833042
34,1,0,0,1,1,64,32,1024,131342.79999293087
35,1,1,0,0,0,256,32,1024,131767.39998486306
36,1,1,0,1,0,256,32,256,134325.40001006244
37,0,0,0,0,1,256,8,1024,46302.99999031006
38,0,1,1,0,0,64,8,256,45922.80001178222
39,1,0,1,1,1,128,2,256,141082.3999954185
40,1,1,0,0,1,64,2,256,134110.6000461792
41,1,1,0,1,0,256,8,256,133679.59999469988
42,0,1,0,0,1,256,32,1024,46191.19998960742
43,1,1,1,0,1,64,32,256,133541.9999936844
44,1,1,1,1,1,256,32,1024,130423.00002023162
45,0,1,0,1,1,64,2,1024,46520.59998162349
46,0,1,0,0,0,128,2,4096,46368.80000194219
47,1,1,1,0,1,256,32,1024,129640.20000333956
48,1,0,1,0,1,64,32,4096,135629.40000503237
49,0,1,1,0,0,64,2,4096,46357.79998355692
50,1,1,1,1,1,256,2,256,130773.39999213819
51,0,1,1,0,1,128,32,1024,46436.79999483697
52,1,1,0,1,1,64,2,4096,134920.39998770916
53,1,1,0,0,1,256,32,4096,134608.60003101715
54,0,1,1,0,1,128,8,4096,46460.79996192713
55,1,0,0,1,1,256,8,1024,135590.6000092026
56,1,1,0,0,1,64,32,1024,132368.4000355353
57,1,1,0,0,1,64,2,1024,136113.3999679518
58,0,1,0,1,1,256,8,1024,46605.00006729143
59,0,1,0,1,1,128,2,1024,46445.39999335281
60,0,1,1,0,0,256,8,256,46092.00002890207
61,0,1,1,0,0,256,8,256,46092.00000390889
62,0,1,1,0,0,256,8,256,46092.00000064545
63,0,1,1,0,0,256,8,256,46092.00001036191
64,0,1,1,0,0,256,8,256,46091.999968118886
65,0,1,1,0,0,256,8,256,46092.00001080167
66,0,1,1,0,0,256,8,256,46092.00003831012
67,0,1,1,0,0,64,8,256,45922.79996155088
68,0,1,1,0,0,64,8,256,45922.80000392511
69,0,1,1,0,0,64,8,256,45922.79997545284
70,0,1,1,0,0,64,8,256,45922.799997106966
71,0,1,1,0,0,64,8,256,45922.80002734338
72,0,1,1,0,0,64,8,256,45922.80003265724
