Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.018872320167510493
1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0.006944182973713774
2,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0.9920609010691646
3,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0.019856337094214693
4,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.0009880723552344083
5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9920483050585217
6,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0.9980227643349814
7,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0.9920690882119482
8,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0.009940801973484535
9,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0.9920663185326948
10,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0.9940483190108967
11,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0.9940262421601291
12,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0.018853649794841557
13,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0.0029904725272624417
14,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0.01885787372650185
15,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0.10425441299899278
16,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.9950476775721521
17,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0.007933784393866637
18,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0.9940489430982016
19,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0.00698453216615174
20,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0.9980172702608016
21,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0.9930538128995016
22,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0.9940588688897002
23,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0.030779092246712852
24,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0.993021992267216
25,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0.015895194213564463
26,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0.9980025938618382
27,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.008932406164461861
28,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0.010925167937287612
29,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0.9940397269633043
30,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0.002992114464163148
31,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.9930585515028121
32,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0.020844129952899373
33,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0.018850433526374832
34,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0.9940360934082545
35,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.014871187051822707
36,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0069708072603076295
37,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0.994062982564645
38,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0.9960423915561372
39,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0.9980122535391036
40,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0.006982384758401286
41,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.014903496288803114
