Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,79076.8
1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,64277.2
2,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,91307.8
3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,74733.4
4,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,78024.0
5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70502.8
6,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,86817.4
7,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,73495.2
8,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,84348.6
9,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,58541.8
10,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,81680.4
11,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,77313.6
12,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,82650.4
13,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,83249.2
14,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,83256.0
15,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,75155.8
16,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,67194.2
17,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,85192.6
18,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,79075.0
19,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,63807.2
20,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,83038.6
21,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,98971.4
22,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,91750.4
23,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,93341.6
24,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,75086.8
25,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,73293.2
26,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,93630.6
27,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,65822.6
28,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,76005.6
29,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,89035.2
30,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,63991.6
31,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,62736.6
32,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,62821.8
33,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,59344.8
