Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,3,2,2,1,0,0,0,0,0,0,43.586
1,1,1,2,0,0,0,0,0,0,0,86.002
2,2,2,1,1,0,1,0,1,0,1,67.912
3,3,2,3,0,0,0,0,1,0,0,49.8
4,4,1,3,0,0,0,1,0,0,1,25.094
5,3,3,2,0,1,1,0,0,1,1,51.492
6,2,1,2,0,1,0,0,0,0,1,45.592
7,2,1,1,0,1,0,0,1,1,0,49.032
8,4,3,1,0,0,1,1,0,0,1,50.03
9,4,1,1,1,0,0,0,1,1,0,23.52
10,4,3,1,0,0,0,0,1,1,0,40.834
11,3,2,3,0,0,0,1,0,0,1,51.166
12,1,3,2,1,0,1,1,0,1,0,151.24
13,4,2,3,1,1,0,1,1,0,1,35.776
14,4,2,2,0,1,0,0,1,1,0,31.61
15,1,2,2,1,0,0,0,1,0,1,128.004
16,1,1,2,1,0,0,0,0,0,0,81.224
17,3,2,1,1,1,0,0,0,0,1,42.198
18,4,1,2,0,0,1,0,0,0,1,24.056
19,3,2,2,0,0,1,1,0,0,0,50.756
20,1,3,2,1,1,0,1,0,1,0,149.864
21,4,3,2,0,0,0,1,0,0,1,50.028
22,3,2,2,0,1,1,1,1,0,1,53.392
23,4,3,3,0,1,1,1,0,1,0,43.364
24,4,2,1,0,0,0,0,1,0,1,36.406
25,3,1,1,1,1,0,0,1,0,0,30.764
26,1,3,1,1,1,1,0,1,1,0,146.064
27,3,2,2,1,0,0,1,1,1,1,43.858
28,2,2,1,0,1,1,1,0,1,0,61.722
29,2,2,1,1,0,1,0,1,0,1,67.912
30,4,1,1,1,0,1,0,1,1,0,23.582
31,4,1,1,1,0,1,0,1,1,0,23.582
32,4,1,1,1,0,1,0,1,1,0,23.582
33,4,1,1,1,0,1,0,1,1,0,23.582
34,4,1,1,1,0,1,0,1,1,0,23.582
35,4,1,1,1,0,1,0,1,1,0,23.582
36,4,1,3,1,0,0,0,1,1,0,23.766
37,2,1,1,1,0,1,0,1,1,0,46.958
38,4,1,1,1,0,0,0,1,1,0,23.52
39,4,1,1,1,0,0,0,1,1,0,23.52
40,2,1,3,1,0,0,0,1,1,0,46.918
41,4,1,1,1,0,0,0,1,1,0,23.52
42,4,1,1,1,0,0,0,1,1,0,23.52
43,1,1,3,1,0,0,0,1,1,0,88.382
44,4,1,1,1,0,0,0,1,1,0,23.52
45,2,1,1,1,0,0,0,1,1,0,46.578
46,4,1,3,1,0,0,0,1,1,0,23.766
47,1,3,1,1,0,0,0,1,1,0,147.628
48,4,1,1,1,0,0,0,1,1,0,23.52
49,3,1,1,1,0,0,0,1,1,0,31.638
50,4,3,3,1,1,0,1,1,1,0,42.708
51,1,1,1,1,0,0,0,0,1,0,80.744
52,2,1,1,1,0,0,0,1,1,1,47.042
53,4,3,3,0,1,0,1,0,1,0,43.698
54,3,1,1,1,0,0,0,1,1,0,31.638
55,4,1,2,0,0,0,0,1,0,1,25.15
56,1,3,1,1,1,0,1,0,1,0,149.216
57,4,2,2,0,0,0,0,1,0,1,36.52
58,3,1,1,1,1,0,0,1,1,0,30.956
59,2,1,3,1,0,0,1,0,1,0,44.536
60,4,2,1,0,0,0,0,1,0,1,36.406
61,4,3,2,1,1,0,0,1,1,0,39.01
62,1,1,1,1,0,0,1,0,1,0,81.742
63,3,1,1,0,0,0,0,1,0,1,33.858
64,4,2,2,1,0,0,0,1,1,0,30.37
65,4,3,1,1,1,0,1,0,1,0,40.818
66,2,1,3,1,0,0,0,1,0,0,46.698
67,4,1,1,0,0,1,0,1,1,1,25.442
68,3,2,1,1,0,0,0,1,1,0,40.666
69,1,1,2,1,1,0,1,0,1,0,79.702
70,4,1,1,1,0,1,0,1,0,1,23.666
71,4,3,3,0,0,0,0,1,1,0,41.072
72,2,2,1,1,0,1,0,1,1,0,59.64
73,4,1,1,1,1,0,1,1,0,0,23.082
74,4,1,2,1,1,0,1,0,0,0,22.842
75,4,1,2,1,1,0,1,0,0,0,22.842
76,3,1,2,0,1,1,1,0,0,1,31.574
77,1,3,2,1,1,0,1,0,0,0,170.47
78,4,1,2,1,1,0,1,0,0,0,22.842
79,2,2,2,1,1,0,1,0,0,0,65.462
80,4,1,2,1,1,1,1,0,0,1,22.816
81,4,1,2,0,1,1,1,0,0,1,24.218
82,1,1,2,1,1,1,1,0,0,1,80.34
83,3,3,2,1,1,1,1,0,0,1,66.68
84,4,2,2,1,1,1,1,0,0,1,34.188
85,2,1,2,0,1,1,1,0,0,1,45.82
86,4,1,2,1,1,1,1,0,0,1,22.816
87,4,1,2,1,1,1,1,0,0,1,22.816
88,1,3,2,1,1,1,1,0,0,1,171.428
89,3,2,2,0,1,1,1,0,0,1,49.88
90,4,1,2,1,1,1,1,0,0,1,22.816
91,2,1,2,1,1,1,1,0,0,1,42.83
92,4,1,2,1,1,1,1,0,0,1,22.816
93,4,3,2,0,1,1,1,0,0,1,49.648
94,1,1,3,1,1,1,1,0,0,1,80.566
95,3,2,2,1,1,1,1,0,0,1,46.988
96,4,1,2,1,1,1,1,0,0,1,22.816
97,2,1,2,0,1,1,1,0,0,1,45.82
98,4,3,3,1,1,1,1,0,0,1,47.72
99,4,1,2,1,1,1,1,0,0,1,22.816
100,1,2,2,1,1,1,1,0,0,1,123.274
101,4,1,2,1,1,1,1,0,0,1,22.816
102,4,1,2,1,1,1,1,0,0,1,22.816
103,4,1,2,1,1,1,1,0,0,1,22.816
104,4,1,2,1,1,1,1,0,0,1,22.816
