Iteration,WindowSize,CompressionLevel,Performance
0,15,11,292.192
1,13,2,1.942
2,10,9,6.246
3,11,5,3.49
4,19,9,14.048
5,20,8,14.64
6,22,6,10.266
7,14,0,1.472
8,24,11,394.158
9,15,7,6.39
10,15,2,1.972
11,18,1,1.63
12,17,9,10.152
13,10,1,1.666
14,14,11,301.078
15,17,3,2.564
16,21,4,2.768
17,21,11,244.72
18,18,11,279.692
19,20,6,10.658
20,15,9,8.084
21,24,4,2.708
22,15,3,2.392
23,18,10,279.698
24,23,11,315.238
25,13,4,2.972
26,20,7,12.338
27,15,2,1.972
28,19,9,14.048
29,15,0,1.534
30,16,0,1.59
31,14,0,1.472
32,14,0,1.472
33,14,0,1.472
34,12,5,3.746
35,14,0,1.472
36,11,8,5.042
37,14,0,1.472
38,22,10,256.21
39,14,5,4.678
40,23,0,1.556
41,12,8,5.318
42,16,6,5.77
43,10,1,1.666
44,13,7,5.554
45,11,2,1.998
46,19,0,1.614
47,14,3,2.302
48,17,0,1.606
49,24,10,392.744
50,22,1,1.586
51,21,6,10.46
52,14,5,4.678
53,10,8,5.046
54,14,4,2.894
55,20,7,12.338
56,18,3,2.562
57,23,9,63.68
58,13,2,1.942
59,17,0,1.606
60,24,11,394.158
61,16,0,1.59
62,19,10,258.558
63,21,1,1.598
64,12,4,3.004
65,14,6,4.874
66,11,0,1.526
67,22,9,34.292
68,14,5,4.678
69,20,7,12.338
70,18,0,1.628
71,10,11,363.346
72,14,8,6.086
73,23,2,2.032
74,15,3,2.392
75,13,0,1.514
76,16,0,1.59
77,12,10,328.816
78,17,4,2.848
79,14,1,1.46
80,24,1,1.57
81,19,1,1.604
82,21,1,1.598
83,11,1,1.526
84,14,1,1.46
85,14,1,1.46
86,22,1,1.586
87,20,1,1.636
88,14,1,1.46
89,18,6,7.51
90,10,1,1.666
91,15,9,8.084
92,23,5,7.178
93,14,7,5.896
94,13,8,5.62
95,16,3,2.508
96,17,2,2.102
97,24,11,394.158
98,12,1,1.542
99,19,10,258.558
100,21,1,1.598
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,14,4,2.894
107,11,6,3.57
108,22,9,34.292
109,14,5,4.678
110,20,7,12.338
111,18,1,1.63
112,10,8,5.046
113,14,3,2.302
114,23,11,315.238
115,15,2,1.972
116,13,1,1.514
117,14,10,301.488
118,16,1,1.598
119,17,4,2.848
120,12,6,3.846
121,24,1,1.57
122,19,9,14.048
123,21,5,7.272
124,14,7,5.896
125,11,1,1.526
126,22,8,25.432
127,14,3,2.302
128,20,2,2.088
129,18,11,279.692
130,10,1,1.666
131,14,10,301.488
132,15,1,1.52
133,23,4,2.726
134,13,1,1.514
135,14,6,4.874
136,16,9,9.094
137,17,5,5.886
138,12,1,1.542
139,24,7,20.228
140,19,8,11.508
141,14,3,2.302
142,21,11,244.72
143,11,2,1.998
144,22,1,1.586
145,14,1,1.46
146,20,10,246.512
147,18,4,2.824
148,10,1,1.666
149,14,6,4.874
150,23,9,63.68
151,15,5,5.072
152,13,1,1.514
153,14,7,5.896
