Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,0,256,2,4096,129499.3999801533
1,0,1,1,0,0,256,8,256,46092.00000330679
2,0,1,0,0,0,256,8,4096,46102.00000845963
3,1,1,1,1,1,64,2,256,128684.59998417138
4,1,1,0,0,0,64,8,1024,134852.19999596814
5,0,1,0,1,0,256,2,1024,46350.20002788827
6,0,0,0,1,1,64,8,1024,47330.999968446195
7,0,1,1,1,0,256,32,256,46430.999986880764
8,1,0,1,1,1,256,32,4096,139168.9999698102
9,1,1,0,1,0,64,8,1024,132315.20000710658
10,0,0,1,0,1,256,32,256,46282.000023784596
11,1,1,0,1,1,128,8,1024,129166.20000637497
12,1,1,1,0,1,64,8,256,132169.39999275122
13,1,1,1,1,1,128,8,1024,130226.00000244225
14,0,0,1,0,0,64,2,4096,46094.99998021232
15,0,1,0,1,0,128,32,1024,47239.79998883271
16,1,0,1,1,0,128,2,256,138332.6000462273
17,1,1,0,0,1,256,32,256,134256.80002390943
18,0,1,0,0,0,256,8,4096,46102.00002445641
19,0,0,0,0,0,64,8,256,46297.599994529504
20,0,0,1,0,0,128,2,1024,46254.59998384172
21,1,0,0,1,0,128,8,4096,131102.79998244485
22,0,1,1,0,1,256,8,4096,46207.19996927105
23,0,0,0,0,1,256,2,4096,47094.79999856271
24,0,1,0,0,1,256,2,1024,46142.200011368535
25,1,0,1,0,1,256,32,256,137279.99999234886
26,1,1,0,0,0,256,32,4096,132785.60002041757
27,0,1,0,0,0,128,32,4096,46197.800000480776
28,1,0,0,0,1,64,8,1024,134427.3999732328
29,0,0,0,0,0,64,32,1024,46298.40000621967
30,1,0,0,0,0,256,2,256,135068.99999183806
31,1,1,1,1,1,64,32,4096,131409.79996705006
32,1,1,1,0,1,256,32,1024,129640.19997812665
33,1,0,1,1,1,64,8,256,138112.79997912847
34,0,1,0,0,0,256,32,256,46178.00002688808
35,0,0,0,1,1,128,8,4096,46615.80003611163
36,0,0,1,0,0,64,32,256,46180.0000044376
37,0,0,0,1,0,64,8,4096,46361.19999994208
38,0,1,1,0,0,64,2,256,46338.59999504577
39,1,1,1,1,1,64,2,256,128684.5999916533
40,0,0,0,0,0,128,2,256,46236.80000414602
41,0,0,1,0,1,64,32,1024,46132.59997610678
42,1,1,0,0,1,64,32,1024,132368.4000344128
43,1,1,0,0,1,64,8,1024,134931.79997749877
44,0,0,0,1,0,64,32,256,46298.39998915623
45,1,1,0,0,1,256,2,1024,131355.40005958718
46,0,1,0,1,1,256,8,256,46453.00002457729
47,0,1,0,0,0,128,32,4096,46197.80003585798
48,1,0,0,0,0,256,32,1024,136341.3999931391
49,0,1,1,0,0,128,2,1024,47200.20003578469
50,0,1,1,0,1,64,2,1024,46614.40000956205
51,0,0,1,0,1,256,2,4096,46301.00000823339
52,0,1,1,0,0,256,2,256,46407.80003686458
53,0,0,1,0,1,128,8,256,46271.0000104674
54,0,1,0,0,1,256,2,1024,46142.19995998104
55,1,1,1,1,1,64,8,4096,130401.59999351292
56,1,1,0,1,0,128,32,1024,134356.59999467517
57,0,0,0,1,0,128,2,1024,46355.200017952346
58,0,1,0,0,1,128,8,4096,46303.0000268998
59,0,0,0,1,0,64,8,4096,46361.20003374263
60,0,1,1,0,0,256,8,4096,46382.79996823453
61,0,1,1,0,0,256,8,4096,46382.79998193627
62,0,1,1,0,0,256,8,4096,46382.800027709156
63,0,1,1,0,0,256,8,4096,46382.80000940457
64,0,1,1,0,0,256,8,4096,46382.79998587868
65,0,0,1,0,0,256,8,4096,46383.399993918174
66,0,1,1,0,0,256,8,4096,46382.79998479531
67,0,1,1,0,0,256,8,4096,46382.800008968
68,0,0,1,0,0,256,2,4096,46143.40001097908
69,0,1,1,0,0,256,8,256,46092.000018821316
70,0,1,1,0,0,256,8,256,46092.00001323057
71,0,1,1,0,0,256,8,256,46091.99998363128
72,0,1,1,0,0,256,8,256,46092.00000161227
73,0,1,1,0,0,256,8,256,46092.000025409434
74,0,1,1,0,0,256,8,256,46092.000026797374
75,0,1,1,0,0,256,8,256,46091.999989567135
76,0,1,1,0,0,256,8,256,46091.99996235668
77,0,1,1,0,0,256,8,256,46091.999950190824
78,0,1,1,0,0,256,8,256,46092.00000391215
79,0,1,1,0,0,256,8,256,46092.00001097334
80,0,1,1,0,0,256,8,256,46092.000017871775
81,0,1,1,0,0,256,8,256,46092.00005192025
82,0,1,1,0,0,256,8,256,46091.99999049965
83,0,1,1,0,0,256,8,256,46091.999985249386
84,0,1,1,0,0,256,8,256,46092.0000114366
85,0,1,1,0,0,256,8,256,46092.00001334176
86,0,1,1,0,0,256,8,256,46092.00001132353
87,0,1,1,0,0,256,8,256,46091.999997054765
88,0,1,1,1,0,256,8,256,46539.6000401138
89,0,1,1,0,0,256,8,256,46091.999996393926
90,0,1,1,0,0,256,8,256,46091.999976564104
91,1,1,1,0,0,128,8,256,131126.80002918764
92,0,1,1,1,0,256,8,256,46539.59997971304
93,0,1,1,0,0,256,8,256,46092.000011991346
94,0,1,1,0,0,256,32,256,46640.59999654352
95,1,1,1,0,0,128,8,256,131126.79996779948
96,0,1,1,1,0,256,8,256,46539.59998876442
97,0,1,1,0,0,256,8,256,46092.00000126413
98,0,1,1,0,0,256,32,256,46640.60001208827
99,1,1,1,0,0,128,8,256,131126.79996579513
100,0,1,1,0,0,64,8,256,45922.80000658884
101,0,1,1,0,0,64,8,256,45922.79999106076
102,0,1,1,0,0,64,8,256,45922.800008815626
103,0,1,1,0,0,64,8,256,45922.800001690615
104,0,1,1,0,0,64,8,256,45922.79997082168
105,0,1,1,0,0,64,8,256,45922.799985663936
106,0,1,1,0,0,64,8,256,45922.79997089127
