Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0.9940467368731092
1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0.008915308627618992
2,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0.9950461059636264
3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.9960423707306317
4,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0.02880503564743169
5,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.9930423127754306
6,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0.003984335909634667
7,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0.9930415317018186
8,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0.0069815099971812485
9,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0.006991729218486396
10,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.006951532524686473
11,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0.006956527611568621
12,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0.9940247985188654
13,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0.023847117652392922
14,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0.0029862994197818954
15,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0.006955656357793852
16,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0.9920360500301377
17,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0.9960569506852481
18,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0.9940084402884866
19,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0.9930334990230907
20,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0.006943004446660343
21,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.006931452874698732
22,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0.002972057803076202
23,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.9950206055116257
24,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0.9920558080653261
25,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0.9970360016839924
26,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0.006949263407818632
27,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0.0069542346309014345
28,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0.9930380096249957
29,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0.01389014263766702
30,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0.01390488487572639
31,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.9930558825950471
32,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.010941137486638117
33,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0.9930478264263438
34,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0.998036023153551
35,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0.9980049786069312
36,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.0010087107759400437
37,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0.0069359380296462585
38,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0.9979979124870297
39,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0.9940418961754147
40,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0.9930612844240431
