Iteration,WindowSize,CompressionLevel,Performance
0,20,2,2.088
1,22,9,34.292
2,21,8,18.874
3,11,10,343.594
4,24,7,20.228
5,14,7,5.896
6,24,4,2.708
7,11,7,5.078
8,23,3,2.478
9,12,0,1.528
10,24,11,394.158
11,14,4,2.894
12,13,7,5.554
13,14,4,2.894
14,20,1,1.636
15,12,11,328.552
16,12,9,6.47
17,21,1,1.598
18,17,1,1.612
19,15,1,1.52
20,14,5,4.678
21,24,7,20.228
22,12,3,2.426
23,23,1,1.572
24,10,6,3.386
25,13,1,1.514
26,20,6,10.658
27,24,8,38.644
28,21,4,2.768
29,23,7,20.474
30,15,2,1.972
31,15,1,1.52
32,16,10,285.0
33,13,1,1.514
34,13,5,4.128
35,18,0,1.628
36,13,2,1.942
37,19,9,14.048
38,22,8,25.432
39,13,10,313.652
40,13,1,1.514
41,11,3,2.476
42,13,0,1.514
43,16,0,1.59
44,10,0,1.662
45,19,0,1.614
46,18,11,279.692
47,17,0,1.606
48,22,9,34.292
49,13,5,4.128
50,11,6,3.57
51,13,2,1.942
52,20,11,246.08
53,17,8,8.454
54,21,10,244.734
55,13,3,2.37
56,14,4,2.894
57,10,0,1.662
58,23,1,1.572
59,18,7,8.628
60,16,6,5.77
61,12,9,6.47
62,19,5,7.372
63,24,0,1.574
64,13,4,2.972
65,22,1,1.586
66,20,11,246.08
67,15,2,1.972
68,21,8,18.874
69,13,3,2.37
70,14,10,301.488
71,11,1,1.526
72,23,7,20.474
73,13,0,1.514
74,17,6,6.34
75,12,1,1.542
76,10,9,6.246
77,24,5,7.154
78,16,0,1.59
79,18,4,2.824
80,13,2,1.942
81,15,8,6.738
82,19,11,258.502
83,22,3,2.5
84,20,10,246.512
85,13,1,1.514
86,21,0,1.604
87,11,7,5.078
88,14,1,1.46
89,14,1,1.46
90,14,1,1.46
91,14,1,1.46
92,14,1,1.46
93,14,1,1.46
94,14,1,1.46
95,14,6,4.874
96,14,9,7.404
97,14,5,4.678
98,17,4,2.848
99,23,2,2.032
100,12,1,1.542
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,10,8,5.046
107,24,11,394.158
108,16,3,2.508
109,18,10,279.698
110,19,1,1.604
111,14,7,5.896
112,15,1,1.52
113,22,6,10.266
114,20,9,17.4
115,21,5,7.272
116,11,1,1.526
117,14,4,2.894
118,23,2,2.032
119,17,8,8.454
120,12,11,328.552
121,10,3,2.616
122,14,1,1.46
123,24,10,392.744
124,16,7,6.998
125,18,1,1.63
126,19,6,9.336
127,14,1,1.46
128,15,9,8.084
129,22,5,7.198
130,20,1,1.636
131,14,4,2.894
132,21,2,2.06
133,11,8,5.042
134,14,11,301.078
135,23,1,1.572
136,17,3,2.564
137,12,10,328.816
138,14,1,1.46
139,10,7,4.874
140,24,1,1.57
141,16,6,5.77
142,14,9,7.404
143,18,5,6.714
144,19,1,1.604
145,15,4,2.834
146,22,2,2.05
147,14,8,6.086
148,20,1,1.636
149,21,11,244.72
150,11,3,2.476
151,14,0,1.472
152,23,10,318.954
153,17,1,1.612
154,14,7,5.896
155,12,1,1.542
156,10,6,3.386
157,24,9,108.602
158,16,5,5.392
159,14,1,1.46
160,18,4,2.824
161,19,2,2.1
162,15,1,1.52
163,22,8,25.432
164,14,11,301.078
165,20,0,1.63
166,21,3,2.512
167,11,10,343.594
168,14,1,1.46
169,23,7,20.474
170,17,1,1.612
171,14,6,4.874
172,12,9,6.47
173,10,5,3.306
174,24,1,1.57
175,14,4,2.894
176,16,2,2.026
177,18,1,1.63
178,19,8,11.508
179,15,11,292.192
180,14,0,1.472
181,22,3,2.5
182,20,10,246.512
183,13,1,1.514
184,21,7,15.806
185,14,1,1.46
186,11,6,3.57
187,23,9,63.68
188,14,5,4.678
189,17,1,1.612
190,12,4,3.004
191,10,2,2.146
192,14,1,1.46
193,24,8,38.644
194,16,11,284.296
195,18,0,1.628
196,19,3,2.552
197,15,1,1.52
198,14,10,301.488
199,22,7,19.626
200,20,1,1.636
201,13,6,4.3
202,14,9,7.404
203,21,1,1.598
204,11,5,3.49
205,14,4,2.894
206,23,2,2.032
207,17,1,1.612
208,12,8,5.318
209,10,11,363.346
210,14,0,1.472
211,24,3,2.478
212,16,1,1.598
213,18,10,279.698
214,19,7,10.05
215,14,1,1.46
216,15,6,5.306
217,22,9,34.292
218,20,1,1.636
219,13,5,4.128
220,14,4,2.894
221,21,1,1.598
222,11,2,1.998
223,14,8,6.086
224,23,11,315.238
225,17,0,1.606
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,14,1,1.46
234,12,1,1.542
235,10,1,1.666
236,14,3,2.302
237,24,10,392.744
238,16,7,6.998
239,18,1,1.63
240,19,6,9.336
241,14,1,1.46
242,15,9,8.084
243,22,5,7.198
244,20,1,1.636
245,14,4,2.894
246,13,2,1.942
247,21,8,18.874
248,11,1,1.526
249,14,11,301.078
250,23,0,1.556
251,17,3,2.564
252,14,10,301.488
253,12,1,1.542
254,10,7,4.874
255,24,1,1.57
256,16,6,5.77
257,14,1,1.46
258,14,1,1.46
259,14,1,1.46
260,18,9,11.954
261,19,5,7.372
262,14,1,1.46
263,15,4,2.834
264,22,2,2.05
265,13,8,5.62
266,20,11,246.08
267,21,0,1.604
268,11,3,2.476
269,14,1,1.46
270,14,1,1.46
271,23,10,318.954
272,17,7,7.636
273,14,1,1.46
274,12,6,3.846
275,10,1,1.666
276,14,9,7.404
277,24,5,7.154
278,16,1,1.598
279,18,4,2.824
280,19,2,2.1
281,14,8,6.086
282,15,1,1.52
283,22,11,259.594
284,13,0,1.514
285,14,1,1.46
286,20,3,2.546
287,21,10,244.734
288,14,1,1.46
289,11,7,5.078
290,23,1,1.572
291,14,6,4.874
292,17,9,10.152
293,12,5,3.746
294,10,1,1.666
295,14,4,2.894
296,24,2,2.04
297,16,1,1.598
298,14,8,6.086
299,18,11,279.692
