Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,1,4,10,10,1,1,1000,1024,100,2,29,1.6552095618277788e-05
1,4,1,2,1000000,10,1,1,10,1024,100,5,0,3.872501472203624e-05
2,4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,1.806102759269829e-05
3,4,1,2,1000000,1,0,1,10,512,100,2,0,0.0032102523329104347
4,2,1,2,1000000,10,0,1,10,512,10000,2,0,1.0660385728052802e-05
5,2,10,4,10,1,0,1,10,1024,100,5,0,0.014947679535722116
6,2,10,2,10,10,1,1,10,512,10000,2,29,1.2944643275772957e-05
7,4,10,4,10,10,0,1,1000,1024,100,2,29,1.1695799912994779e-05
8,4,1,4,10,10,0,1,1000,1024,100,2,0,1.3540311633369821e-05
9,2,1,2,10,1,0,1,10,1024,10000,2,29,1.6133902681962665e-05
10,2,10,4,1000000,10,0,1,1000,512,100,2,29,2.5328156532896734e-05
11,2,10,4,10,10,1,1000,10,1024,100,5,29,0.3195517080107198
12,2,1,2,10,1,1,1,1000,512,100,2,0,1.936285602931532e-05
13,4,10,2,1000000,1,0,1000,10,512,10000,5,29,1.865020766477219e-05
14,4,10,4,1000000,1,1,1,1000,1024,100,5,29,1.1982943347899646e-05
15,2,10,2,1000000,1,1,1000,10,512,10000,5,0,1.359614005477441e-05
16,2,10,2,10,10,1,1000,10,1024,10000,2,29,2.828602040726132e-05
17,2,10,2,10,10,0,1,1000,1024,10000,5,29,0.13553745086744126
18,2,10,4,10,10,0,1000,10,512,10000,2,0,3.0368089809751525e-05
19,2,1,4,10,1,0,1000,10,1024,100,5,0,0.38281436842519345
20,4,10,2,1000000,10,0,1,1000,512,100,5,29,1.0635314454614883e-05
21,2,1,4,1000000,10,1,1,10,512,10000,2,29,8.626772278757628e-06
22,4,1,2,1000000,1,0,1,10,512,100,2,29,0.003296596215690046
23,2,1,2,1000000,10,1,1000,10,512,100,5,29,1.0557895660639513e-05
24,4,10,4,1000000,1,1,1,1000,1024,10000,2,0,0.0023298197178319244
25,2,1,4,10,1,1,1000,10,1024,10000,5,29,1.9463178811623164e-06
26,4,1,4,1000000,10,0,1000,10,512,10000,2,0,1.5060530397043966e-05
27,4,10,4,10,1,1,1000,10,1024,10000,2,0,1.0244425633624534e-05
28,4,1,2,10,1,0,1,10,512,10000,5,29,1.7068839618866017e-05
29,4,10,4,10,1,1,1000,1000,512,100,2,0,8.311591716690178e-06
30,4,10,4,10,1,0,1,1000,512,100,5,29,2.9988171087735313e-05
31,2,1,4,1000000,1,0,1,10,512,10000,5,0,7.226827523678091e-06
32,2,10,4,1000000,10,1,1000,1000,512,100,5,29,2.056962088686737e-06
33,4,10,4,10,10,1,1000,1000,512,100,5,0,3.699012208991272e-06
34,2,10,2,10,1,0,1000,10,512,10000,5,29,2.2056979983767716e-05
35,2,1,2,10,10,0,1,1000,512,100,5,0,3.514720288999055e-05
36,4,10,4,1000000,1,0,1000,1000,512,100,2,0,1.102720683155607e-05
37,4,1,4,10,1,1,1000,10,1024,10000,5,0,1.0450157085356346e-05
38,2,1,2,1000000,1,0,1,1000,1024,10000,5,29,2.9012404491743153e-05
39,2,1,2,10,10,0,1000,10,512,10000,5,29,1.0889278345218483e-05
40,2,10,4,1000000,1,0,1000,1000,512,10000,5,0,0.000962638997466492
41,2,10,4,10,1,1,1000,10,512,100,2,29,0.8981735608079194
42,2,1,2,1000000,10,0,1000,1000,512,100,2,29,1.392344042157921e-05
43,2,1,2,1000000,1,0,1000,10,1024,100,5,29,6.697491284127098e-05
44,2,10,4,10,10,0,1000,1000,512,10000,5,0,0.3333628018205971
45,2,10,2,10,10,1,1,10,1024,100,5,0,0.13532466046948977
46,2,10,4,10,1,0,1000,1000,1024,100,2,29,1.6050487253634217e-05
47,4,10,4,1000000,10,0,1,10,1024,10000,2,29,2.1165661204770863e-06
48,2,1,4,1000000,10,1,1000,10,1024,100,5,0,2.8772290545150264e-05
49,2,10,2,1000000,10,0,1,10,512,100,2,0,1.9988382285674788e-05
50,2,10,4,1000000,10,1,1000,1000,1024,100,5,0,9.271861800526883e-06
51,4,1,2,1000000,10,1,1,10,512,100,5,0,1.2297155182640451e-05
52,2,10,2,1000000,1,1,1000,1000,512,10000,2,0,0.000391455797155792
53,2,1,2,1000000,1,0,1,1000,512,10000,5,29,0.0008039308749892534
