Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,1,3,2,1,1,0,0,0,1,0,136.418
1,2,1,2,0,0,0,0,0,0,1,46.142
2,1,1,2,1,1,1,1,1,0,0,86.776
3,4,3,3,1,0,0,1,1,1,1,43.176
4,2,3,1,0,0,1,1,0,0,1,97.326
5,1,2,2,0,0,0,1,1,1,0,124.934
6,1,3,2,0,0,1,0,0,0,1,166.914
7,1,3,3,1,0,1,0,1,1,0,147.67
8,2,1,2,0,1,0,0,0,1,1,45.196
9,1,1,3,0,0,0,0,1,0,0,93.922
10,2,1,2,0,0,0,0,0,0,1,46.142
11,3,2,3,1,0,1,1,0,1,1,42.322
12,4,2,2,1,1,0,1,0,1,0,30.84
13,3,2,2,1,1,1,0,1,0,0,46.608
14,2,3,2,1,1,0,1,1,1,0,84.166
15,4,3,2,1,1,0,0,0,0,1,42.97
16,2,1,2,1,1,0,0,0,1,0,42.288
17,2,2,1,0,1,0,1,0,1,1,61.864
18,4,3,1,0,0,0,1,0,0,1,49.802
19,2,3,2,1,0,1,0,1,0,1,91.918
20,2,2,3,1,0,0,1,1,0,0,71.332
21,4,1,2,0,0,0,1,0,1,1,24.466
22,4,2,2,0,1,1,0,1,1,1,31.662
23,1,1,3,0,0,0,1,0,1,1,87.648
24,2,2,3,0,0,0,0,0,0,0,66.246
25,4,1,2,0,0,1,1,0,0,1,24.368
26,4,3,1,0,0,0,1,1,0,1,53.136
27,1,2,2,1,1,0,1,0,1,1,110.94
28,4,2,3,1,1,1,0,1,0,0,34.102
29,4,3,2,1,0,0,1,0,1,0,42.006
30,3,1,1,0,0,1,1,0,1,1,31.47
31,4,1,2,0,0,1,1,0,0,1,24.368
32,4,1,2,0,0,1,1,0,0,1,24.368
33,4,1,2,0,0,1,1,0,0,1,24.368
34,4,1,1,0,0,1,1,0,0,1,24.206
35,3,1,1,0,0,1,1,0,0,1,31.824
36,4,1,1,0,0,1,1,0,0,1,24.206
37,4,1,1,0,0,1,1,0,0,1,24.206
38,4,1,1,0,0,1,1,0,0,1,24.206
39,3,1,1,0,0,1,1,0,0,1,31.824
40,4,1,1,0,0,1,1,0,0,1,24.206
41,1,1,1,0,0,1,1,0,0,1,86.822
42,4,1,1,0,0,1,1,0,0,1,24.206
43,3,1,1,0,0,1,1,0,0,1,31.824
44,4,1,1,0,0,1,1,0,0,1,24.206
45,1,1,1,0,0,1,1,0,0,1,86.822
46,4,1,1,0,0,1,1,1,0,1,25.588
47,4,1,1,0,1,1,1,0,0,0,23.232
48,3,3,1,0,1,1,0,0,0,0,60.72
49,4,1,1,0,1,1,1,1,0,0,25.03
50,1,1,1,0,1,1,1,0,0,0,84.826
51,4,3,3,0,1,1,0,0,0,0,46.1
52,2,1,1,1,1,1,1,1,0,0,45.96
53,4,2,1,0,1,1,1,0,0,0,35.282
54,3,1,3,0,1,1,0,0,0,0,31.978
55,2,3,1,1,1,1,1,1,1,0,84.112
56,1,1,1,0,1,1,1,0,0,0,84.826
57,4,2,3,0,1,1,0,0,1,0,30.968
58,4,1,1,1,1,1,1,0,0,0,21.942
59,2,3,1,1,1,0,1,1,0,0,98.59
60,4,2,3,1,1,1,0,0,1,0,30.254
61,1,1,1,1,1,1,1,0,0,0,79.414
62,4,1,1,1,1,0,1,1,0,0,23.082
63,3,3,3,1,1,0,0,1,1,0,52.136
64,4,2,1,1,1,0,1,1,0,0,35.482
65,2,1,1,1,1,0,1,1,0,0,45.842
66,4,1,3,1,1,0,1,1,1,0,23.132
67,1,1,1,1,1,0,0,1,0,0,85.976
68,4,2,1,1,1,0,1,1,0,0,35.482
69,3,3,2,1,1,0,1,1,0,0,70.602
70,4,1,1,1,1,0,1,1,1,0,23.192
71,2,1,3,1,1,0,0,1,0,0,45.498
72,4,1,2,1,1,0,1,1,0,0,23.02
73,4,2,2,1,1,0,1,1,0,0,35.912
74,1,3,2,1,1,0,1,1,1,0,157.596
75,3,1,2,1,1,0,1,1,0,0,31.054
76,4,1,2,1,1,0,0,1,0,0,22.78
77,2,1,2,1,1,0,0,1,0,0,45.496
78,4,2,2,1,1,0,0,1,1,0,29.734
79,4,1,2,1,1,0,0,1,0,0,22.78
80,1,3,2,1,1,0,0,1,0,0,171.5
81,4,1,2,1,1,0,0,1,0,0,22.78
82,3,1,2,1,1,0,0,0,1,0,29.24
83,4,1,2,1,1,0,0,0,0,0,22.312
84,2,2,2,1,1,1,0,0,0,0,61.57
85,4,3,2,1,1,1,0,0,0,0,43.484
86,4,1,3,1,1,0,0,0,0,0,22.984
87,3,1,2,1,1,1,0,0,1,0,29.288
88,1,1,3,1,1,1,0,0,0,0,79.97
89,4,2,2,1,1,0,0,0,0,0,31.846
90,2,1,2,1,1,1,0,0,0,0,42.406
91,4,3,3,1,1,1,0,0,1,0,38.178
92,4,1,2,1,1,0,0,0,0,0,22.312
93,1,1,2,1,1,1,0,0,0,0,79.18
94,3,2,1,1,0,0,0,0,0,1,43.0
95,4,1,3,1,1,1,0,0,1,0,23.35
96,2,3,1,1,1,1,0,0,0,0,82.598
97,4,1,2,1,0,0,0,0,0,1,22.878
98,4,1,1,1,1,1,0,0,0,0,21.678
99,1,2,1,1,1,1,1,0,1,0,110.004
100,3,1,1,1,0,1,1,0,0,1,29.714
101,4,1,1,1,1,1,0,0,0,0,21.678
102,4,1,1,1,1,1,0,0,0,0,21.678
103,4,1,1,1,1,1,0,0,0,0,21.678
104,4,1,1,1,1,1,0,0,0,0,21.678
105,4,1,1,1,1,1,0,0,0,0,21.678
106,4,1,1,1,1,1,0,0,0,0,21.678
107,4,1,1,1,1,1,0,0,0,0,21.678
108,4,1,1,1,1,1,0,0,0,0,21.678
109,4,1,1,1,1,1,0,0,0,0,21.678
110,4,1,1,1,1,1,0,0,0,0,21.678
111,4,1,1,1,1,1,0,0,0,0,21.678
112,4,1,1,1,1,1,0,0,0,0,21.678
113,4,1,1,1,1,1,0,0,0,0,21.678
114,2,3,1,1,1,1,0,0,0,0,82.598
115,4,1,1,1,1,1,0,0,0,0,21.678
116,4,1,1,1,1,1,0,0,0,0,21.678
117,1,1,1,1,1,1,0,0,0,0,78.416
118,3,2,1,1,0,1,0,0,0,1,42.802
119,4,3,1,1,1,1,0,0,1,0,36.996
120,4,1,1,1,1,1,0,0,0,0,21.678
121,2,1,1,1,1,1,0,0,0,0,41.818
122,4,1,1,1,1,1,0,0,0,0,21.678
123,1,1,1,1,0,1,0,0,0,1,80.612
124,4,2,3,1,1,1,0,0,1,0,30.254
125,3,3,1,0,1,1,0,0,0,0,60.72
126,4,1,1,1,1,1,0,0,0,0,21.678
127,2,1,1,1,1,1,0,0,0,1,41.828
128,4,1,3,1,0,1,0,0,1,0,23.552
129,4,2,1,0,1,1,0,0,0,0,33.598
130,1,1,1,1,1,1,0,0,0,0,78.416
131,3,3,1,1,1,1,0,0,0,0,57.912
132,4,1,1,1,0,1,0,0,0,1,22.172
133,4,1,3,1,1,1,0,0,1,0,23.35
134,2,1,1,0,1,1,0,0,0,0,44.58
135,4,2,1,1,1,1,0,0,0,0,31.516
136,4,1,1,1,1,1,0,0,0,0,21.678
137,1,3,3,1,0,1,0,0,0,1,158.828
138,3,1,1,0,1,1,0,0,1,0,30.672
139,4,1,1,1,1,1,0,0,0,0,21.678
140,4,1,1,1,1,1,0,0,0,0,21.678
141,2,2,1,1,1,1,0,0,0,0,60.89
142,4,1,3,1,0,1,0,0,0,1,23.586
143,4,3,1,0,1,1,0,0,1,0,38.288
144,1,1,1,1,1,1,0,0,0,0,78.416
145,3,1,1,1,1,1,0,1,0,0,30.86
146,4,1,1,1,1,1,0,0,0,0,21.678
147,4,2,3,1,0,1,0,0,0,1,33.26
148,2,1,1,0,1,1,0,0,1,0,44.928
149,4,3,1,1,1,1,0,0,0,0,42.882
150,4,1,1,1,1,1,0,1,0,0,23.666
151,1,1,1,1,1,1,0,0,0,0,78.416
152,4,1,3,1,0,1,0,0,0,1,23.586
153,3,2,1,0,1,1,0,0,1,0,39.642
154,4,1,1,1,1,1,0,1,0,0,23.666
155,2,3,1,1,1,1,0,0,0,0,82.598
156,4,1,1,1,1,1,0,0,0,0,21.678
157,4,1,3,1,1,1,0,0,0,1,23.204
158,1,1,1,0,0,1,0,0,1,0,85.616
159,4,2,1,1,1,1,0,1,0,0,34.218
160,3,1,1,1,1,1,0,0,0,0,29.01
161,4,3,1,1,1,1,0,0,0,0,42.882
162,4,1,3,1,1,1,0,0,0,1,23.204
163,2,1,1,0,0,1,0,0,1,0,45.472
164,4,1,1,1,1,0,1,1,0,0,23.082
165,1,2,1,1,1,1,0,0,0,0,114.682
166,4,1,2,1,1,1,0,0,0,0,22.626
167,3,3,1,1,1,1,0,0,0,1,57.664
168,4,1,3,0,0,1,0,0,1,0,24.878
169,4,1,1,1,1,0,1,1,0,0,23.082
170,2,1,1,1,1,1,0,0,0,0,41.818
171,4,2,1,1,1,1,0,0,0,0,31.516
172,1,1,2,1,1,1,0,0,0,1,79.066
173,4,3,1,0,0,0,1,0,1,0,42.788
174,3,1,3,1,1,1,0,1,0,0,30.756
175,4,1,1,1,1,1,0,0,0,0,21.678
176,4,1,1,1,1,1,0,0,0,0,21.678
177,2,2,2,1,1,1,0,0,0,1,61.51
178,4,1,1,0,0,0,1,0,1,0,23.776
179,1,1,1,1,1,1,0,1,0,0,86.362
180,4,3,1,1,1,1,0,0,0,0,42.882
181,3,1,3,1,1,1,0,0,0,0,30.26
182,4,1,1,1,1,1,0,0,0,1,21.65
183,4,1,2,1,0,0,1,0,0,1,23.114
184,2,2,1,0,1,1,0,1,1,1,62.36
185,4,1,1,1,1,1,0,0,0,1,21.65
186,4,3,1,1,1,1,0,0,0,1,42.476
187,1,1,3,1,1,1,0,0,0,1,79.554
188,3,1,1,1,0,0,1,0,0,1,29.762
189,4,1,2,0,1,1,0,1,1,1,24.768
190,4,2,1,1,1,1,0,0,0,1,31.152
191,2,1,1,1,1,1,0,0,0,1,41.828
192,4,3,1,1,1,1,0,0,0,1,42.476
193,4,1,3,1,0,0,1,0,0,1,24.194
194,1,1,1,0,1,1,0,1,1,1,93.292
195,4,1,2,1,1,1,0,0,0,1,22.476
196,3,2,1,1,1,1,0,0,0,1,42.32
197,4,1,1,1,1,1,0,0,0,1,21.65
198,4,3,1,1,1,0,1,0,0,1,46.604
199,2,1,1,0,0,1,0,0,1,1,45.644
200,4,1,3,1,1,1,0,1,0,1,23.056
201,1,1,1,1,1,1,0,0,0,1,78.57
202,4,2,2,1,1,1,0,0,0,1,31.92
203,3,1,1,1,1,0,1,0,0,1,29.104
204,4,1,1,1,0,1,0,0,0,1,22.172
205,4,3,1,0,1,1,0,1,1,1,40.828
206,2,1,3,1,1,1,0,0,0,1,42.72
207,4,1,1,1,1,1,0,0,0,1,21.65
208,4,1,2,1,1,0,1,0,0,1,22.486
209,1,2,1,1,0,1,0,0,0,1,116.648
210,3,1,1,0,1,1,0,1,1,1,33.254
211,4,3,1,1,1,1,0,0,0,1,42.476
212,4,1,3,1,1,1,0,0,0,1,23.204
213,2,1,1,1,1,0,1,0,0,1,42.362
214,4,1,2,1,0,1,0,0,0,1,23.106
215,4,2,1,0,1,1,0,1,1,1,31.642
216,1,1,1,1,1,1,0,0,0,1,78.57
217,3,3,1,1,1,1,0,0,0,1,57.664
218,4,1,3,1,1,1,1,0,0,1,23.334
219,4,1,1,1,0,0,0,0,0,1,22.254
220,2,1,2,0,1,1,0,1,1,1,49.102
221,4,2,1,1,1,1,0,0,0,1,31.152
222,4,1,1,1,1,1,0,0,0,1,21.65
223,1,3,1,1,1,1,0,0,0,1,156.172
224,3,1,3,1,0,0,1,0,0,1,31.112
225,4,1,1,0,1,1,0,1,1,1,24.708
226,4,1,1,1,1,1,0,0,0,1,21.65
227,4,1,1,1,1,1,0,0,0,1,21.65
228,4,1,1,1,1,1,0,0,0,1,21.65
229,4,1,1,1,1,1,0,0,0,1,21.65
230,4,1,1,1,1,1,0,0,0,1,21.65
231,4,1,1,1,1,1,0,0,0,1,21.65
232,4,1,1,1,1,1,0,0,0,1,21.65
233,4,1,1,1,1,1,0,0,0,1,21.65
234,4,1,1,1,1,1,0,0,0,1,21.65
235,4,1,1,1,1,1,0,0,0,1,21.65
236,4,1,1,1,1,1,0,0,0,1,21.65
237,4,1,1,1,1,1,0,0,0,1,21.65
238,4,1,1,1,1,1,0,0,0,1,21.65
239,4,1,1,1,1,1,0,0,0,1,21.65
240,4,1,1,1,1,1,0,0,0,1,21.65
241,4,1,1,1,1,1,0,0,0,1,21.65
242,4,1,1,1,1,1,0,0,0,1,21.65
243,4,1,1,1,1,1,0,0,0,1,21.65
244,4,1,1,1,1,1,0,0,0,1,21.65
245,4,1,1,1,1,1,0,0,0,1,21.65
246,2,1,1,1,1,1,0,0,0,1,41.828
247,4,1,2,1,1,1,0,0,0,1,22.476
248,4,2,1,1,1,1,0,0,0,1,31.152
249,1,1,1,1,1,1,0,0,0,1,78.57
250,3,3,1,1,1,1,0,0,0,1,57.664
251,4,1,3,1,1,1,0,0,0,1,23.204
252,4,1,1,1,1,1,0,0,0,1,21.65
253,2,1,1,1,1,0,1,0,0,1,42.362
254,4,2,2,1,0,1,0,0,0,1,32.476
255,4,1,1,0,1,1,0,1,1,1,24.708
256,1,1,1,1,1,1,0,0,0,1,78.57
257,4,3,1,1,1,1,0,0,0,1,42.476
258,3,1,3,1,1,1,0,0,0,1,29.688
