Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0.9940354686026188
1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0.9950398355294311
2,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0.9940237992650447
3,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0.009937423970843
4,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0.006957355391480758
5,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0.0188800663488618
6,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0.018857311501909675
7,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0.994049973895098
8,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0.013905745632764376
9,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0.010918506991994056
10,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0.9950745324714004
11,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0.9940261767060031
12,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0.9920501426089257
13,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0.9940524087968349
14,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0.9940546723183106
15,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0.9940375293164297
16,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0.028792918495730457
17,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0.9940369209119417
18,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0.9930579358441983
19,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0.006939269275497669
20,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0.01389469476293241
21,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.005949075291119177
22,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0.02481460526408137
23,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0.0029801204649215493
24,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0.9930552190038554
25,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.011928719162336492
26,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0.010914621082866446
27,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0.9970288019163167
28,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0.0029605237306803943
29,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.016888469002069872
30,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0.028791580946729938
31,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0.0019725663119170072
32,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0.9940339379193148
33,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0.018872611180817605
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009934583833818645
35,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0.9940413056774933
36,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.010949675870806762
37,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0.020863351175795717
38,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0.9940717743543075
39,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0.9920575161711243
40,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.9920784492137356
41,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0.014890428045418982
42,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0.003982442183270559
43,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0.017870826331218264
44,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0.008919403809938905
45,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.002973278730334379
46,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0.0069605610740599245
47,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.002977105495393035
48,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.9940491361465907
