Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,10,4,10,10,1,1,10,1024,100,5,0,0.13255984936859977
1,4,10,4,1000000,10,0,1,10,1024,10000,2,0,1.363407155891553e-05
2,4,1,2,10,1,1,1000,10,1024,100,5,29,0.21584743849958224
3,2,10,2,1000000,1,1,1000,1000,512,100,2,0,1.4599583429108799e-05
4,4,10,2,10,1,0,1,1000,1024,10000,5,0,0.014107405816827578
5,2,1,4,1000000,10,0,1000,10,1024,10000,2,29,4.27777926977403e-05
6,4,1,2,10,10,0,1000,1000,512,100,2,29,3.0112814728671625e-05
7,4,1,2,1000000,1,1,1000,10,512,100,5,0,0.00012289688544676164
8,2,1,4,1000000,1,0,1000,1000,512,10000,5,29,1.4395041081939405e-05
9,4,10,4,10,1,1,1,1000,512,100,2,0,1.210939480728654e-05
10,2,1,4,1000000,10,0,1000,1000,512,100,5,29,1.3959178317844017e-06
11,2,10,2,1000000,1,1,1,1000,512,10000,5,0,0.001034758865904412
12,4,10,4,10,10,0,1,1000,1024,100,5,29,2.1904679905692635e-05
13,4,10,2,10,1,0,1,1000,1024,10000,2,29,0.014841162076258917
14,2,1,2,10,1,0,1,10,512,10000,2,0,9.513014812881348e-06
15,2,1,2,1000000,10,1,1000,1000,1024,100,5,0,1.981681206045471e-05
16,2,1,2,10,10,0,1,10,512,10000,5,29,7.813959323019736e-06
17,4,10,4,10,1,0,1000,10,512,100,5,29,0.2132259855994798
18,2,10,4,10,1,1,1000,1000,512,100,5,29,2.884372815627349e-05
19,2,1,4,1000000,1,0,1000,10,1024,10000,2,29,2.2800355074760242e-05
20,2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,1.2120256140165326e-05
21,2,10,2,1000000,1,1,1000,10,512,100,5,29,1.5216491157881654e-05
22,4,10,2,10,1,1,1,1000,1024,100,5,29,2.8386594521217483e-05
23,4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.0030739609166343636
24,4,1,4,1000000,1,1,1000,10,1024,100,5,0,0.00013092404541779085
25,2,10,2,1000000,10,0,1,10,512,10000,2,29,1.472962192269721e-05
26,4,1,2,10,10,0,1000,10,512,100,5,29,0.20913752537762687
27,2,1,2,1000000,1,0,1,10,512,10000,2,29,3.354230015259203e-05
28,4,10,4,1000000,10,0,1000,10,512,10000,2,0,7.161490758048476e-06
29,4,1,2,1000000,1,0,1000,1000,512,10000,5,0,2.8458557675064166e-05
30,2,1,2,10,1,1,1,10,512,100,2,29,0.015230340618407176
31,4,10,2,10,1,1,1000,10,1024,100,5,0,0.2053744835979045
32,4,1,4,10,1,0,1000,10,512,100,5,0,0.23744208571373332
33,2,10,4,1000000,10,1,1,10,512,10000,2,29,3.484111627796063e-05
34,4,10,4,1000000,1,1,1,10,1024,10000,2,0,4.072200686204477e-05
35,2,1,4,1000000,1,1,1000,1000,1024,100,2,0,2.3414394014725364e-05
36,2,10,4,10,1,1,1000,1000,1024,10000,2,29,0.9062525301815425
37,4,1,2,10,1,0,1000,10,1024,10000,2,29,5.983527847904749e-06
38,2,10,2,10,1,0,1,1000,512,10000,5,0,0.014657315855699748
39,2,10,2,1000000,10,1,1,1000,1024,100,5,0,2.07059303764814e-05
40,4,10,2,1000000,1,1,1000,1000,1024,10000,2,29,0.0
41,2,10,2,10,10,0,1,1000,512,100,2,29,3.604297999905165e-05
