Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,1,4,10,1,1,1,10,1024,100,2,0,0.0148341748797093
1,4,10,2,10,1,1,1,10,512,100,2,29,0.01456173178425671
2,2,1,2,10,10,0,1000,10,512,100,2,0,0.4353374143336703
3,2,10,2,10,10,0,1,10,1024,100,5,0,0.13451296879541125
4,4,10,4,1000000,10,1,1000,10,512,100,2,29,0.00022511482224622635
5,4,1,4,10,1,1,1,10,512,10000,5,29,1.7783957403604796e-05
6,4,1,4,1000000,10,1,1000,1000,512,10000,2,29,0.0012295252276933912
7,2,1,2,1000000,10,1,1,10,512,100,5,29,8.529504938369079e-06
8,4,10,2,10,10,0,1000,1000,512,100,2,0,2.2299839663592275e-05
9,2,10,4,1000000,10,0,1,1000,1024,100,2,29,1.767511265424882e-05
10,4,1,4,10,1,0,1000,1000,1024,100,2,0,1.1516109134691421e-05
11,2,1,4,10,1,0,1,10,1024,100,2,0,0.014867718246162415
12,2,10,2,10,10,1,1000,10,512,100,5,0,0.31203845437637284
13,4,10,4,1000000,10,1,1000,10,1024,100,5,0,2.8411834606466897e-05
14,2,1,4,10,10,1,1,1000,512,100,2,0,1.047655189278566e-05
15,4,10,2,10,1,1,1,10,1024,100,5,0,0.014576737498907066
16,2,1,4,10,10,0,1,1000,512,100,5,0,2.2093759268381515e-05
17,4,1,2,1000000,1,0,1000,10,1024,100,2,0,5.019136060871651e-05
18,2,10,2,1000000,1,1,1,10,512,10000,5,0,1.4514668310449108e-05
19,2,1,2,1000000,10,0,1,10,1024,10000,2,29,5.232618141219683e-06
20,4,10,4,10,10,1,1,1000,1024,100,2,0,1.720616233652455e-05
21,2,10,2,10,10,1,1000,1000,512,10000,5,29,0.28057597095696574
22,4,10,4,1000000,1,1,1,1000,512,100,5,29,3.1650516501661756e-05
23,4,1,4,1000000,10,1,1000,1000,512,10000,2,0,0.0002251008688448939
24,2,1,2,10,10,0,1,1000,512,100,5,0,2.453737886093695e-05
25,4,10,4,10,10,1,1,10,1024,10000,5,29,1.2172721424974524e-05
26,2,10,2,10,1,0,1000,10,1024,100,5,29,0.27670298101170654
27,4,10,2,1000000,10,0,1,10,512,10000,5,0,1.7942839700992714e-06
28,2,1,4,1000000,1,0,1,1000,1024,100,5,0,9.413568308719343e-06
29,2,1,4,10,10,1,1000,1000,1024,10000,2,0,0.7861408282229841
30,2,10,2,10,1,1,1000,1000,1024,100,5,29,7.778247992132183e-06
31,4,1,2,10,10,0,1,10,512,10000,2,0,1.7059599954084833e-05
32,2,1,2,1000000,10,1,1,1000,512,100,2,0,1.3593603247787135e-06
33,2,1,4,1000000,1,0,1,10,512,100,5,0,0.0007368953203435165
34,4,1,2,1000000,1,0,1000,10,1024,100,2,0,5.8666008831946795e-05
35,2,1,4,1000000,10,1,1000,1000,1024,100,2,0,2.136354807610059e-06
36,2,1,4,1000000,1,1,1,1000,512,10000,2,0,0.0013746258888249305
37,4,10,4,1000000,10,1,1,10,1024,100,5,0,7.845146016992158e-06
38,4,1,2,1000000,1,1,1000,10,512,100,2,29,9.90948601456594e-06
39,4,1,2,1000000,10,0,1000,1000,512,100,2,0,8.640777945275968e-06
