Iteration,new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,1,2,1,0,0,1,1,1,0,0,141.56
1,4,2,3,0,1,1,1,0,1,0,32.75
2,2,2,3,1,1,1,0,0,1,1,55.59
3,1,3,3,0,0,1,1,1,0,0,194.686
4,3,3,2,1,1,1,0,1,1,0,52.074
5,3,2,2,0,0,0,1,1,0,1,53.99
6,1,1,1,0,1,0,1,0,1,1,84.826
7,3,3,1,1,1,1,1,0,1,1,56.06
8,1,1,2,1,1,1,1,0,0,0,80.118
9,1,2,2,0,1,0,1,1,1,1,124.732
10,1,1,3,1,0,1,1,1,0,0,88.836
11,1,1,1,0,1,0,0,0,0,0,84.07
12,3,2,3,0,1,0,0,0,1,0,40.586
13,4,3,2,0,1,1,1,0,1,0,42.996
14,4,2,1,0,0,0,1,0,1,1,31.816
15,3,2,1,0,0,0,1,0,1,1,43.438
16,4,3,1,1,1,1,0,1,1,0,38.922
17,1,1,3,0,1,0,1,0,1,0,85.952
18,3,3,1,0,1,0,0,0,0,0,60.504
19,3,1,3,1,0,0,1,0,1,1,30.822
20,3,1,3,0,0,1,0,0,1,0,32.492
21,2,2,2,1,1,0,1,1,1,1,62.596
22,4,1,1,0,1,1,1,0,0,0,23.232
23,3,2,1,1,0,0,0,0,1,1,38.016
24,1,1,2,0,1,1,1,1,1,0,93.486
25,3,2,2,0,1,0,1,1,0,0,53.476
26,4,3,1,1,1,0,0,0,0,0,42.47
27,1,2,2,1,1,1,1,0,0,0,122.942
28,1,1,2,0,0,0,1,1,1,1,95.364
29,3,2,3,1,0,0,1,1,1,1,43.858
30,4,1,3,1,0,1,1,0,0,1,23.896
31,4,1,3,1,0,1,1,0,0,1,23.896
32,4,1,3,1,0,1,1,0,0,1,23.896
33,4,1,1,1,0,1,1,0,0,1,22.496
34,2,1,1,1,0,1,1,0,0,1,43.496
35,4,1,1,0,0,1,1,0,0,0,24.072
36,4,1,1,1,0,1,1,0,0,1,22.496
37,2,1,1,1,0,1,1,0,0,1,43.496
38,4,1,1,1,0,1,1,0,0,1,22.496
39,4,1,1,1,0,1,1,0,0,1,22.496
40,4,1,1,1,0,1,1,0,0,1,22.496
41,2,3,1,1,0,1,0,0,0,1,83.504
42,4,1,1,1,0,1,1,0,0,1,22.496
43,4,1,1,1,0,1,1,0,0,1,22.496
44,4,3,1,1,0,1,0,0,0,1,42.946
45,2,1,1,1,0,1,1,1,0,1,47.396
46,4,1,1,1,0,1,1,0,0,1,22.496
47,4,1,1,1,0,1,1,0,0,1,22.496
48,4,3,1,1,0,1,0,0,0,1,42.946
49,4,1,1,1,0,1,1,1,0,1,24.092
50,2,1,1,1,0,1,1,0,0,1,43.496
51,4,3,2,1,0,1,0,0,0,1,43.546
52,4,1,1,1,0,1,1,1,0,1,24.092
53,1,1,1,1,0,1,1,0,0,1,81.904
54,4,2,2,1,0,1,0,0,0,1,32.476
55,2,3,3,1,0,1,1,0,0,1,93.232
56,4,1,1,1,0,1,1,1,0,1,24.092
57,1,2,1,0,1,1,1,0,0,1,129.562
58,3,1,2,1,0,0,0,0,1,1,30.076
59,4,1,3,1,0,1,1,1,0,0,23.672
60,1,3,1,0,1,0,1,0,1,1,155.402
61,3,2,1,1,0,1,1,0,0,0,47.484
62,4,1,2,1,1,1,0,0,0,1,22.476
63,2,1,2,0,1,0,0,1,1,1,49.506
64,4,2,2,1,1,1,0,0,0,0,32.114
65,3,1,2,1,1,1,0,0,0,1,29.312
66,1,3,2,0,1,0,0,1,1,1,153.088
67,4,1,2,1,1,1,0,0,0,0,22.626
68,4,1,2,1,1,1,0,0,0,1,22.476
69,2,2,2,0,1,0,0,0,1,1,57.944
70,4,1,2,1,1,1,0,0,0,0,22.626
71,3,1,2,1,1,1,0,1,0,1,31.134
72,1,3,2,1,1,1,0,0,0,1,156.664
73,4,1,2,0,1,0,0,0,1,1,23.884
74,4,2,2,1,1,1,0,0,0,0,32.114
75,4,1,2,1,1,1,0,1,0,1,23.39
76,2,1,2,1,1,0,0,0,0,1,42.21
77,3,3,2,0,1,1,0,0,1,1,51.492
78,4,1,2,1,1,1,0,0,0,0,22.626
79,1,2,3,1,1,1,0,0,0,1,115.692
80,4,1,2,1,1,1,0,1,0,1,23.39
81,4,1,2,0,1,0,0,0,1,1,23.884
82,2,1,3,1,1,1,0,0,0,0,42.906
83,3,3,2,1,1,1,0,0,0,1,58.122
84,4,1,2,1,1,1,0,1,0,1,23.39
85,4,2,2,0,1,0,0,0,1,1,30.228
86,1,1,3,1,1,1,0,0,0,0,79.97
87,4,1,2,1,1,1,0,0,0,1,22.476
88,2,3,2,1,1,1,0,1,0,1,90.858
89,4,1,3,1,1,1,0,0,0,1,23.204
90,3,2,2,0,1,0,0,0,1,1,39.858
91,4,1,2,1,1,1,0,0,0,0,22.626
92,1,1,2,1,1,1,0,1,0,1,86.594
93,4,3,3,1,1,1,0,0,0,1,43.672
94,2,1,2,0,1,0,0,0,1,1,45.196
95,4,2,2,1,1,1,0,0,0,0,32.114
96,3,1,3,1,1,1,0,1,0,1,31.054
97,4,1,2,1,1,1,0,0,0,1,22.476
98,1,3,2,0,1,0,0,0,1,1,141.614
99,4,1,2,1,1,1,0,0,0,0,22.626
100,2,2,3,1,1,1,0,1,0,1,67.028
101,4,1,2,1,1,1,0,0,0,1,22.476
102,4,1,2,1,1,1,0,0,0,1,22.476
103,4,1,2,1,1,1,0,0,0,1,22.476
104,4,1,2,1,1,1,0,0,0,1,22.476
105,4,1,2,1,1,1,0,0,0,1,22.476
106,4,1,2,1,1,1,0,0,0,1,22.476
107,4,1,2,1,1,1,0,0,0,1,22.476
108,4,1,2,1,1,1,0,0,0,1,22.476
109,4,1,2,1,1,1,0,0,0,1,22.476
110,4,1,2,1,1,1,0,0,0,1,22.476
111,4,1,2,1,1,1,0,0,0,1,22.476
112,4,1,2,1,1,1,0,0,0,1,22.476
113,3,1,2,1,1,1,0,0,0,1,29.312
114,4,1,2,1,1,1,0,0,0,1,22.476
115,1,1,2,1,1,1,0,0,0,1,79.066
116,4,3,2,1,1,1,0,0,0,1,43.208
117,4,1,3,1,1,1,0,0,0,1,23.204
118,2,1,2,0,1,0,0,0,1,1,45.196
119,4,2,2,1,1,1,0,0,0,0,32.114
120,3,1,2,1,1,1,0,1,0,1,31.134
121,4,1,2,1,1,1,0,0,0,1,22.476
122,1,3,3,0,1,0,0,0,1,1,142.084
123,4,1,2,1,1,1,0,0,0,0,22.626
124,4,2,2,1,1,1,0,0,0,1,31.92
125,2,1,2,1,1,1,0,1,0,1,46.092
126,3,1,2,1,1,1,0,0,0,1,29.312
127,4,3,3,0,1,0,0,0,1,1,39.512
128,4,1,2,1,1,1,0,0,0,0,22.626
129,1,1,2,1,1,1,0,1,0,1,86.594
130,4,2,2,1,1,1,0,0,0,1,31.92
131,2,1,3,0,1,0,1,0,1,1,46.298
132,4,1,2,1,0,1,0,0,0,0,23.2
133,3,3,1,1,1,1,0,0,0,1,57.664
134,4,1,2,1,1,1,0,1,0,1,23.39
135,1,1,2,1,1,1,1,0,0,1,80.34
136,4,2,2,0,0,0,0,0,1,1,30.354
137,4,1,1,1,1,1,0,0,0,0,21.678
138,2,1,1,1,1,1,0,0,0,0,41.818
139,4,3,1,1,1,1,1,1,0,0,50.016
140,3,1,1,1,1,1,0,0,0,0,29.01
141,4,1,1,0,0,0,0,0,1,0,23.526
142,1,2,1,1,1,1,0,0,0,0,114.682
143,4,1,1,1,1,1,0,0,0,0,21.678
144,4,1,1,1,1,1,1,1,0,0,23.178
145,2,3,1,1,0,1,0,0,0,0,83.836
146,4,1,1,0,1,0,0,0,1,0,23.434
147,4,1,1,1,1,1,0,0,0,0,21.678
148,3,2,1,1,1,1,0,0,0,0,42.55
149,4,1,1,1,1,1,1,1,0,0,23.178
150,1,1,1,1,0,1,0,0,0,0,80.57
151,4,1,1,1,1,1,0,0,0,0,21.678
152,4,3,1,0,1,0,0,0,1,0,38.51
153,2,1,1,1,1,1,0,0,0,0,41.818
154,4,2,1,1,1,1,1,1,0,0,35.556
155,3,1,1,1,0,1,0,0,0,0,29.586
156,4,1,1,1,1,1,0,0,0,0,21.678
157,1,1,1,0,1,0,0,0,1,0,83.834
158,4,3,1,1,1,1,0,0,0,0,42.882
159,4,1,1,1,1,1,1,0,0,0,21.942
160,2,1,1,1,0,1,0,1,0,0,46.578
161,4,2,1,1,1,1,0,0,0,0,31.516
162,3,1,1,0,1,0,0,0,1,0,30.528
163,4,1,1,1,1,1,0,0,0,0,21.678
164,4,3,1,1,1,1,1,0,0,0,46.726
165,1,1,1,1,1,1,0,1,0,0,86.362
166,4,1,1,1,0,1,0,0,0,0,22.142
167,2,2,1,0,1,0,0,0,0,0,64.352
168,4,1,1,1,1,1,0,0,1,0,21.698
169,4,1,1,1,1,1,1,0,0,0,21.942
170,3,3,1,1,1,1,0,1,0,0,63.74
171,4,1,1,1,0,1,0,0,0,0,22.142
172,1,1,1,1,1,0,0,0,0,0,78.16
173,4,2,1,0,1,1,0,0,1,0,29.516
174,2,1,3,1,1,1,0,0,0,0,42.906
175,4,1,1,1,1,1,1,1,0,0,23.178
176,4,3,1,1,0,1,0,0,0,0,43.144
177,3,1,1,1,1,1,0,0,0,0,29.01
178,4,1,1,0,1,0,0,0,1,0,23.434
179,1,2,3,1,1,1,0,0,0,0,115.71
180,4,1,1,1,1,1,1,1,0,0,23.178
181,4,1,1,1,0,1,0,0,0,0,22.142
182,2,3,1,1,1,1,0,0,0,0,82.598
183,4,1,3,0,1,0,0,0,1,0,24.794
184,3,1,1,1,1,1,0,0,0,0,29.01
185,4,2,1,1,1,1,1,1,0,0,35.556
186,1,1,1,1,0,1,0,0,0,0,80.57
187,4,1,1,1,1,1,0,0,0,0,21.678
188,4,3,3,0,1,0,0,0,1,0,39.904
189,2,1,1,1,1,1,0,0,0,0,41.818
190,4,1,1,1,1,1,1,1,0,0,23.178
191,3,2,1,1,0,1,0,0,0,0,43.066
192,4,1,1,1,1,1,0,0,0,0,21.678
193,1,1,3,0,1,0,0,0,1,0,85.216
194,4,1,1,1,1,1,0,0,0,0,21.678
195,4,3,1,1,1,1,1,1,0,0,50.016
196,2,1,1,1,0,1,0,0,0,0,42.878
197,4,1,1,1,1,1,0,0,0,0,21.678
198,3,2,3,0,1,0,0,0,1,0,40.586
199,4,1,1,1,1,1,0,0,0,0,21.678
200,1,1,1,1,1,1,1,0,0,0,79.414
201,4,3,1,1,1,1,0,1,0,0,46.374
202,4,1,1,1,0,1,0,0,0,0,22.142
203,2,1,3,0,1,0,0,0,1,0,45.766
204,4,2,1,1,1,1,0,0,0,0,31.516
205,3,1,1,1,1,1,1,0,0,0,29.174
206,4,1,1,1,1,1,0,1,0,0,23.666
207,1,3,1,1,0,1,0,0,0,0,158.204
208,4,1,3,0,1,0,0,0,1,0,24.794
209,4,1,1,1,1,1,0,0,0,0,21.678
210,2,2,1,1,1,1,1,0,0,0,65.406
211,4,1,1,1,1,1,0,1,0,0,23.666
212,3,1,1,1,0,1,0,0,0,0,29.586
213,4,3,3,0,1,0,0,0,1,0,39.904
214,4,1,1,1,1,1,0,0,0,0,21.678
215,1,1,1,1,1,1,1,0,0,0,79.414
216,4,2,1,1,1,1,0,1,0,0,34.218
217,2,1,1,1,0,1,0,0,0,0,42.878
218,4,1,3,0,1,0,0,0,1,0,24.794
219,4,3,1,1,1,1,0,0,0,0,42.882
220,3,1,1,1,1,1,1,0,0,0,29.174
221,4,1,1,1,1,1,0,1,0,0,23.666
222,1,2,1,1,0,1,0,0,0,0,116.326
223,4,1,3,0,1,0,0,0,0,0,24.77
224,2,1,1,1,1,1,0,0,1,0,41.828
225,4,3,1,1,1,1,1,0,0,0,46.726
226,4,1,1,1,1,1,0,0,0,0,21.678
227,4,1,1,1,1,1,0,0,0,0,21.678
228,4,1,1,1,1,1,0,0,0,0,21.678
229,4,1,1,1,1,1,0,0,0,0,21.678
230,4,1,1,1,1,1,0,0,0,0,21.678
231,4,1,1,1,1,1,0,0,0,0,21.678
232,4,1,1,1,1,1,0,0,0,0,21.678
233,4,1,1,1,1,1,0,0,0,0,21.678
234,4,1,1,1,1,1,0,0,0,0,21.678
235,4,1,1,1,1,1,0,0,0,0,21.678
236,4,1,1,1,1,1,0,0,0,0,21.678
237,4,1,1,1,1,1,0,0,0,0,21.678
238,4,1,1,1,1,1,0,0,0,0,21.678
239,4,1,1,1,1,1,0,0,0,0,21.678
240,4,1,1,1,1,1,0,0,0,0,21.678
241,4,1,1,1,1,1,0,0,0,0,21.678
242,4,1,1,1,1,1,0,0,0,0,21.678
243,4,1,1,1,1,1,0,0,0,0,21.678
244,4,1,1,1,1,1,0,0,0,0,21.678
245,3,1,1,1,1,1,0,0,0,0,29.01
246,4,1,1,1,1,1,0,0,0,0,21.678
247,1,1,3,1,1,1,0,0,0,0,79.97
248,4,1,1,1,1,1,0,0,0,0,21.678
249,4,2,1,1,1,1,0,0,0,0,31.516
250,2,1,1,1,1,1,0,1,0,0,46.912
251,4,1,1,1,0,1,0,0,0,0,22.142
252,3,3,1,1,1,1,0,0,0,0,57.912
253,4,1,3,0,1,0,0,0,1,0,24.794
254,4,1,1,1,1,1,0,0,0,0,21.678
255,1,2,1,1,1,1,1,0,0,0,122.262
256,4,1,1,1,1,1,0,1,0,0,23.666
257,4,1,1,1,0,1,0,0,0,0,22.142
258,2,1,1,1,1,1,0,0,0,0,41.818
259,4,3,3,0,1,0,0,0,1,0,39.904
260,3,1,1,1,1,1,0,0,0,0,29.01
261,4,1,1,1,1,1,1,0,0,0,21.942
262,4,1,1,1,1,1,0,1,0,0,23.666
263,1,2,1,1,0,1,0,0,0,0,116.326
264,4,1,1,1,1,1,0,0,0,0,21.678
265,4,1,3,0,1,0,0,0,1,0,24.794
266,2,3,1,1,1,1,0,0,0,0,82.598
267,4,1,1,1,1,1,1,0,0,0,21.942
268,3,1,1,1,1,1,0,1,0,0,30.86
269,4,2,1,1,0,1,0,0,0,0,31.868
270,4,1,1,0,1,0,0,0,0,0,23.776
271,1,1,3,1,1,1,0,0,1,0,79.768
272,4,1,1,1,1,1,0,0,0,0,21.678
273,4,3,1,1,1,1,1,0,0,0,46.726
274,2,1,1,1,1,1,0,1,0,0,46.912
275,4,1,1,1,0,1,0,0,0,0,22.142
276,4,2,1,0,1,0,0,0,0,0,33.264
277,3,1,3,1,1,1,0,0,1,0,29.918
278,4,1,1,1,1,1,0,0,0,0,21.678
279,1,1,1,1,1,1,1,0,0,0,79.414
280,4,3,1,1,1,1,0,1,0,0,46.374
281,4,1,1,1,0,1,0,0,0,0,22.142
282,2,1,1,1,1,0,0,0,0,0,41.756
283,4,1,3,0,1,1,0,0,1,0,24.542
284,4,2,1,1,1,1,0,0,0,0,31.516
285,3,1,1,1,1,1,1,0,0,0,29.174
286,4,1,1,1,1,1,0,1,0,0,23.666
287,1,3,1,1,0,1,0,0,0,0,158.204
288,4,1,1,1,1,1,0,0,0,0,21.678
289,4,1,3,0,1,0,0,0,1,0,24.794
290,2,1,1,1,1,1,0,0,0,0,41.818
291,4,2,1,1,1,1,1,0,0,0,33.59
292,4,1,1,1,1,1,0,1,0,0,23.666
293,3,1,1,1,0,1,0,0,0,0,29.586
294,4,3,1,1,1,1,0,0,0,0,42.882
295,1,1,3,0,1,0,0,0,1,0,85.216
296,4,1,1,1,1,1,0,0,0,0,21.678
297,4,1,1,1,1,1,1,0,0,0,21.942
298,2,2,1,1,1,1,0,1,0,0,66.642
299,4,1,1,1,0,1,0,0,0,0,22.142
