Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,1,4,1000000,1,0,1000,10,512,10000,2,0,2.6792555426778708e-05
1,2,10,4,1000000,10,1,1000,1000,1024,100,2,0,6.440915979320674e-06
2,4,1,4,1000000,10,0,1000,10,512,100,5,29,2.3279764414691754e-05
3,2,10,4,10,1,0,1000,10,512,100,5,29,0.3017933360314728
4,4,1,2,1000000,1,1,1,1000,512,10000,5,0,0.0006600514386084498
5,4,1,4,10,10,0,1000,1000,512,10000,2,0,0.4933772698912236
6,2,10,4,1000000,10,1,1000,1000,512,10000,2,29,1.1950462408583337e-05
7,4,1,2,10,10,0,1000,1000,512,100,2,0,7.775700948662993e-06
8,4,10,4,10,10,1,1000,10,1024,10000,5,0,7.031436709816296e-06
9,4,1,2,1000000,10,1,1,10,512,100,2,29,0.002712222123465153
10,2,10,4,10,10,0,1,10,512,100,5,0,0.1330730734394803
11,4,1,2,10,10,1,1000,1000,1024,100,2,0,4.840742579418862e-05
12,2,10,2,1000000,1,0,1,10,1024,100,5,0,0.0010438964268177774
13,2,1,2,1000000,1,1,1000,10,512,10000,2,29,5.163023041909655e-07
14,4,1,2,1000000,10,1,1,10,1024,10000,5,0,1.880214794163047e-05
15,4,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.0008360632644057479
16,2,10,2,10,10,1,1,10,512,10000,5,0,2.799395643484333e-06
17,4,10,4,10,1,0,1000,1000,1024,10000,5,0,0.2149546362553792
18,2,1,2,10,10,0,1,1000,512,10000,2,0,0.1491206108805018
19,4,10,2,10,1,0,1000,1000,512,100,2,29,6.937265467092523e-06
20,4,1,4,10,1,0,1000,1000,1024,10000,5,29,0.24803329206956787
21,4,1,2,10,1,0,1,1000,512,100,2,0,1.959745799039066e-05
22,2,1,4,10,1,0,1,10,512,100,5,0,0.015041471383680638
23,2,1,4,1000000,10,1,1,1000,1024,10000,5,29,2.785310891484384e-05
24,2,1,4,1000000,1,1,1,10,1024,10000,5,29,5.25312942053824e-07
25,2,10,2,1000000,10,1,1000,1000,512,100,2,29,2.2016601297521727e-05
26,2,1,2,10,10,1,1000,10,1024,10000,2,29,7.2334055338977394e-06
27,4,1,2,1000000,1,0,1,10,512,100,5,0,0.00071982293115038
28,4,1,4,10,10,0,1000,10,512,100,2,0,0.48511261906253667
29,2,10,2,1000000,1,0,1000,1000,512,100,2,29,2.131981853205396e-05
30,2,1,4,10,1,0,1000,1000,512,10000,2,0,0.9887517571976883
31,2,10,2,1000000,10,0,1,10,512,10000,2,29,1.627003322386036e-05
32,4,10,2,1000000,10,0,1000,1000,1024,100,2,0,3.187036344813926e-05
33,2,10,2,10,10,0,1,1000,1024,10000,2,0,0.14839205032143518
34,4,10,2,10,10,0,1,10,1024,10000,2,29,3.041741205990582e-05
35,4,1,4,1000000,1,0,1000,10,1024,100,5,0,0.0001862544440035318
36,4,1,2,1000000,10,0,1000,10,512,100,5,29,2.402470991569236e-05
37,4,1,4,10,1,0,1000,10,1024,10000,5,0,4.806001917266145e-06
38,4,10,2,1000000,10,1,1,10,512,100,2,0,0.00013593982126626443
39,4,10,4,1000000,1,0,1000,1000,512,100,2,29,2.323141771339087e-05
40,2,10,2,1000000,10,0,1,10,1024,10000,5,29,2.89012746092992e-05
41,2,1,4,10,1,0,1,1000,512,10000,2,29,0.014921892421887798
42,2,1,4,10,1,1,1,10,1024,100,2,29,0.015139313488748349
43,4,1,2,1000000,10,0,1,1000,512,10000,2,0,0.006773832843706728
44,2,10,2,10,10,1,1,10,512,10000,5,29,4.354319936774473e-06
45,2,10,2,10,10,1,1000,1000,512,10000,2,0,0.7895960331597441
46,4,10,2,1000000,10,0,1,1000,512,10000,5,0,0.00020492955415059793
47,2,1,2,1000000,10,1,1,10,512,10000,2,29,5.712104316918157e-06
