Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
77,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.9890727092377973
78,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0.993054789355873
79,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0.006930656485261334
80,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002985675697075209
81,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029695363839077546
82,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029863013374864223
83,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002950506588426071
84,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029587774767660755
85,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0.0029801944820265313
86,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.00297925046824367
87,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029595254678591904
88,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029928069007452932
89,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002989394777604695
90,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029844303373276248
91,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029489479464530895
92,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029910625417447104
93,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002974041076691173
94,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029832918917805334
95,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002990946574332986
96,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029824438121067985
97,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029765958225872425
98,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002998962582307995
99,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029734569598365243
100,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029790270640636133
101,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029554111946466215
102,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002979716306026566
103,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002981922366914189
104,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029708785646718355
105,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029655418844911057
106,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002980479605083031
107,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002982073585991287
108,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029766176524203256
109,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029743582552792603
110,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0.0059603291155041664
111,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002980295855373243
112,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.002981698779264683
113,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0.005954872553488059
114,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029850078151153247
115,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0029874697324294005
116,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0.005975115874229393
117,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0.018890810244632027
118,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0.012885967592883857
119,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0.006947533963680598
120,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0.009935890174830816
121,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0.012871596080850044
122,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0.004988302120315223
123,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0.008941223147106605
124,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0.0029725264792084217
125,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0.003966300556866514
126,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0.001992644409888002
127,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0.008965160858167887
128,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.0009947495176730967
129,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.0010294480551935321
130,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0.02880063888637535
131,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.001002159116385831
132,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009896089520142284
133,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.028788609933561176
134,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.000980865890916311
135,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.00099765771775331
136,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.000983675089977707
137,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009985514686138995
138,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009915550852454638
139,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0010132266163831692
140,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0010030111921534265
141,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009923209650020098
142,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.00098887326206634
143,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009785160557917317
144,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.000992314638980809
145,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.0009920209913944894
146,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009769696738506904
147,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009694740113051125
148,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009854033607424675
149,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009900534296792788
150,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009635191874289332
151,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.0010227037186165571
152,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009901936745110957
153,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0009938300039322716
154,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009850583045022305
155,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000993557407637054
156,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009807228607871198
157,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009999407741748366
158,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000990739825324177
159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009749423394651276
160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009871269290513541
161,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009937548432538514
162,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009864798430662864
163,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0010207497252125795
164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009950883628946094
165,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.001002221567290282
166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009823070215292848
167,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009968323476340663
168,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009797140536129555
169,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000994877132055419
