Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,3,1,0,1,0,20,1024,6,10960.8
1,2,1,0,1,0,50,128,0,17740.2
2,5,1,0,1,1,10,256,8,121470.8
3,5,0,0,1,0,70,512,10,301005.2
4,1,0,0,1,0,100,64,4,11741.2
5,4,0,1,0,0,100,2,10,180502.6
6,4,1,1,1,0,20,128,10,414410.8
7,3,0,0,1,1,30,16,2,12100.8
8,5,0,1,1,1,100,64,8,121508.2
9,1,0,0,0,1,20,256,0,17875.2
10,3,0,0,0,1,60,2048,6,10576.6
11,4,1,0,1,0,0,512,8,115895.4
12,2,0,0,1,0,10,8,10,109716.6
13,4,1,1,0,1,90,4,8,51498.6
14,1,1,1,1,0,0,2,4,18430.8
15,2,1,1,0,0,100,2048,10,101513.4
16,2,1,1,1,0,90,64,4,11865.4
17,2,0,1,0,1,90,64,10,101271.4
18,5,0,1,0,1,80,128,4,9189.6
19,4,0,0,0,1,0,4,4,22089.4
20,5,0,1,1,0,80,1024,8,121350.2
21,1,1,1,1,0,20,32,4,12015.4
22,3,0,0,0,0,80,2,2,13211.0
23,1,1,1,1,1,50,64,8,103044.4
24,2,1,1,1,0,100,128,10,102789.8
25,1,1,1,1,1,90,1024,8,102999.2
26,2,1,0,0,1,50,2048,2,4879.2
27,1,0,0,1,0,40,8,2,17669.6
28,4,0,1,1,0,80,64,10,414674.6
29,4,0,1,1,0,70,1024,2,35809.4
30,5,1,0,0,1,50,4096,6,47761.2
31,5,1,0,0,1,50,1,0,9136.8
32,5,1,0,0,1,50,1,0,9136.8
33,2,1,0,0,1,50,1,0,11169.4
34,5,1,0,0,1,50,2048,0,9175.0
35,2,1,0,0,1,40,1,2,11187.4
36,5,1,0,0,1,30,16,0,9214.8
37,3,1,0,0,1,60,2048,2,12179.4
38,2,1,0,0,1,50,32,0,4873.0
39,2,1,0,0,1,10,32,6,87171.8
40,2,1,0,0,1,70,32,2,4822.0
41,2,1,0,0,1,70,32,0,4793.8
42,2,1,0,0,1,70,32,6,87927.4
43,2,1,0,0,1,70,32,2,4822.0
44,3,1,0,0,1,70,256,0,12181.6
45,2,1,0,0,1,70,512,2,4806.8
46,2,1,0,0,1,70,512,0,4774.8
47,2,1,0,0,1,30,512,0,4857.6
48,3,1,0,0,1,70,512,0,12202.6
49,2,1,0,0,1,60,4096,0,4718.8
50,2,1,0,0,1,60,4096,0,4718.8
51,4,1,0,0,1,60,4096,0,8947.6
52,2,1,0,0,1,60,4096,6,88425.0
53,3,1,0,0,1,60,4096,0,12144.2
54,1,0,0,0,1,60,4096,4,11789.4
55,2,1,0,0,1,60,4096,0,4718.8
56,4,1,0,0,0,20,4,8,51821.8
57,2,0,0,0,1,60,16,10,96452.2
58,1,1,1,1,1,10,8,4,12302.6
59,2,1,0,0,0,0,4096,0,11401.8
60,3,0,1,0,1,60,2,8,39231.2
61,4,1,0,1,0,100,256,6,49813.2
62,2,0,0,0,1,40,128,10,101283.8
63,1,1,1,1,1,90,4096,0,17770.0
64,2,1,0,0,0,20,4,4,11958.2
65,5,1,0,0,1,60,4096,0,9171.8
66,2,0,1,1,1,30,1024,8,103233.8
67,4,1,0,0,0,0,8,0,11894.2
68,3,1,0,0,1,80,2,10,48966.8
69,1,0,1,1,1,10,16,6,94834.4
70,2,1,0,0,1,60,128,0,4733.2
71,5,1,0,0,0,100,4096,4,9135.6
72,2,1,0,0,1,40,64,0,4869.8
73,2,0,1,1,1,90,256,8,102863.6
74,4,1,0,0,1,60,4096,10,112840.0
75,3,1,0,0,0,20,1024,0,12222.2
76,5,1,0,0,1,80,2048,6,47610.6
77,2,0,1,1,1,30,4,0,17636.6
78,1,1,0,0,1,0,1,4,18505.0
79,2,1,0,0,0,60,8,0,5203.0
80,2,1,0,0,1,10,2,8,80280.6
81,4,1,1,1,1,100,4096,2,35905.2
82,5,0,0,0,1,40,16,0,9190.4
83,2,1,0,0,1,60,64,10,101518.2
84,3,1,0,0,0,90,128,6,10648.2
85,1,1,1,0,1,60,256,0,17711.4
86,2,0,0,1,1,80,4096,0,17631.2
87,2,1,0,0,1,30,2048,2,4838.8
88,4,1,0,0,0,20,1,4,20271.8
89,2,1,0,0,1,60,4096,0,4718.8
90,5,0,1,1,1,0,1024,8,121098.0
91,3,1,0,0,1,10,512,10,50336.8
92,1,1,0,0,0,60,4,6,72865.4
93,2,1,0,0,1,100,4096,0,4668.0
94,2,1,1,1,1,100,8,2,17697.8
95,2,0,0,0,1,100,64,0,4651.0
96,4,0,0,0,0,100,64,4,12773.6
97,3,0,0,0,1,100,64,0,12245.4
98,5,0,1,1,1,100,64,8,121508.2
99,2,0,0,0,1,100,64,0,4651.0
100,1,0,0,0,1,100,64,10,101838.8
101,2,0,0,0,1,100,64,0,4651.0
102,2,0,0,0,1,100,64,0,4651.0
103,2,0,0,0,1,100,64,0,4651.0
104,2,0,0,0,1,100,64,0,4651.0
105,2,0,0,0,1,100,64,0,4651.0
106,2,0,0,0,1,100,64,0,4651.0
107,2,0,0,0,1,100,64,0,4651.0
108,2,0,0,0,1,100,64,0,4651.0
109,2,0,0,0,1,50,64,0,4873.0
110,2,0,0,0,1,100,64,6,89384.0
111,2,0,0,0,1,40,2,0,7449.2
112,2,0,0,0,1,90,16,2,4952.8
113,4,0,0,0,1,100,32,0,8938.4
114,2,0,0,0,1,20,128,4,4966.4
115,3,0,0,0,1,80,256,0,12221.6
116,5,0,0,0,0,30,64,8,122016.8
117,1,0,0,0,1,100,2048,10,101662.6
118,2,0,1,1,1,0,512,0,17843.8
119,2,0,0,0,1,50,1,6,78364.8
120,2,0,0,0,1,10,1024,2,5752.6
121,4,0,0,0,0,100,64,0,8931.8
122,3,0,0,0,1,40,4,4,12952.2
123,5,0,1,1,1,70,8,0,9111.4
124,2,0,0,0,1,90,2,8,80147.0
125,1,0,0,0,0,100,16,0,17793.4
126,2,0,0,0,1,80,64,10,101875.6
127,2,0,1,1,1,30,32,6,92061.0
128,2,0,0,0,1,20,128,0,5054.8
129,4,0,0,0,1,100,256,2,8908.0
130,3,0,0,0,0,0,64,0,16517.4
131,5,0,0,0,1,10,2048,4,9168.6
132,2,0,1,1,1,50,512,0,17632.8
133,1,0,0,0,1,100,1,8,83192.4
134,2,0,0,0,1,40,1024,0,4878.2
135,2,0,0,0,0,70,64,10,101377.8
136,4,0,0,0,1,100,4,6,23342.2
137,2,0,1,1,1,90,64,0,17601.2
138,3,0,0,0,1,100,8,2,12384.8
139,5,0,0,0,1,80,2,0,9204.2
140,2,0,0,0,0,30,16,4,4717.0
141,1,0,0,0,1,20,64,0,17781.6
142,2,0,1,1,1,100,32,8,103515.6
143,2,0,0,0,1,0,128,0,11428.2
144,4,0,0,0,1,10,256,10,144007.8
145,2,0,0,0,0,100,64,0,4648.2
146,3,0,0,0,0,50,2048,6,10771.2
147,5,0,1,1,0,100,512,2,9165.8
148,2,0,0,0,0,70,1,0,11208.4
149,1,0,0,0,0,40,64,4,11896.8
150,2,0,0,0,0,90,1024,0,4681.6
151,2,0,0,0,0,100,64,8,101635.0
152,2,0,1,1,0,80,4,0,17739.0
153,4,0,0,0,0,20,8,10,150708.8
154,3,0,0,0,0,100,64,0,12152.0
155,5,0,0,0,0,30,2,6,47483.6
156,2,0,0,0,0,0,16,0,11425.6
157,1,0,1,1,0,100,32,2,17728.6
158,2,0,0,0,0,10,128,0,5757.6
159,2,0,0,0,0,50,64,4,4567.2
160,2,0,0,0,0,50,256,4,4541.0
161,4,0,0,0,0,50,256,4,13127.4
162,2,0,1,0,0,50,256,4,4557.6
163,3,0,1,1,0,50,256,4,12106.0
164,5,0,1,0,0,50,256,4,9120.4
165,2,0,1,0,0,50,256,4,4557.6
166,1,0,1,0,0,50,256,4,11863.2
167,2,0,1,0,0,50,256,4,4557.6
168,2,0,1,1,0,50,256,4,11894.6
169,4,0,1,0,0,50,256,4,13221.2
170,2,0,1,0,0,50,256,4,4557.6
171,3,0,1,0,0,50,256,4,12375.2
172,5,0,1,0,0,50,256,4,9120.4
173,2,0,1,1,0,50,256,4,11894.6
174,1,0,1,0,0,50,256,4,11863.2
175,2,0,1,0,0,50,256,4,4557.6
176,2,0,1,0,0,50,256,4,4557.6
177,2,0,1,0,0,50,256,4,4557.6
178,4,0,1,1,0,50,256,4,43732.8
179,3,0,1,0,0,50,256,4,12375.2
180,5,0,1,0,0,50,2048,4,9140.8
181,2,0,1,0,0,70,512,4,4353.4
182,1,0,1,0,0,70,512,4,11847.2
183,2,0,1,1,0,70,512,4,11837.4
184,2,0,1,0,0,70,512,4,4353.4
185,2,0,1,0,0,70,512,4,4353.4
186,4,0,1,0,0,70,512,4,12884.4
187,3,0,1,0,0,70,512,4,12209.6
