Iteration,fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,0,0,128,8,4096,137326.9999957722
1,1,0,1,1,0,256,32,1024,143943.20003577543
2,1,1,0,1,0,64,2,4096,131709.19999552303
3,0,0,1,0,0,64,2,4096,46094.99996445908
4,1,1,1,1,0,256,2,4096,127337.60000527867
5,0,1,0,1,0,256,2,4096,47670.800004747834
6,0,1,0,0,0,256,2,4096,46096.400006868134
7,1,0,1,1,1,128,8,4096,136724.39998684
8,0,1,1,0,0,128,8,1024,46539.200002129495
9,0,1,1,1,1,128,8,4096,46800.79999139946
10,1,1,0,0,1,128,32,256,131364.4000042948
11,0,0,0,1,1,64,2,1024,46425.99999233036
12,0,1,0,1,0,128,2,256,46584.7999830817
13,1,0,1,1,0,256,8,4096,135527.79999772698
14,0,0,0,1,1,128,2,4096,46338.79998212682
15,0,0,0,0,0,256,8,1024,46252.000018351784
16,1,1,1,1,0,256,32,4096,134654.60000405821
17,1,0,1,0,1,256,2,256,135600.2000129538
18,0,0,1,0,0,256,2,4096,46143.40001300951
19,0,0,0,1,0,64,2,4096,46738.00001123502
20,0,0,0,0,0,128,2,256,46236.79997334619
21,0,1,1,0,0,256,8,256,46092.00000418942
22,0,0,0,0,1,256,8,1024,46303.00002353294
23,0,1,0,0,1,256,32,256,46163.40000807335
24,1,0,1,0,0,64,32,1024,134518.99999747277
25,0,1,0,0,0,128,2,1024,46240.799978013325
26,0,1,0,1,1,64,32,4096,46490.6000352
27,0,0,0,1,1,256,8,1024,46307.600010350754
28,0,0,1,1,1,256,32,4096,46299.19997785542
29,1,1,1,0,1,64,32,256,133542.00000240153
30,1,0,0,0,0,128,32,1024,127243.8000259281
31,0,1,0,0,0,64,2,256,46500.399986145014
32,1,1,1,0,0,64,32,4096,131523.99997975532
33,0,0,1,0,1,64,32,256,46132.399993179846
34,1,0,0,1,0,256,2,256,131727.3999992121
35,1,0,1,0,1,128,8,1024,136768.0000034059
36,1,1,0,0,1,256,2,4096,132262.20002578245
37,0,0,0,1,0,128,8,256,46366.59999810483
38,0,1,1,1,0,128,2,256,46517.800003057746
39,0,0,1,0,0,128,8,4096,46163.200015316
40,1,1,1,0,0,64,2,256,132226.39998664893
41,1,0,1,0,0,256,8,1024,138245.19996013382
42,1,1,1,0,0,128,32,4096,128492.59999734687
43,1,0,1,1,0,128,8,1024,138096.80000366078
44,0,0,1,0,1,256,32,4096,47000.19999570357
45,1,1,1,1,0,64,32,256,128814.80003198274
46,1,1,1,1,1,128,32,4096,132082.4000233943
47,0,1,1,1,1,256,32,256,46981.99997597543
48,0,0,0,0,1,128,32,256,46034.99996838179
49,0,0,1,0,0,64,2,4096,46095.000003407666
50,0,1,0,0,1,256,2,4096,46310.800021613846
51,0,1,1,1,0,128,2,256,46517.80002239129
52,0,1,0,1,1,128,32,4096,46394.000009718045
53,1,0,0,1,0,256,2,1024,133313.60003449506
54,1,1,0,1,1,64,2,256,134107.40000988188
55,0,0,1,1,0,64,2,256,46508.8000158687
56,1,0,0,1,0,64,8,4096,134655.3999785997
57,0,1,1,1,0,256,32,1024,46477.800019922026
58,1,0,0,1,0,128,2,256,132275.399991673
59,1,0,0,0,1,64,8,256,133634.3999969276
60,0,0,1,0,0,64,8,256,46528.800001421536
61,0,0,1,0,1,256,8,256,46064.59998084186
62,0,0,1,0,1,256,8,256,46064.600036305215
63,0,0,1,0,1,256,8,256,46064.600016797674
64,0,0,1,0,1,256,8,256,46064.59997778925
65,0,0,1,0,1,256,8,256,46064.600013093375
66,0,0,1,0,1,256,8,256,46064.600052901485
67,0,0,1,0,1,256,8,256,46064.60002542033
68,0,0,0,0,1,256,8,256,46100.3999928052
69,0,0,1,0,1,256,8,256,46064.59998561579
70,0,0,0,0,1,128,8,256,46184.20001585402
71,0,0,1,0,1,256,8,256,46064.59997888546
72,0,0,0,0,1,256,8,256,46100.399980279806
73,0,0,1,0,1,128,32,256,46260.20000889644
74,0,0,1,0,1,256,8,256,46064.59998364165
75,0,0,0,0,1,128,32,256,46035.00004846744
76,0,0,0,0,1,128,32,256,46034.99999295995
77,0,0,0,0,1,128,32,256,46035.00001763953
78,0,0,0,0,1,128,32,256,46034.99998117493
79,0,0,0,0,1,128,32,256,46034.999998616404
