Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0.0059654155514492786
1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0.005943526724683
2,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0.012904390658230364
3,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0.011904368552374091
4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.9950232608761022
5,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.01290477480441805
6,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0.9979987842377781
7,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0.018874052286423765
8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.028789429088146655
9,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0.0039832196683811105
10,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0.9930560167540567
11,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0.9920660004652418
12,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0.9979969137167798
13,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0.993029069947702
14,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.9940468637587891
15,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0.014903340055215472
16,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0.9930295178729516
17,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0.012931187047500561
18,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0.9920507024693495
19,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0.6981244350505319
20,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0049506381380177425
21,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0.01289806759907578
