Iteration,WindowSize,CompressionLevel,Performance
0,15,8,6.738
1,10,6,3.386
2,23,8,37.284
3,22,1,1.586
4,12,3,2.426
5,12,8,5.318
6,17,3,2.564
7,24,2,2.04
8,18,6,7.51
9,18,5,6.714
10,12,6,3.846
11,21,8,18.874
12,22,9,34.292
13,20,5,7.45
14,17,11,307.42
15,12,1,1.542
16,11,8,5.042
17,17,5,5.886
18,10,4,3.02
19,20,5,7.45
20,17,4,2.848
21,20,2,2.088
22,14,5,4.678
23,10,10,363.364
24,15,4,2.834
25,12,7,5.266
26,18,2,2.094
27,22,8,25.432
28,15,6,5.306
29,15,1,1.52
30,19,1,1.604
31,16,0,1.59
32,13,1,1.514
33,13,1,1.514
34,13,1,1.514
35,13,1,1.514
36,13,9,6.862
37,23,0,1.556
38,13,10,313.652
39,24,3,2.478
40,13,11,315.078
41,21,7,15.806
42,13,1,1.514
43,16,1,1.598
44,14,3,2.302
45,11,1,1.526
46,19,9,14.048
47,23,11,315.238
48,13,1,1.514
49,24,6,10.176
50,21,7,15.806
51,13,10,313.652
52,22,0,1.596
53,11,2,1.998
54,10,1,1.666
55,18,4,2.824
56,14,8,6.086
57,20,3,2.546
58,17,9,10.152
59,12,11,328.552
60,19,1,1.604
61,16,5,5.392
62,13,6,4.3
63,23,2,2.032
64,22,10,256.21
65,10,1,1.666
66,18,4,2.824
67,15,8,6.738
68,13,7,5.554
69,24,0,1.574
70,21,1,1.598
71,20,5,7.45
72,13,1,1.514
73,17,3,2.564
74,11,9,6.286
75,12,6,3.846
76,14,11,301.078
77,13,2,1.942
78,16,1,1.598
79,19,10,258.558
80,15,7,6.39
81,23,4,2.726
82,13,0,1.514
83,24,8,38.644
84,22,1,1.586
85,10,5,3.306
86,18,1,1.63
87,21,3,2.512
88,13,9,6.862
89,20,11,246.08
90,11,6,3.57
91,17,1,1.612
92,14,2,1.9
93,12,10,328.816
94,13,7,5.554
95,16,4,2.77
96,19,8,11.508
97,23,0,1.556
98,13,1,1.514
99,15,1,1.52
100,22,5,7.198
101,13,1,1.514
102,13,1,1.514
103,13,1,1.514
104,13,1,1.514
105,13,1,1.514
106,10,3,2.616
107,24,9,108.602
108,18,1,1.63
109,21,6,10.46
110,13,11,315.078
111,20,2,2.088
112,11,10,343.594
113,17,1,1.612
114,12,7,5.266
115,14,4,2.894
116,13,0,1.514
117,16,8,7.548
118,19,1,1.604
119,13,5,4.128
120,23,1,1.572
121,15,3,2.392
122,22,9,34.292
123,24,11,394.158
124,10,6,3.386
125,18,1,1.63
126,13,2,1.942
127,21,10,244.734
128,20,7,12.338
129,11,1,1.526
130,13,4,2.972
131,17,0,1.606
132,14,8,6.086
133,12,1,1.542
134,13,5,4.128
135,16,1,1.598
136,19,3,2.552
137,23,9,63.68
138,13,6,4.3
139,15,11,292.192
140,22,1,1.586
141,24,2,2.04
142,10,10,363.364
143,13,1,1.514
144,18,7,8.628
145,21,4,2.768
146,13,0,1.514
147,20,8,14.64
148,11,1,1.526
149,17,5,5.886
150,12,1,1.542
151,14,3,2.302
152,13,9,6.862
153,16,11,284.296
154,19,1,1.604
155,13,6,4.3
156,23,2,2.032
157,15,10,291.618
158,22,1,1.586
159,13,7,5.554
160,24,4,2.708
161,10,0,1.662
162,18,8,9.684
163,21,1,1.598
164,13,5,4.128
165,20,1,1.636
166,11,3,2.476
167,17,9,10.152
168,14,1,1.46
169,14,6,4.874
170,14,11,301.078
171,14,1,1.46
172,14,1,1.46
173,14,2,1.9
174,14,1,1.46
175,14,10,301.488
176,14,7,5.896
177,14,4,2.894
178,14,1,1.46
179,14,0,1.472
180,14,8,6.086
181,14,1,1.46
182,14,5,4.678
183,14,3,2.302
184,14,1,1.46
185,14,9,7.404
186,14,11,301.078
187,14,6,4.874
188,12,1,1.542
189,16,2,2.026
190,19,10,258.558
191,14,7,5.896
192,23,1,1.572
193,15,4,2.834
194,22,0,1.596
195,24,8,38.644
196,10,1,1.666
197,18,5,6.714
198,14,1,1.46
199,21,3,2.512
200,20,9,17.4
201,11,6,3.57
202,17,11,307.42
203,12,1,1.542
204,14,2,1.9
205,16,10,285.0
206,19,1,1.604
207,14,7,5.896
208,23,4,2.726
209,15,0,1.534
210,22,8,25.432
211,24,1,1.57
212,14,5,4.678
213,10,1,1.666
214,18,3,2.562
215,21,9,23.614
216,20,11,246.08
217,14,6,4.874
218,11,1,1.526
219,17,2,2.102
220,14,10,301.488
221,12,1,1.542
222,16,7,6.998
223,19,4,2.8
224,14,0,1.472
225,23,8,37.284
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,14,1,1.46
234,15,1,1.52
235,22,1,1.586
236,14,1,1.46
237,24,5,7.154
238,10,1,1.666
239,18,3,2.562
240,21,9,23.614
241,14,1,1.46
242,20,6,10.658
243,11,11,343.996
244,17,2,2.102
245,14,1,1.46
246,12,10,328.816
247,14,7,5.896
248,16,4,2.77
249,19,1,1.604
250,14,0,1.472
251,15,8,6.738
252,23,1,1.572
253,22,5,7.198
254,14,1,1.46
255,24,3,2.478
256,18,9,11.954
257,10,11,363.346
258,21,6,10.46
259,14,1,1.46
260,20,2,2.088
261,11,1,1.526
262,17,10,307.144
263,14,7,5.896
264,12,4,3.004
265,14,1,1.46
266,16,0,1.59
267,19,8,11.508
268,14,1,1.46
269,23,5,7.178
270,15,1,1.52
271,22,3,2.5
272,14,9,7.404
273,24,1,1.57
274,10,6,3.386
275,18,11,279.692
276,14,2,1.9
277,21,1,1.598
278,20,10,246.512
279,11,7,5.078
280,14,1,1.46
281,17,4,2.848
282,12,0,1.528
283,14,8,6.086
284,16,1,1.598
285,19,5,7.372
286,14,1,1.46
287,23,3,2.478
288,15,9,8.084
289,14,1,1.46
290,22,11,259.594
291,24,6,10.176
292,10,1,1.666
293,14,2,1.9
294,18,10,279.698
295,21,1,1.598
296,20,7,12.338
297,14,4,2.894
298,11,0,1.526
299,17,1,1.612
