Iteration,WindowSize,CompressionLevel,Performance
0,21,9,23.614
1,21,2,2.06
2,18,11,279.692
3,11,6,3.57
4,23,0,1.556
5,11,1,1.526
6,16,3,2.508
7,10,2,2.146
8,24,8,38.644
9,17,0,1.606
10,11,2,1.998
11,11,4,3.04
12,13,4,2.972
13,18,9,11.954
14,11,0,1.526
15,22,0,1.596
16,24,5,7.154
17,21,4,2.768
18,10,0,1.662
19,13,11,315.078
20,19,1,1.604
21,13,0,1.514
22,12,5,3.746
23,17,0,1.606
24,11,4,3.04
25,15,8,6.738
26,13,5,4.128
27,11,5,3.49
28,10,2,2.146
29,19,7,10.05
30,20,10,246.512
31,14,1,1.46
32,14,1,1.46
33,14,1,1.46
34,14,1,1.46
35,14,6,4.874
36,14,1,1.46
37,23,3,2.478
38,16,1,1.598
39,14,10,301.488
40,12,7,5.266
41,14,9,7.404
42,22,1,1.586
43,15,11,292.192
44,18,6,7.51
45,20,3,2.546
46,21,1,1.598
47,23,8,37.284
48,24,9,108.602
49,16,1,1.598
50,14,2,1.9
51,17,11,307.42
52,22,10,256.21
53,18,7,8.628
54,14,1,1.46
55,21,6,10.46
56,19,8,11.508
57,12,3,2.426
58,10,4,3.02
59,24,1,1.57
60,15,9,8.084
61,20,2,2.088
62,14,1,1.46
63,17,11,307.42
64,23,5,7.178
65,13,4,2.972
66,16,1,1.598
67,14,7,5.896
68,19,0,1.614
69,10,10,363.364
70,14,8,6.086
71,11,6,3.57
72,22,1,1.586
73,18,3,2.562
74,12,5,3.746
75,21,2,2.06
76,15,1,1.52
77,14,9,7.404
78,24,0,1.574
79,20,11,246.08
80,13,1,1.514
81,17,10,307.144
82,14,7,5.896
83,23,4,2.726
84,16,6,5.77
85,11,8,5.042
86,14,1,1.46
87,19,3,2.552
88,22,5,7.198
89,18,1,1.63
90,10,2,2.146
91,12,9,6.47
92,21,0,1.604
93,14,11,301.078
94,15,1,1.52
95,24,7,20.228
96,20,10,246.512
97,13,4,2.972
98,17,1,1.612
99,14,8,6.086
100,23,6,10.22
101,14,1,1.46
102,14,1,1.46
103,14,1,1.46
104,14,1,1.46
105,14,1,1.46
106,16,3,2.508
107,11,1,1.526
108,19,5,7.372
109,14,2,1.9
110,10,9,6.246
111,22,1,1.586
112,18,0,1.628
113,12,11,328.552
114,21,1,1.598
115,14,10,301.488
116,15,7,6.39
117,24,4,2.708
118,20,6,10.658
119,14,8,6.086
120,13,1,1.514
121,17,3,2.564
122,23,1,1.572
123,16,5,5.392
124,14,2,1.9
125,11,9,6.286
126,19,1,1.604
127,22,0,1.596
128,10,11,363.346
129,18,7,8.628
130,14,10,301.488
131,12,4,3.004
132,21,1,1.598
133,15,8,6.738
134,14,6,4.874
135,24,1,1.57
136,20,3,2.546
137,13,1,1.514
138,14,5,4.678
139,17,2,2.102
140,23,9,63.68
141,16,1,1.598
142,14,0,1.472
143,11,11,343.996
144,19,1,1.604
145,14,10,301.488
146,22,7,19.626
147,10,4,3.02
148,18,6,7.51
149,12,8,5.318
150,21,1,1.598
151,14,3,2.302
152,15,1,1.52
153,24,5,7.154
154,20,2,2.088
155,14,9,7.404
156,13,1,1.514
157,17,0,1.606
158,23,11,315.238
159,14,1,1.46
160,16,7,6.998
161,11,10,343.594
162,19,4,2.8
163,14,1,1.46
164,22,8,25.432
165,10,6,3.386
166,18,3,2.562
167,12,1,1.542
168,21,5,7.272
169,14,2,1.9
170,15,9,8.084
171,24,1,1.57
172,20,0,1.63
173,14,11,301.078
174,13,1,1.514
175,17,10,307.144
176,23,7,20.474
177,14,4,2.894
178,16,1,1.598
179,11,6,3.57
180,19,8,11.508
181,14,3,2.302
182,22,1,1.586
183,10,5,3.306
184,18,2,2.094
185,12,9,6.47
186,14,1,1.46
187,21,0,1.604
188,15,11,292.192
189,24,1,1.57
190,14,7,5.896
191,20,10,246.512
192,13,4,2.972
193,17,1,1.612
194,23,8,37.284
195,14,6,4.874
196,16,1,1.598
197,11,3,2.476
198,14,5,4.678
199,19,2,2.1
200,22,1,1.586
201,10,9,6.246
202,18,0,1.628
203,14,11,301.078
204,12,1,1.542
205,21,10,244.734
206,15,7,6.39
207,24,4,2.708
208,14,1,1.46
209,20,6,10.658
210,13,8,5.62
211,17,1,1.612
212,14,3,2.302
213,23,5,7.178
214,16,2,2.026
215,11,1,1.526
216,14,9,7.404
217,19,0,1.614
218,22,1,1.586
219,10,11,363.346
220,18,7,8.628
221,14,10,301.488
222,12,4,3.004
223,21,1,1.598
224,15,6,5.306
225,14,8,6.086
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,24,1,1.57
234,20,1,1.636
235,14,1,1.46
236,13,3,2.37
237,17,5,5.886
238,23,2,2.032
239,14,1,1.46
240,16,9,9.094
241,11,0,1.526
242,14,1,1.46
243,19,11,258.502
244,22,10,256.21
245,10,7,4.874
246,18,1,1.63
247,14,4,2.894
248,12,6,3.846
249,21,8,18.874
250,15,1,1.52
251,14,3,2.302
252,24,1,1.57
253,20,5,7.45
254,13,2,1.942
255,14,9,7.404
256,17,1,1.612
257,14,1,1.46
258,23,1,1.572
259,16,0,1.59
260,14,11,301.078
261,11,7,5.078
262,19,10,258.558
263,22,4,2.748
264,14,1,1.46
265,10,6,3.386
266,18,8,9.684
267,12,1,1.542
268,14,3,2.302
269,21,5,7.272
270,15,2,1.972
271,24,1,1.57
272,14,9,7.404
273,14,1,1.46
274,20,1,1.636
275,13,0,1.514
276,17,11,307.42
277,14,1,1.46
278,14,1,1.46
279,23,7,20.474
280,16,10,285.0
281,11,4,3.04
282,19,6,9.336
283,22,8,25.432
284,10,3,2.616
285,18,1,1.63
286,12,5,3.746
287,21,2,2.06
288,14,1,1.46
289,14,1,1.46
290,15,9,8.084
291,24,0,1.574
292,14,11,301.078
293,14,1,1.46
294,14,1,1.46
295,20,7,12.338
296,13,10,313.652
297,17,4,2.848
298,23,6,10.22
299,16,8,7.548
