Iteration,topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,2,10,4,10,10,1,1,1000,1024,10000,5,0,0.13351290560034124
1,4,1,4,10,10,1,1,1000,512,100,2,0,5.765645499182635e-06
2,2,1,4,10,10,1,1000,1000,1024,100,2,0,2.7302900725216266e-05
3,2,1,2,1000000,1,0,1000,1000,512,10000,5,0,0.00015102956404373447
4,2,1,2,10,1,0,1000,1000,512,10000,5,0,0.3094946371361428
5,2,10,2,1000000,1,1,1,10,512,100,5,29,0.0010759597332087349
6,4,10,2,1000000,1,0,1000,1000,512,10000,2,29,0.006138749186245741
7,4,10,2,1000000,1,1,1,10,1024,100,5,29,0.0009317730770137346
8,4,10,2,10,10,0,1000,10,512,100,2,29,0.5316449092380119
9,4,1,4,10,10,0,1000,1000,512,10000,2,29,0.4653347586791511
10,4,10,2,1000000,1,1,1,10,512,100,2,29,0.0029393351871519805
11,4,1,4,10,10,1,1000,1000,1024,10000,5,0,0.1868050856242121
12,2,10,2,10,1,1,1,1000,512,10000,2,29,0.014923275204670619
13,4,1,4,1000000,1,0,1,10,1024,10000,2,29,1.3291005334783446e-05
14,4,10,2,1000000,1,1,1000,10,1024,100,5,29,0.00013982229545930161
15,2,1,4,10,10,1,1,1000,512,10000,5,29,0.13840924873687027
16,2,1,4,1000000,10,1,1000,10,1024,100,2,29,2.355043546462733e-05
17,4,10,2,10,1,0,1,1000,1024,100,5,0,3.860033754841981e-06
18,2,10,4,1000000,10,0,1000,10,1024,100,2,29,7.632116488246999e-06
19,2,10,2,10,10,1,1000,1000,512,10000,5,29,0.28053961611244965
20,4,1,2,1000000,10,0,1,1000,512,100,2,29,7.88920434283367e-06
21,2,10,2,10,10,0,1,10,1024,100,2,0,0.14849606284301037
22,2,1,2,1000000,1,0,1,1000,1024,100,5,29,3.0093243939624537e-05
23,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,1.1488636314960811e-05
24,4,10,4,1000000,10,1,1,10,512,100,5,29,8.34380930129351e-06
25,4,10,2,10,10,1,1,10,512,100,5,0,0.0815610192359412
26,2,10,2,1000000,1,0,1000,10,1024,100,5,29,1.5797316487660797e-05
27,2,1,2,10,1,0,1000,1000,512,100,5,0,1.370670288051636e-05
28,2,10,2,1000000,10,0,1,1000,512,100,5,29,3.294303758629732e-05
29,4,10,4,1000000,10,1,1000,10,512,10000,2,29,1.0942446253425176e-05
30,4,10,4,1000000,10,0,1000,10,512,100,2,29,9.115556298826852e-06
31,2,10,2,10,10,1,1,10,512,10000,5,0,1.7891624755277936e-05
32,2,1,4,10,10,1,1,1000,512,10000,5,29,0.1383537488356791
33,4,1,2,1000000,1,1,1000,10,1024,100,5,0,1.624180565662371e-05
34,2,1,2,1000000,1,1,1,1000,512,100,5,29,8.137621376009203e-06
35,4,1,2,10,10,1,1,1000,512,10000,2,29,0.1443495414229631
36,4,1,2,10,10,1,1000,1000,512,10000,2,0,0.5187904776843062
37,2,10,2,1000000,10,1,1000,10,1024,100,5,0,2.8043406658218258e-05
38,2,1,4,10,1,1,1,10,1024,100,2,0,0.014845112824939815
39,2,10,2,1000000,10,0,1,1000,512,100,5,0,2.5929197886757438e-05
40,2,10,2,10,10,0,1,10,512,10000,2,29,3.564612611034565e-05
41,4,1,2,1000000,1,0,1000,10,1024,100,2,29,2.7991721922144355e-05
42,4,10,2,10,10,1,1000,10,1024,100,2,29,0.5125248271291896
43,4,1,4,10,10,1,1000,1000,1024,100,2,29,2.6835437747989315e-05
44,4,10,2,1000000,10,1,1,10,1024,10000,2,0,1.5063542695704569e-05
45,2,1,4,1000000,10,0,1,10,512,10000,5,0,2.6059945542622825e-06
46,4,1,2,1000000,1,1,1000,1000,512,10000,2,29,2.5862349952077557e-05
47,4,1,4,10,10,0,1,1000,512,10000,5,29,0.08235757307162112
48,2,10,4,10,1,0,1,10,512,100,2,0,0.015022274918722656
49,4,10,4,1000000,10,0,1,10,1024,100,2,0,0.0031496796828973882
50,2,1,4,10,1,1,1000,10,512,10000,2,29,1.6266617962690618e-05
51,2,10,2,1000000,1,1,1,1000,512,10000,5,29,0.0009716706252436835
52,4,1,4,10,1,0,1,10,1024,100,5,0,0.01447612740546369
53,2,10,2,1000000,1,1,1,10,1024,100,2,0,0.0025407784082327584
54,2,10,4,10,10,0,1,10,1024,10000,5,0,1.0251605962981789e-05
55,4,1,4,10,1,1,1000,10,512,100,2,0,0.7147934518864922
56,4,10,2,1000000,1,1,1,10,1024,100,2,29,0.0029069927273163124
57,2,10,2,10,10,1,1000,1000,1024,100,2,0,9.378612474875156e-06
58,2,10,2,1000000,10,1,1,10,1024,100,5,0,3.340253868703893e-07
59,4,10,4,1000000,1,1,1000,10,512,10000,2,29,1.679069127592722e-05
60,4,1,2,1000000,1,0,1,10,512,100,5,29,0.0006069359312319071
61,4,1,4,1000000,1,0,1000,10,1024,10000,2,0,1.0288381216120225e-05
62,4,10,4,1000000,10,0,1,1000,1024,10000,5,29,6.003479875959825e-06
63,2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,2.0589078639062027e-05
64,4,1,4,10,1,0,1,10,1024,100,5,0,0.01450191339431659
65,2,10,4,1000000,1,0,1,10,1024,100,5,0,0.001066495909046902
66,2,1,2,1000000,10,1,1,1000,1024,100,2,0,2.2203688451101587e-06
67,2,1,4,1000000,1,1,1000,10,512,10000,5,29,5.763486000185396e-06
68,4,1,2,1000000,10,1,1000,1000,512,10000,5,29,5.4716298601006535e-06
69,4,10,2,10,1,1,1000,1000,1024,10000,5,0,0.2051273869874358
70,4,10,4,1000000,1,0,1,1000,1024,10000,2,0,0.0023413480862492318
71,4,10,4,1000000,1,0,1,10,1024,10000,2,0,1.5235651457692283e-05
72,4,10,4,1000000,1,0,1,1000,1024,10000,2,0,0.002363748026589495
73,4,10,4,10,1,0,1,10,1024,10000,2,0,2.304055436565213e-05
74,4,1,2,1000000,1,0,1000,10,1024,10000,5,0,9.70003502671616e-06
75,4,1,2,1000000,1,0,1000,10,1024,100,5,0,5.01647253898247e-06
76,4,1,4,1000000,1,0,1000,10,1024,10000,5,0,3.625668359830496e-05
77,4,1,2,1000000,1,0,1000,10,1024,100,2,0,7.10630802381757e-05
78,4,1,4,1000000,1,0,1000,10,1024,10000,5,0,1.3432003221075966e-05
79,4,1,2,1000000,1,0,1000,10,1024,100,2,0,8.542575433327065e-05
80,4,10,4,1000000,1,0,1000,10,1024,100,5,0,3.871875528841978e-05
81,4,1,2,1000000,1,0,1000,10,1024,10000,2,0,2.7063305628443635e-06
82,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,6.790545765392369e-06
83,4,1,4,1000000,1,0,1000,10,1024,10000,2,0,2.658539182083174e-05
84,4,1,4,1000000,1,0,1000,10,1024,10000,2,0,2.5340223601385757e-05
85,4,10,2,10,1,0,1000,10,1024,10000,2,0,2.3213380939452254e-05
86,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.8840857417549344e-05
87,4,1,4,10,1,0,1000,10,1024,10000,2,0,1.9634495573611948e-05
88,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.5860617196021156e-05
89,4,1,4,10,1,0,1000,10,1024,10000,2,0,2.5466502832223308e-05
90,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,2.5193009904293955e-06
91,2,1,4,1000000,1,0,1000,10,1024,10000,2,0,3.0449323618115107e-05
92,4,10,2,10,1,0,1000,10,1024,10000,2,0,2.07895531538877e-05
93,4,1,4,1000000,1,0,1000,10,1024,10000,2,0,1.521708352084793e-05
94,2,10,2,10,1,0,1000,10,1024,10000,2,0,5.736398860710166e-06
95,4,1,4,1000000,1,0,1000,10,1024,10000,2,0,2.388587718384568e-05
96,2,10,2,1000000,1,0,1000,10,1024,10000,2,0,3.2374213018291277e-06
97,4,1,4,10,1,0,1000,10,1024,10000,2,0,2.951291727572826e-05
98,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,0.0
99,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.294000225839685e-06
100,4,10,2,10,1,0,1000,10,1024,10000,2,0,1.0205557615726373e-05
101,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.847643224893672e-05
102,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.4421400213665654e-05
103,4,10,4,10,1,0,1000,10,1024,10000,2,0,2.1188496078712954e-05
104,2,10,2,1000000,1,0,1000,10,1024,10000,2,0,8.659919781390213e-06
105,4,10,4,10,1,0,1000,10,1024,10000,2,0,2.412363346828774e-05
106,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.018755580539727e-05
107,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,5.164908871527961e-05
108,4,10,2,10,1,0,1000,10,1024,10000,2,0,1.8435372049286773e-05
109,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.911865310971176e-05
110,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.792870328330498e-05
111,4,10,4,10,1,0,1000,10,1024,10000,2,0,7.5089303680019374e-06
112,2,10,2,1000000,1,0,1000,10,1024,10000,2,0,3.784297705677458e-07
113,4,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.2197099779514496e-05
114,4,10,2,10,1,0,1000,10,1024,10000,2,0,1.3578231121165163e-05
115,2,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.3289624385021842e-05
116,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,1.1893142145003827e-05
117,4,10,4,1000000,1,0,1000,10,1024,10000,2,0,7.926217832043815e-06
118,2,10,2,10,1,0,1000,10,1024,10000,2,0,0.0
119,4,10,4,1000000,1,0,1000,10,1024,10000,2,0,2.1734635196965724e-05
120,4,10,2,1000000,1,0,1000,10,1024,10000,2,0,9.865563831108084e-06
121,4,10,4,10,1,0,1000,10,1024,10000,2,0,9.9275108437099e-06
122,2,10,2,1000000,1,0,1000,10,1024,10000,2,0,6.764815470308956e-07
123,4,10,4,1000000,1,0,1000,10,1024,10000,2,0,7.437632291889084e-06
124,4,10,2,10,1,0,1000,10,1024,10000,2,0,9.64224986064318e-06
125,2,10,4,1000000,1,0,1000,1000,1024,10000,2,0,0.00032738004738867615
126,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.975711658191093e-05
127,4,1,4,10,1,0,1000,10,512,10000,2,0,0.0
128,2,1,2,1000000,10,0,1000,10,512,10000,2,0,1.2982831235742098e-06
129,4,1,4,1000000,1,0,1000,10,512,10000,2,29,1.3734401375073809e-05
130,4,1,2,10,1,0,1000,1000,512,10000,2,0,0.4758177036263101
131,4,1,2,1000000,1,0,1000,10,512,10000,2,0,9.109658934359525e-06
132,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.0612993202071132e-05
133,4,1,2,1000000,1,0,1000,10,512,10000,2,0,2.0993081998627507e-05
134,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.3556567996443452e-05
135,4,1,2,1000000,1,0,1000,10,512,10000,2,0,2.494821800982375e-06
136,4,1,2,1000000,1,0,1000,10,512,10000,2,0,0.0
137,4,1,2,1000000,1,0,1000,10,512,10000,2,0,4.080065158592625e-07
138,4,1,2,1000000,1,0,1000,10,512,10000,2,0,2.7421326533408796e-05
139,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.0139777185769964e-05
140,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.0968779477387288e-05
141,4,1,2,1000000,1,0,1000,10,512,10000,2,0,3.356967028293768e-05
142,4,1,2,1000000,1,0,1000,10,512,10000,2,0,5.6592021552357854e-06
143,4,1,2,1000000,1,0,1000,10,512,10000,2,0,3.0452299543028e-05
144,2,1,2,1000000,1,0,1000,10,512,10000,2,0,1.698847024601386e-05
145,4,1,4,1000000,1,0,1000,10,512,10000,2,0,1.5578274653714765e-05
146,4,1,2,10,10,0,1000,10,512,10000,2,29,1.521653656179817e-05
147,2,1,4,1000000,1,0,1000,10,512,10000,2,0,1.5860132076448554e-05
148,4,1,2,1000000,1,0,1000,1000,512,10000,2,0,0.0001541425980965188
149,4,1,4,10,1,0,1000,10,512,10000,2,0,2.65033051265278e-05
150,4,1,2,1000000,1,0,1000,10,512,10000,2,0,1.3591603273358857e-05
151,2,1,4,1000000,1,0,1000,10,512,10000,2,0,2.4253044135471556e-05
152,4,1,2,1000000,10,0,1000,10,512,10000,2,29,1.0175304397522855e-06
153,4,1,4,10,10,1,1000,10,512,10000,2,29,3.191065032856716e-05
154,2,1,2,1000000,10,0,1000,10,512,10000,2,29,2.339726454724449e-05
155,4,1,4,1000000,10,0,1000,1000,512,10000,2,29,1.0558593653778005e-05
156,4,1,2,10,10,0,1000,10,512,10000,2,29,2.5889426733719845e-05
157,2,1,4,1000000,10,0,1000,10,512,10000,2,29,4.122673355952858e-06
158,4,1,2,1000000,10,0,1000,10,1024,10000,2,29,6.007499594869535e-06
159,4,1,2,10,10,1,1000,10,1024,10000,2,29,2.4002771457946615e-05
160,2,1,4,1000000,10,0,1000,10,512,10000,2,29,2.6193534110731396e-05
161,4,1,2,1000000,10,0,1000,10,1024,10000,2,29,1.6736046351178823e-05
162,4,1,4,10,10,0,1000,1000,1024,10000,2,29,0.46305007939690457
163,4,1,2,1000000,10,0,1,10,512,100,2,29,0.005167435832851135
164,2,10,4,1000000,10,0,1000,10,1024,10000,5,29,9.284413517455947e-06
165,4,1,2,1000000,10,1,1000,10,1024,10000,2,29,3.8537519544066125e-06
166,4,10,4,10,10,0,1000,10,512,10000,2,29,0.0
167,2,1,2,1000000,10,0,1000,10,1024,10000,2,29,9.150161526650456e-06
168,4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,0.00012901555593320532
169,4,1,4,10,10,0,1,10,512,100,2,29,0.14515241819027658
170,4,10,2,1000000,1,0,1000,10,1024,10000,5,0,1.0345458199423988e-05
171,2,1,4,1000000,1,0,1000,10,512,10000,2,0,1.888057248080067e-05
172,4,10,2,1000000,10,1,1000,10,1024,10000,2,0,5.727276564906433e-05
173,4,1,4,10,1,0,1000,10,1024,10000,2,29,1.8029661778291353e-05
174,2,10,2,1000000,1,0,1000,10,512,10000,2,0,1.8332377262367135e-05
175,4,1,2,1000000,1,0,1000,10,1024,100,2,0,6.421205868608496e-05
176,4,1,4,10,1,0,1,1000,512,10000,2,0,0.014988450022221978
177,4,10,2,1000000,10,0,1000,10,1024,10000,5,29,2.4644572842593347e-05
178,2,1,4,1000000,1,0,1000,10,1024,10000,2,0,2.3218768314083098e-05
179,4,10,2,1000000,1,1,1000,10,512,10000,2,0,1.4617131258084953e-05
180,4,1,2,10,1,0,1000,10,1024,10000,2,0,2.6497345228265497e-05
181,2,10,4,1000000,1,0,1000,10,512,10000,2,0,5.2611058226604024e-06
182,4,1,2,1000000,10,0,1,10,1024,100,2,29,0.005962986244236036
183,4,10,4,1000000,1,0,1000,1000,512,10000,2,0,0.003382686315025623
184,4,1,2,10,1,0,1000,10,1024,10000,5,0,1.4780400494253615e-05
