Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0.014912168945485704
1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0.9930378846520359
2,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0.9940496342345077
3,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0.992057511293102
4,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0.02878995010830008
5,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0.0009419189454307529
6,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.0069443649854983875
7,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0.02975910411839009
8,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0.02879925239401641
9,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0.00695439401497457
10,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0.9940179205996337
11,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.9940455671677746
12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0029570006544966327
13,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0.10425854312368414
14,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0.0029769845611649455
15,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0.9980271808968977
16,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0.004957754671544322
17,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0.0029891289037053876
18,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0.0029976732610185824
19,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0.005948031663065245
20,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0.006953856794528859
21,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.004966593662898793
