Iteration,WindowSize,CompressionLevel,Performance
0,15,9,8.084
1,18,5,6.714
2,14,8,6.086
3,10,6,3.386
4,13,4,2.972
5,13,0,1.514
6,19,5,7.372
7,15,4,2.834
8,13,1,1.514
9,19,5,7.372
10,23,1,1.572
11,17,7,7.636
12,22,0,1.596
13,24,6,10.176
14,11,7,5.078
15,10,6,3.386
16,24,0,1.574
17,11,6,3.57
18,16,1,1.598
19,16,3,2.508
20,18,11,279.692
21,12,9,6.47
22,15,11,292.192
23,18,9,11.954
24,22,2,2.05
25,14,3,2.302
26,23,3,2.478
27,20,11,246.08
28,18,9,11.954
29,11,7,5.078
30,13,10,313.652
31,13,0,1.514
32,21,1,1.598
33,13,8,5.62
34,13,10,313.652
35,13,1,1.514
36,21,0,1.604
37,12,2,1.988
38,17,4,2.848
39,20,8,14.64
40,19,5,7.372
41,13,1,1.514
42,14,0,1.472
43,14,0,1.472
44,14,0,1.472
45,14,0,1.472
46,14,0,1.472
47,14,0,1.472
48,10,4,3.02
49,14,5,4.678
50,24,0,1.574
51,15,2,1.972
52,14,10,301.488
53,23,6,10.22
54,22,7,19.626
55,16,0,1.59
56,17,8,8.454
57,19,11,258.502
58,10,3,2.616
59,14,9,7.404
60,12,0,1.528
61,20,4,2.808
62,11,6,3.57
63,24,5,7.154
64,15,7,6.39
65,21,0,1.604
66,14,2,1.9
67,18,10,279.698
68,22,11,259.594
69,23,3,2.478
70,16,9,9.094
71,17,8,8.454
72,14,0,1.472
73,19,0,1.614
74,12,6,3.846
75,11,4,3.04
76,10,1,1.666
77,20,7,12.338
78,14,5,4.678
79,21,0,1.604
80,18,2,2.094
81,24,10,392.744
82,15,11,292.192
83,14,0,1.472
84,23,3,2.478
85,22,8,25.432
86,16,9,9.094
87,14,0,1.472
88,17,1,1.612
89,19,4,2.8
90,12,6,3.846
91,14,5,4.678
92,10,0,1.662
93,11,7,5.078
94,20,2,2.088
95,21,10,244.734
96,18,0,1.628
97,24,11,394.158
98,14,3,2.302
99,15,8,6.738
100,13,9,6.862
101,14,0,1.472
102,14,0,1.472
103,14,0,1.472
104,14,0,1.472
105,14,0,1.472
106,23,0,1.556
107,22,1,1.586
108,16,0,1.59
109,14,4,2.894
110,17,6,6.34
111,19,5,7.372
112,12,7,5.266
113,14,0,1.472
114,10,2,2.146
115,11,10,343.594
116,20,11,246.08
117,21,0,1.604
118,14,3,2.302
119,18,8,9.684
120,24,9,108.602
121,15,0,1.534
122,13,1,1.514
123,23,4,2.726
124,22,6,10.266
125,14,0,1.472
126,16,5,5.392
127,17,7,7.636
128,14,2,1.9
129,19,10,258.558
130,12,0,1.528
131,10,11,363.346
132,11,3,2.476
133,14,8,6.086
134,20,0,1.63
135,21,9,23.614
136,18,0,1.628
137,24,1,1.57
138,14,4,2.894
139,15,6,5.306
140,13,0,1.514
