Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,80492.2
1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,69087.0
2,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,89698.6
3,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,69680.0
4,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,82873.0
5,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,90079.2
6,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,81153.2
7,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,62322.2
8,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,83432.2
9,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,59709.0
10,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,81810.8
11,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,68604.6
12,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,95521.0
13,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,87982.2
14,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,78944.8
15,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,89975.8
16,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,64801.0
17,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,78401.4
18,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,78478.0
19,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,87741.8
20,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,72832.4
21,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,82851.8
22,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,75115.2
23,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,84751.4
24,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,69343.6
25,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,88221.0
26,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,94147.2
27,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,87507.4
28,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,64012.6
29,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,85061.0
30,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
31,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
32,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
33,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
34,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
35,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
36,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
37,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
38,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
39,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
40,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
41,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
42,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
43,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
44,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
45,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
46,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
47,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
48,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,59594.8
49,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,66015.4
50,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,60717.8
51,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,62061.4
52,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,66257.0
53,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,62808.0
54,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,59490.2
55,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,71629.0
56,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,74550.0
57,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,69740.2
58,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,79665.2
59,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,63817.0
60,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,71173.4
61,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,72778.4
62,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,66851.6
63,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,64677.8
64,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,87703.4
65,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,60229.2
66,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,64677.8
67,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,80996.6
68,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,62659.6
69,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,66003.2
70,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,61833.0
71,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,78855.8
72,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,66568.0
73,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,63114.0
74,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,81225.4
75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,62331.0
76,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,60354.2
77,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,73110.2
78,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,70001.2
79,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,71082.2
80,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,62131.6
81,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,70494.0
82,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,69791.0
83,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,77961.4
84,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,63636.8
85,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,64123.4
86,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,67892.6
87,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,83410.2
88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,59475.8
89,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,66940.8
90,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58192.6
91,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,72157.2
92,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,75248.4
93,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,62527.2
94,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,63918.6
95,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,73088.8
96,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,77333.0
97,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
98,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
99,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,66490.8
100,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,82763.0
101,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
102,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
103,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
104,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
105,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
106,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
107,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
108,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
109,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
110,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
111,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
112,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
113,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
114,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
115,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
116,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
117,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
118,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
119,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,66490.8
120,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,82763.0
121,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
122,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
123,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65792.2
124,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,66871.2
125,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,76943.0
126,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
127,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
128,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,66490.8
129,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,82763.0
130,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
131,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
132,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
133,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,73730.4
134,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,76943.0
135,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
136,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,65622.8
137,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65563.6
138,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,69230.2
139,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,72605.2
140,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,59357.0
141,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,63918.6
142,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65563.6
143,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,68048.2
144,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,73860.4
145,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58192.6
146,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,63918.6
147,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58192.6
148,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,69715.8
149,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,75248.4
150,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58192.6
151,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,64119.2
152,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,58410.8
153,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,69715.8
154,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,75248.4
155,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,58192.6
156,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58000.0
157,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,64044.0
158,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,69405.4
159,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,75347.6
160,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58000.0
161,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,58000.0
162,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,64044.0
163,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,61659.2
164,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,71513.4
165,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,72610.2
