Iteration,WindowSize,CompressionLevel,Performance
0,10,1,1.666
1,24,0,1.574
2,23,9,63.68
3,11,10,343.594
4,22,3,2.5
5,12,4,3.004
6,18,9,11.954
7,23,2,2.032
8,14,7,5.896
9,20,10,246.512
10,16,8,7.548
11,12,0,1.528
12,19,3,2.552
13,18,3,2.562
14,22,11,259.594
15,21,4,2.768
16,17,4,2.848
17,20,3,2.546
18,14,9,7.404
19,10,11,363.346
20,15,10,291.618
21,11,8,5.042
22,18,0,1.628
23,14,8,6.086
24,15,1,1.52
25,15,9,8.084
26,19,2,2.1
27,22,7,19.626
28,24,7,20.228
29,14,2,1.9
30,12,1,1.542
31,13,5,4.128
32,12,6,3.846
33,15,1,1.52
34,15,1,1.52
35,15,1,1.52
36,15,1,1.52
37,15,1,1.52
38,23,5,7.178
39,16,6,5.77
40,17,1,1.612
41,21,1,1.598
42,13,1,1.514
43,13,10,313.652
44,13,0,1.514
45,13,0,1.514
46,13,0,1.514
47,13,0,1.514
48,10,0,1.662
49,13,0,1.514
50,24,0,1.574
51,11,11,343.996
52,20,0,1.63
53,13,4,2.972
54,23,0,1.556
55,16,3,2.508
56,19,9,14.048
57,18,8,9.684
58,21,6,10.46
59,22,5,7.198
60,17,2,2.102
61,10,7,4.874
62,13,10,313.652
63,11,11,343.996
64,20,0,1.63
65,24,4,2.708
66,13,3,2.37
67,19,0,1.614
68,12,9,6.47
69,14,8,6.086
70,18,2,2.094
71,22,7,19.626
72,16,5,5.392
73,23,6,10.22
74,13,0,1.514
75,17,10,307.144
76,21,11,244.72
77,10,4,3.02
78,13,0,1.514
79,11,3,2.476
80,20,9,17.4
81,24,0,1.574
82,12,8,5.318
83,14,2,1.9
84,13,7,5.554
85,19,0,1.614
86,18,5,6.714
87,23,6,10.22
88,13,10,313.652
89,16,0,1.59
90,22,11,259.594
91,21,4,2.768
92,17,0,1.606
93,13,3,2.37
94,10,9,6.246
95,11,8,5.042
96,20,0,1.63
97,24,2,2.04
98,13,7,5.554
99,12,5,3.746
100,14,6,4.874
101,13,0,1.514
102,13,0,1.514
103,13,0,1.514
104,13,0,1.514
105,13,0,1.514
106,19,0,1.614
107,18,10,279.698
108,15,11,292.192
109,23,4,2.726
110,22,0,1.596
111,16,3,2.508
112,13,9,6.862
113,21,0,1.604
114,17,8,8.454
115,13,2,1.942
116,10,1,1.666
117,11,7,5.078
118,20,0,1.63
119,24,5,7.154
120,13,6,4.3
121,12,10,328.816
122,14,0,1.472
123,14,11,301.078
124,14,4,2.894
125,14,0,1.472
126,14,0,1.472
127,14,3,2.302
128,14,0,1.472
129,14,9,7.404
130,14,1,1.46
131,14,1,1.46
132,14,1,1.46
133,14,1,1.46
134,14,1,1.46
135,14,1,1.46
136,14,1,1.46
137,14,1,1.46
138,19,1,1.604
139,15,1,1.52
140,14,1,1.46
141,18,1,1.63
142,23,1,1.572
143,22,1,1.586
144,16,1,1.598
145,21,1,1.598
146,17,1,1.612
147,14,1,1.46
148,10,8,5.046
149,11,1,1.526
150,20,2,2.088
151,24,7,20.228
152,12,5,3.746
153,14,6,4.874
154,19,1,1.604
155,15,10,291.618
156,18,11,279.692
157,14,4,2.894
158,23,1,1.572
159,22,3,2.5
160,16,9,9.094
161,21,8,18.874
162,17,1,1.612
163,14,2,1.9
164,10,7,4.874
165,14,5,4.678
166,11,6,3.57
167,20,1,1.636
168,24,10,392.744
169,12,11,328.552
170,14,4,2.894
171,19,1,1.604
172,15,3,2.392
173,14,9,7.404
174,18,1,1.63
175,23,8,37.284
176,22,1,1.586
177,16,2,2.026
178,14,7,5.896
179,21,5,7.272
180,17,6,6.34
181,10,1,1.666
182,14,10,301.488
183,11,11,343.996
184,20,1,1.636
185,24,4,2.708
186,12,3,2.426
187,14,1,1.46
188,19,9,14.048
189,15,8,6.738
190,14,1,1.46
191,18,2,2.094
192,23,7,20.474
193,22,5,7.198
194,16,6,5.77
195,14,1,1.46
196,21,10,244.734
197,17,11,307.42
198,10,1,1.666
199,14,4,2.894
200,11,3,2.476
201,20,1,1.636
202,24,9,108.602
203,12,8,5.318
204,14,1,1.46
205,14,2,1.9
206,19,7,10.05
207,15,1,1.52
208,18,5,6.714
209,23,6,10.22
210,14,10,301.488
211,22,1,1.586
212,16,11,284.296
213,21,4,2.768
214,17,1,1.612
215,14,3,2.302
216,10,9,6.246
217,11,1,1.526
218,20,8,14.64
219,14,2,1.9
220,24,7,20.228
221,12,1,1.542
222,14,5,4.678
223,19,6,9.336
224,15,10,291.618
225,18,1,1.63
226,14,1,1.46
227,14,1,1.46
228,14,1,1.46
229,14,1,1.46
230,14,1,1.46
231,14,1,1.46
232,14,1,1.46
233,14,1,1.46
234,14,1,1.46
235,23,1,1.572
236,14,11,301.078
237,22,4,2.748
238,16,1,1.598
239,21,3,2.512
240,17,9,10.152
